id,context,question,answer,answer_start,difficulty
259,Sara Baker published a research paper on genetic markers in 2003 while working at Golden Gate Retailers in Prague.,Where was Sara Baker working when the paper was published?,Golden Gate Retailers,82,Beginner
260,Noah Costa joined Maple Street School District as a project manager in 2020 and later moved to the Toronto office in 2025.,What role did Noah Costa join Maple Street School District as?,project manager,52,Advanced
261,Fatima Petrov joined NextGen Software Labs as a marketing director in 2006 and later moved to the Prague office in 2009.,What role did Fatima Petrov join NextGen Software Labs as?,marketing director,48,Intermediate
262,"The international film festival took place in Cairo on April 2, 2020, drawing an audience of about 96000 people from around South Africa.",Where did the international film festival take place?,Cairo,46,Advanced
263,"The annual jazz festival took place in Osaka on November 14, 2020, drawing an audience of about 96000 people from around the Czech Republic.",Where did the annual jazz festival take place?,Osaka,39,Advanced
264,"The international film festival took place in Prague on June 10, 2019, drawing an audience of about 96000 people from around the United States.",Where did the international film festival take place?,Prague,46,Intermediate
265,"The science and innovation fair took place in Kuala Lumpur on April 13, 2018, drawing an audience of about 96000 people from around Japan.",Where did the science and innovation fair take place?,Kuala Lumpur,46,Intermediate
266,The Old Town Hall was completed in 2009 and is located in Manila. It attracts roughly 500000 visitors every year.,When was the Old Town Hall completed?,2009,35,Beginner
267,Liam Ivanov published a research paper on urban air quality in 2004 while working at Golden Gate Retailers in Austin.,Where was Liam Ivanov working when the paper was published?,Golden Gate Retailers,85,Beginner
268,The Grand Observatory was completed in 2003 and is located in Cape Town. It attracts roughly 500000 visitors every year.,When was the Grand Observatory completed?,2003,39,Intermediate
269,"The annual jazz festival took place in Warsaw on April 4, 2018, drawing an audience of about 22000 people from around Portugal.",When did the annual jazz festival take place?,"April 4, 2018",49,Advanced
270,Vertex Analytics was founded in Wellington in 2020 by Maria Wright. The company now employs more than 15000 people across the Netherlands.,Who founded Vertex Analytics?,Maria Wright,54,Advanced
271,Wei Green published a research paper on machine translation in 1999 while working at Aurora Data Systems in Amsterdam.,In what year did Wei Green publish the paper?,1999,63,Beginner
272,Noah Young published a research paper on genetic markers in 2017 while working at Skyline Real Estate in Cairo.,Where was Noah Young working when the paper was published?,Skyline Real Estate,82,Intermediate
273,"The global health conference took place in Bangkok on March 22, 2023, drawing an audience of about 96000 people from around the Philippines.",Where did the global health conference take place?,Bangkok,43,Intermediate
274,The Central Library was completed in 1993 and is located in Osaka. It attracts roughly 500000 visitors every year.,When was the Central Library completed?,1993,37,Beginner
275,Charlotte Young published a research paper on urban air quality in 1992 while working at Quantum Innovations in Wellington.,What topic did Charlotte Young research?,urban air quality,46,Advanced
276,"The annual jazz festival took place in Dublin on March 24, 2020, drawing an audience of about 22000 people from around Indonesia.",Where did the annual jazz festival take place?,Dublin,39,Beginner
277,The Riverside Museum was completed in 2021 and is located in Cairo. It attracts roughly 8700 visitors every year.,When was the Riverside Museum completed?,2021,38,Beginner
278,The National Science Center was completed in 2018 and is located in Manila. It attracts roughly 3400 visitors every year.,When was the National Science Center completed?,2018,45,Intermediate
279,Blue Horizon Airlines was founded in Santiago in 2006 by Charlotte Kowalski. The company now employs more than 250000 people across the United States.,In what year was Blue Horizon Airlines founded?,2006,49,Intermediate
280,"The technology summit took place in Manila on February 27, 2017, drawing an audience of about 45000 people from around the Czech Republic.",Where did the technology summit take place?,Manila,36,Advanced
281,Blue Horizon Airlines was founded in Seoul in 2009 by Emma Nguyen. The company now employs more than 250000 people across India.,Who founded Blue Horizon Airlines?,Emma Nguyen,54,Beginner
282,The Harborview Bridge was completed in 2023 and is located in Cairo. It attracts roughly 3400 visitors every year.,Where is the Harborview Bridge located?,Cairo,62,Beginner
283,Samuel Okafor published a research paper on renewable energy storage in 2020 while working at BrightFuture Foundation in Marrakesh.,In what year did Samuel Okafor publish the paper?,2020,72,Advanced
284,Lucas Novak joined Lakeside Medical Center as a operations coordinator in 2005 and later moved to the Jakarta office in 2009.,What role did Lucas Novak join Lakeside Medical Center as?,operations coordinator,48,Intermediate
285,Anna Rossi joined Silverline Motors as a lead engineer in 2021 and later moved to the Zurich office in 2024.,What role did Anna Rossi join Silverline Motors as?,lead engineer,41,Intermediate
286,Ingrid Anderson joined NextGen Software Labs as a operations coordinator in 2013 and later moved to the Bangkok office in 2016.,Which office did Ingrid Anderson later move to?,Bangkok,104,Beginner
287,Aisha Yamamoto published a research paper on urban air quality in 2022 while working at Pioneer Research Institute in Wellington.,What topic did Aisha Yamamoto research?,urban air quality,45,Beginner
288,The Old Town Hall was completed in 2006 and is located in Copenhagen. It attracts roughly 3400 visitors every year.,When was the Old Town Hall completed?,2006,35,Beginner
289,Zainab Haddad joined Golden Gate Retailers as a project manager in 2007 and later moved to the Buenos Aires office in 2008.,What role did Zainab Haddad join Golden Gate Retailers as?,project manager,48,Beginner
290,The Riverside Museum was completed in 1994 and is located in Jakarta. It attracts roughly 45000 visitors every year.,Where is the Riverside Museum located?,Jakarta,61,Intermediate
291,Amara Anderson published a research paper on machine translation in 2007 while working at Maple Street School District in Nairobi.,In what year did Amara Anderson publish the paper?,2007,68,Beginner
292,The Harborview Bridge was completed in 1996 and is located in Toronto. It attracts roughly 250000 visitors every year.,When was the Harborview Bridge completed?,1996,39,Intermediate
293,Zainab Young joined Crescent Media Group as a marketing director in 2007 and later moved to the Stockholm office in 2008.,Which office did Zainab Young later move to?,Stockholm,96,Advanced
294,The Old Town Hall was completed in 2023 and is located in Stockholm. It attracts roughly 45000 visitors every year.,Where is the Old Town Hall located?,Stockholm,58,Beginner
295,Golden Gate Retailers was founded in Cairo in 2018 by Sara Taylor. The company now employs more than 8700 people across Germany.,In what year was Golden Gate Retailers founded?,2018,46,Intermediate
296,The Riverside Museum was completed in 1995 and is located in Berlin. It attracts roughly 3400 visitors every year.,Where is the Riverside Museum located?,Berlin,61,Advanced
297,The Old Town Hall was completed in 2004 and is located in Buenos Aires. It attracts roughly 45000 visitors every year.,When was the Old Town Hall completed?,2004,35,Advanced
298,Mark Suzuki joined Coastal Insurance Co. as a marketing director in 1997 and later moved to the Jakarta office in 1999.,What role did Mark Suzuki join Coastal Insurance Co. as?,marketing director,46,Beginner
299,Maria Haddad joined Redstone Consulting as a project manager in 2015 and later moved to the Bangkok office in 2020.,In what year did Maria Haddad join Redstone Consulting?,2015,64,Advanced
300,BrightFuture Foundation was founded in Santiago in 2010 by Lucas Walker. The company now employs more than 250000 people across India.,In which city was BrightFuture Foundation founded?,Santiago,39,Intermediate
301,Redstone Consulting was founded in Vancouver in 2019 by Nina Moore. The company now employs more than 1200 people across South Africa.,In which city was Redstone Consulting founded?,Vancouver,35,Intermediate
302,"The international film festival took place in Vancouver on January 20, 2022, drawing an audience of about 15000 people from around Argentina.",When did the international film festival take place?,"January 20, 2022",59,Beginner
303,Charlotte Wright joined Union Manufacturing Corp. as a research scientist in 2023 and later moved to the Stockholm office in 2025.,In what year did Charlotte Wright join Union Manufacturing Corp.?,2023,77,Advanced
304,David Osei published a research paper on machine translation in 1993 while working at Brightline Technologies in Jakarta.,In what year did David Osei publish the paper?,1993,64,Intermediate
305,Nadia Moore published a research paper on quantum materials in 2017 while working at Vertex Analytics in Amsterdam.,In what year did Nadia Moore publish the paper?,2017,63,Advanced
306,Vertex Analytics was founded in Amsterdam in 1997 by Ahmed Okafor. The company now employs more than 250000 people across Chile.,In which city was Vertex Analytics founded?,Amsterdam,32,Advanced
307,Meridian Financial Group was founded in Cairo in 2022 by Sofia Suzuki. The company now employs more than 96000 people across South Korea.,In which city was Meridian Financial Group founded?,Cairo,40,Beginner
308,Priya Wright published a research paper on renewable energy storage in 1993 while working at Summit Robotics Inc. in Kuala Lumpur.,In what year did Priya Wright publish the paper?,1993,71,Advanced
309,The Harborview Bridge was completed in 1998 and is located in Santiago. It attracts roughly 250000 visitors every year.,Where is the Harborview Bridge located?,Santiago,62,Beginner
310,The Central Library was completed in 2002 and is located in Melbourne. It attracts roughly 250000 visitors every year.,When was the Central Library completed?,2002,37,Advanced
311,Mark Moore joined Golden Gate Retailers as a lead engineer in 2018 and later moved to the Melbourne office in 2022.,Which office did Mark Moore later move to?,Melbourne,90,Advanced
312,Crescent Media Group was founded in Vancouver in 1997 by Mei Scott. The company now employs more than 1200 people across Malaysia.,In what year was Crescent Media Group founded?,1997,49,Advanced
313,Brightline Technologies was founded in Stockholm in 2009 by Wei Yamamoto. The company now employs more than 3400 people across Thailand.,In what year was Brightline Technologies founded?,2009,52,Beginner
314,"The robotics championship took place in Stockholm on November 22, 2016, drawing an audience of about 8700 people from around Sweden.",When did the robotics championship take place?,"November 22, 2016",53,Beginner
315,Ahmed Kowalski published a research paper on genetic markers in 1997 while working at Coastal Insurance Co. in Lisbon.,In what year did Ahmed Kowalski publish the paper?,1997,64,Beginner
316,Samuel Chen published a research paper on urban air quality in 1996 while working at Vertex Analytics in Zurich.,In what year did Samuel Chen publish the paper?,1996,63,Beginner
317,"The annual jazz festival took place in Cairo on February 7, 2024, drawing an audience of about 45000 people from around Finland.",Where did the annual jazz festival take place?,Cairo,39,Beginner
318,Meridian Financial Group was founded in Marrakesh in 2018 by Adaeze Johansson. The company now employs more than 15000 people across Egypt.,Who founded Meridian Financial Group?,Adaeze Johansson,61,Beginner
319,"The annual jazz festival took place in Cairo on September 16, 2019, drawing an audience of about 3400 people from around Malaysia.",Where did the annual jazz festival take place?,Cairo,39,Beginner
320,Kevin Young joined Delta Cloud Services as a senior analyst in 1991 and later moved to the Stockholm office in 1996.,What role did Kevin Young join Delta Cloud Services as?,senior analyst,45,Intermediate
321,Ingrid Brown joined Harborview College as a project manager in 2001 and later moved to the Austin office in 2003.,In what year did Ingrid Brown join Harborview College?,2001,63,Advanced
322,"The robotics championship took place in Mumbai on April 12, 2018, drawing an audience of about 250000 people from around Egypt.",Where did the robotics championship take place?,Mumbai,40,Beginner
323,"The technology summit took place in Dublin on April 15, 2020, drawing an audience of about 250000 people from around Australia.",When did the technology summit take place?,"April 15, 2020",46,Intermediate
324,The Riverside Museum was completed in 1991 and is located in Berlin. It attracts roughly 22000 visitors every year.,Where is the Riverside Museum located?,Berlin,61,Advanced
325,Ibrahim Green joined Harborview College as a senior analyst in 2015 and later moved to the Manila office in 2020.,In what year did Ibrahim Green join Harborview College?,2015,63,Beginner
326,Daniel Costa joined Union Manufacturing Corp. as a operations coordinator in 2004 and later moved to the Mumbai office in 2005.,Which office did Daniel Costa later move to?,Mumbai,105,Intermediate
327,Union Manufacturing Corp. was founded in Vancouver in 2004 by Olivia King. The company now employs more than 500000 people across Ireland.,In which city was Union Manufacturing Corp. founded?,Vancouver,41,Beginner
328,The Old Town Hall was completed in 2016 and is located in Melbourne. It attracts roughly 500000 visitors every year.,Where is the Old Town Hall located?,Melbourne,58,Intermediate
329,"The robotics championship took place in Nairobi on May 21, 2021, drawing an audience of about 1200 people from around the United States.",Where did the robotics championship take place?,Nairobi,40,Advanced
330,Felix Osei published a research paper on renewable energy storage in 1998 while working at Delta Cloud Services in Cairo.,Where was Felix Osei working when the paper was published?,Delta Cloud Services,91,Beginner
331,Pioneer Research Institute was founded in Cape Town in 2010 by Ibrahim Garcia. The company now employs more than 1200 people across Kenya.,In which city was Pioneer Research Institute founded?,Cape Town,42,Advanced
332,Noah Young published a research paper on urban air quality in 2013 while working at Coastal Insurance Co. in Denver.,Where was Noah Young working when the paper was published?,Coastal Insurance Co.,84,Intermediate
333,Ingrid Fernandez joined Aurora Data Systems as a project manager in 1996 and later moved to the Melbourne office in 1997.,Which office did Ingrid Fernandez later move to?,Melbourne,96,Beginner
334,Ironwood Steel Works was founded in Zurich in 1990 by Chloe Moore. The company now employs more than 250000 people across Malaysia.,In which city was Ironwood Steel Works founded?,Zurich,36,Advanced
335,Ethan Petrov published a research paper on quantum materials in 1998 while working at Coastal Insurance Co. in Zurich.,In what year did Ethan Petrov publish the paper?,1998,64,Intermediate
336,David Fernandez joined Falcon Logistics as a lead engineer in 2018 and later moved to the Santiago office in 2021.,Which office did David Fernandez later move to?,Santiago,90,Beginner
337,Nina Young published a research paper on machine translation in 2005 while working at Evergreen Energy Co. in Nairobi.,What topic did Nina Young research?,machine translation,41,Beginner
338,The Central Library was completed in 2003 and is located in Cape Town. It attracts roughly 3400 visitors every year.,Where is the Central Library located?,Cape Town,60,Beginner
339,The National Science Center was completed in 1994 and is located in Cairo. It attracts roughly 1200 visitors every year.,Where is the National Science Center located?,Cairo,68,Beginner
340,"The technology summit took place in Lisbon on February 15, 2024, drawing an audience of about 500000 people from around Poland.",Where did the technology summit take place?,Lisbon,36,Beginner
341,"The international film festival took place in Prague on July 15, 2015, drawing an audience of about 3400 people from around the Philippines.",Where did the international film festival take place?,Prague,46,Intermediate
342,"The international film festival took place in Nairobi on February 24, 2025, drawing an audience of about 45000 people from around the Philippines.",When did the international film festival take place?,"February 24, 2025",57,Intermediate
343,"The annual jazz festival took place in Santiago on February 14, 2018, drawing an audience of about 15000 people from around the Philippines.",Where did the annual jazz festival take place?,Santiago,39,Advanced
344,Nina Haddad joined Vertex Analytics as a lead engineer in 2002 and later moved to the Buenos Aires office in 2007.,What role did Nina Haddad join Vertex Analytics as?,lead engineer,41,Beginner
345,Hana Green joined Ironwood Steel Works as a project manager in 1995 and later moved to the Jakarta office in 2000.,Which office did Hana Green later move to?,Jakarta,91,Intermediate
346,Nina Petrov published a research paper on renewable energy storage in 2011 while working at BrightFuture Foundation in Marrakesh.,In what year did Nina Petrov publish the paper?,2011,70,Intermediate
347,The Central Library was completed in 2001 and is located in Melbourne. It attracts roughly 15000 visitors every year.,When was the Central Library completed?,2001,37,Beginner
348,Isabella Lewis joined Summit Robotics Inc. as a senior analyst in 2021 and later moved to the Warsaw office in 2025.,What role did Isabella Lewis join Summit Robotics Inc. as?,senior analyst,48,Intermediate
349,The National Science Center was completed in 1996 and is located in Marrakesh. It attracts roughly 8700 visitors every year.,When was the National Science Center completed?,1996,45,Intermediate
350,Ravi Suzuki published a research paper on renewable energy storage in 2007 while working at Cedar Grove Hospital in Santiago.,In what year did Ravi Suzuki publish the paper?,2007,70,Beginner
351,Sofia Petrov joined Brightline Technologies as a operations coordinator in 2020 and later moved to the Cairo office in 2025.,In what year did Sofia Petrov join Brightline Technologies?,2020,75,Advanced
352,Leila Osei published a research paper on renewable energy storage in 1997 while working at Pioneer Research Institute in Cape Town.,In what year did Leila Osei publish the paper?,1997,69,Beginner
353,Ravi Rossi joined BrightFuture Foundation as a senior analyst in 2003 and later moved to the Copenhagen office in 2008.,What role did Ravi Rossi join BrightFuture Foundation as?,senior analyst,47,Advanced
354,The Harborview Bridge was completed in 2014 and is located in Lisbon. It attracts roughly 250000 visitors every year.,Where is the Harborview Bridge located?,Lisbon,62,Beginner
355,Coastal Insurance Co. was founded in Dublin in 2019 by Carlos Wright. The company now employs more than 1200 people across Argentina.,Who founded Coastal Insurance Co.?,Carlos Wright,55,Intermediate
356,Delta Cloud Services was founded in Prague in 2008 by Jack Green. The company now employs more than 500000 people across the Czech Republic.,Who founded Delta Cloud Services?,Jack Green,54,Advanced
357,Charlotte Clark joined Blue Horizon Airlines as a marketing director in 1991 and later moved to the Mumbai office in 1994.,Which office did Charlotte Clark later move to?,Mumbai,100,Beginner
358,The Riverside Museum was completed in 1994 and is located in Lisbon. It attracts roughly 96000 visitors every year.,Where is the Riverside Museum located?,Lisbon,61,Beginner
359,Isabella Walker joined Harborview College as a lead engineer in 2016 and later moved to the Helsinki office in 2018.,Which office did Isabella Walker later move to?,Helsinki,92,Intermediate
360,Lakeside Medical Center was founded in Dublin in 1992 by Adaeze Yamamoto. The company now employs more than 500000 people across Chile.,In what year was Lakeside Medical Center founded?,1992,49,Intermediate
361,"The annual jazz festival took place in Buenos Aires on March 6, 2024, drawing an audience of about 22000 people from around Germany.",When did the annual jazz festival take place?,"March 6, 2024",55,Beginner
362,Elena Wright joined Harborview College as a lead engineer in 1999 and later moved to the Cairo office in 2002.,Which office did Elena Wright later move to?,Cairo,89,Beginner
363,Mateus Kim joined Zenith Pharmaceuticals as a lead engineer in 1994 and later moved to the Bangkok office in 1999.,Which office did Mateus Kim later move to?,Bangkok,91,Intermediate
364,Zainab Brown joined Blue Horizon Airlines as a marketing director in 2018 and later moved to the Lisbon office in 2022.,What role did Zainab Brown join Blue Horizon Airlines as?,marketing director,47,Beginner
365,The Old Town Hall was completed in 1991 and is located in Zurich. It attracts roughly 15000 visitors every year.,When was the Old Town Hall completed?,1991,35,Advanced
366,Pioneer Research Institute was founded in Prague in 1991 by Hassan Johansson. The company now employs more than 8700 people across Denmark.,In what year was Pioneer Research Institute founded?,1991,52,Beginner
367,Julia Johansson joined Redstone Consulting as a operations coordinator in 1999 and later moved to the Kuala Lumpur office in 2002.,Which office did Julia Johansson later move to?,Kuala Lumpur,102,Beginner
368,Nina Walker joined Oakwood Publishing House as a lead engineer in 1994 and later moved to the Bangkok office in 1996.,Which office did Nina Walker later move to?,Bangkok,94,Intermediate
369,Priya Rossi published a research paper on machine translation in 2009 while working at Union Manufacturing Corp. in Vancouver.,In what year did Priya Rossi publish the paper?,2009,65,Intermediate
370,Julia Lewis published a research paper on genetic markers in 2018 while working at BrightFuture Foundation in Berlin.,In what year did Julia Lewis publish the paper?,2018,61,Advanced
371,The Grand Observatory was completed in 1999 and is located in Amsterdam. It attracts roughly 22000 visitors every year.,When was the Grand Observatory completed?,1999,39,Beginner
372,Kevin Osei joined Redstone Consulting as a lead engineer in 2012 and later moved to the Melbourne office in 2014.,What role did Kevin Osei join Redstone Consulting as?,lead engineer,43,Advanced
373,Olivia Okafor published a research paper on genetic markers in 2019 while working at Oakwood Publishing House in Warsaw.,Where was Olivia Okafor working when the paper was published?,Oakwood Publishing House,85,Beginner
374,Golden Gate Retailers was founded in Manila in 2006 by Zainab Walker. The company now employs more than 45000 people across Poland.,In what year was Golden Gate Retailers founded?,2006,47,Intermediate
375,The Central Library was completed in 2010 and is located in Melbourne. It attracts roughly 1200 visitors every year.,Where is the Central Library located?,Melbourne,60,Beginner
376,Nadia Fernandez joined Oakwood Publishing House as a lead engineer in 1993 and later moved to the Buenos Aires office in 1994.,What role did Nadia Fernandez join Oakwood Publishing House as?,lead engineer,53,Beginner
377,Omar Patel published a research paper on urban air quality in 2008 while working at Ironwood Steel Works in Lisbon.,In what year did Omar Patel publish the paper?,2008,62,Intermediate
378,Liam Wright published a research paper on quantum materials in 2011 while working at Silverline Motors in Seoul.,In what year did Liam Wright publish the paper?,2011,63,Intermediate
379,The Harborview Bridge was completed in 1994 and is located in Bangkok. It attracts roughly 22000 visitors every year.,When was the Harborview Bridge completed?,1994,39,Advanced
380,George Costa joined BrightFuture Foundation as a project manager in 2015 and later moved to the Lisbon office in 2019.,Which office did George Costa later move to?,Lisbon,96,Beginner
381,"The robotics championship took place in Zurich on September 13, 2023, drawing an audience of about 1200 people from around Germany.",Where did the robotics championship take place?,Zurich,40,Intermediate
382,Noah Walker published a research paper on deep-sea biology in 2016 while working at Coastal Insurance Co. in Marrakesh.,In what year did Noah Walker publish the paper?,2016,62,Beginner
383,The National Science Center was completed in 2015 and is located in Mumbai. It attracts roughly 22000 visitors every year.,When was the National Science Center completed?,2015,45,Advanced
384,Silverline Motors was founded in Kuala Lumpur in 1997 by Yuki Young. The company now employs more than 96000 people across Finland.,In what year was Silverline Motors founded?,1997,49,Advanced
385,Hana Garcia joined Aurora Data Systems as a research scientist in 2012 and later moved to the Wellington office in 2017.,What role did Hana Garcia join Aurora Data Systems as?,research scientist,44,Advanced
386,Grace Moore joined Quantum Innovations as a project manager in 2002 and later moved to the Austin office in 2004.,Which office did Grace Moore later move to?,Austin,91,Beginner
387,"The global health conference took place in Buenos Aires on March 8, 2021, drawing an audience of about 500000 people from around South Korea.",Where did the global health conference take place?,Buenos Aires,43,Beginner
388,"The robotics championship took place in Santiago on December 7, 2018, drawing an audience of about 500000 people from around Germany.",Where did the robotics championship take place?,Santiago,40,Intermediate
389,George Baker joined NextGen Software Labs as a research scientist in 1991 and later moved to the Wellington office in 1993.,Which office did George Baker later move to?,Wellington,97,Advanced
390,"The international film festival took place in Lisbon on June 23, 2017, drawing an audience of about 15000 people from around South Korea.",Where did the international film festival take place?,Lisbon,46,Intermediate
391,Yuki Brown published a research paper on machine translation in 1996 while working at Redstone Consulting in Jakarta.,Where was Yuki Brown working when the paper was published?,Redstone Consulting,86,Intermediate
392,"The annual jazz festival took place in Manila on March 17, 2024, drawing an audience of about 45000 people from around Egypt.",When did the annual jazz festival take place?,"March 17, 2024",49,Beginner
393,Zainab Suzuki published a research paper on renewable energy storage in 2013 while working at Delta Cloud Services in Kuala Lumpur.,In what year did Zainab Suzuki publish the paper?,2013,72,Intermediate
394,Priya Chen published a research paper on urban air quality in 2002 while working at Crescent Media Group in Vancouver.,In what year did Priya Chen publish the paper?,2002,62,Beginner
395,"The technology summit took place in Warsaw on May 16, 2020, drawing an audience of about 96000 people from around Argentina.",Where did the technology summit take place?,Warsaw,36,Beginner
396,Ravi Smith joined Delta Cloud Services as a lead engineer in 2007 and later moved to the Copenhagen office in 2011.,Which office did Ravi Smith later move to?,Copenhagen,89,Advanced
397,Mateus Smith published a research paper on renewable energy storage in 2021 while working at NextGen Software Labs in Stockholm.,What topic did Mateus Smith research?,renewable energy storage,43,Beginner
398,"The technology summit took place in Vancouver on September 4, 2020, drawing an audience of about 8700 people from around India.",Where did the technology summit take place?,Vancouver,36,Intermediate
399,Leila Taylor published a research paper on quantum materials in 2015 while working at Lakeside Medical Center in Zurich.,In what year did Leila Taylor publish the paper?,2015,64,Advanced
400,Ahmed Johansson joined Maple Street School District as a research scientist in 2022 and later moved to the Nairobi office in 2026.,In what year did Ahmed Johansson join Maple Street School District?,2022,79,Intermediate
401,The Riverside Museum was completed in 2000 and is located in Wellington. It attracts roughly 500000 visitors every year.,Where is the Riverside Museum located?,Wellington,61,Beginner
402,"The annual jazz festival took place in Manila on February 16, 2025, drawing an audience of about 45000 people from around Germany.",Where did the annual jazz festival take place?,Manila,39,Intermediate
403,The Central Library was completed in 1997 and is located in Osaka. It attracts roughly 96000 visitors every year.,Where is the Central Library located?,Osaka,60,Advanced
404,The Grand Observatory was completed in 2001 and is located in Bangkok. It attracts roughly 15000 visitors every year.,When was the Grand Observatory completed?,2001,39,Advanced
405,Riverside Bank was founded in Wellington in 2011 by Wei Kowalski. The company now employs more than 45000 people across Malaysia.,Who founded Riverside Bank?,Wei Kowalski,52,Beginner
406,Union Manufacturing Corp. was founded in Stockholm in 2007 by Anna Chen. The company now employs more than 96000 people across Canada.,In which city was Union Manufacturing Corp. founded?,Stockholm,41,Advanced
407,The Harborview Bridge was completed in 1994 and is located in Mumbai. It attracts roughly 500000 visitors every year.,Where is the Harborview Bridge located?,Mumbai,62,Beginner
408,"The robotics championship took place in Dublin on October 19, 2021, drawing an audience of about 1200 people from around Argentina.",When did the robotics championship take place?,"October 19, 2021",50,Intermediate
409,"The technology summit took place in Toronto on July 23, 2024, drawing an audience of about 22000 people from around Australia.",Where did the technology summit take place?,Toronto,36,Intermediate
410,"The international film festival took place in Denver on April 1, 2025, drawing an audience of about 15000 people from around Denmark.",Where did the international film festival take place?,Denver,46,Beginner
411,"The annual jazz festival took place in Stockholm on December 12, 2021, drawing an audience of about 22000 people from around Egypt.",When did the annual jazz festival take place?,"December 12, 2021",52,Intermediate
412,Amara Rossi published a research paper on machine translation in 2000 while working at Falcon Logistics in Cairo.,In what year did Amara Rossi publish the paper?,2000,65,Beginner
413,Julia Fernandez joined Northfield University as a project manager in 1990 and later moved to the Buenos Aires office in 1992.,Which office did Julia Fernandez later move to?,Buenos Aires,97,Intermediate
414,"The annual jazz festival took place in Manila on August 3, 2015, drawing an audience of about 15000 people from around Malaysia.",When did the annual jazz festival take place?,"August 3, 2015",49,Beginner
415,"The robotics championship took place in Austin on June 10, 2023, drawing an audience of about 22000 people from around South Africa.",When did the robotics championship take place?,"June 10, 2023",50,Beginner
416,"The robotics championship took place in Cape Town on February 5, 2024, drawing an audience of about 96000 people from around the Philippines.",When did the robotics championship take place?,"February 5, 2024",53,Advanced
417,The Riverside Museum was completed in 2004 and is located in Jakarta. It attracts roughly 22000 visitors every year.,Where is the Riverside Museum located?,Jakarta,61,Beginner
418,Cedar Grove Hospital was founded in Seoul in 2021 by Ingrid Fernandez. The company now employs more than 22000 people across Canada.,In which city was Cedar Grove Hospital founded?,Seoul,36,Intermediate
419,"The international film festival took place in Seoul on November 15, 2015, drawing an audience of about 45000 people from around Japan.",When did the international film festival take place?,"November 15, 2015",55,Intermediate
420,The Harborview Bridge was completed in 2006 and is located in Melbourne. It attracts roughly 8700 visitors every year.,Where is the Harborview Bridge located?,Melbourne,62,Beginner
421,Zenith Pharmaceuticals was founded in Jakarta in 1998 by Sara Novak. The company now employs more than 250000 people across Australia.,Who founded Zenith Pharmaceuticals?,Sara Novak,57,Intermediate
422,Isabella Young joined Evergreen Energy Co. as a senior analyst in 2010 and later moved to the Kuala Lumpur office in 2011.,Which office did Isabella Young later move to?,Kuala Lumpur,94,Intermediate
423,Fatima Hall published a research paper on quantum materials in 2011 while working at Crescent Media Group in Melbourne.,Where was Fatima Hall working when the paper was published?,Crescent Media Group,85,Beginner
424,Elena Ivanov published a research paper on genetic markers in 2015 while working at Vertex Analytics in Copenhagen.,In what year did Elena Ivanov publish the paper?,2015,62,Beginner
425,The National Science Center was completed in 1997 and is located in Nairobi. It attracts roughly 3400 visitors every year.,Where is the National Science Center located?,Nairobi,68,Beginner
426,Mateus Hall joined Quantum Innovations as a operations coordinator in 2006 and later moved to the Mumbai office in 2009.,Which office did Mateus Hall later move to?,Mumbai,98,Intermediate
427,"The technology summit took place in Prague on May 13, 2019, drawing an audience of about 1200 people from around Indonesia.",Where did the technology summit take place?,Prague,36,Intermediate
428,Jack Silva joined Oakwood Publishing House as a lead engineer in 2010 and later moved to the Mumbai office in 2014.,Which office did Jack Silva later move to?,Mumbai,93,Beginner
429,Amara Petrov published a research paper on renewable energy storage in 2019 while working at Cedar Grove Hospital in Amsterdam.,Where was Amara Petrov working when the paper was published?,Cedar Grove Hospital,93,Advanced
430,Zainab Wright published a research paper on genetic markers in 2021 while working at Northfield University in Kuala Lumpur.,In what year did Zainab Wright publish the paper?,2021,63,Beginner
431,The Harborview Bridge was completed in 1996 and is located in Copenhagen. It attracts roughly 45000 visitors every year.,When was the Harborview Bridge completed?,1996,39,Intermediate
432,The Harborview Bridge was completed in 2002 and is located in Cairo. It attracts roughly 250000 visitors every year.,When was the Harborview Bridge completed?,2002,39,Advanced
433,Samuel Novak published a research paper on deep-sea biology in 1993 while working at Vertex Analytics in Toronto.,In what year did Samuel Novak publish the paper?,1993,63,Advanced
434,"The robotics championship took place in Jakarta on March 26, 2022, drawing an audience of about 500000 people from around Egypt.",When did the robotics championship take place?,"March 26, 2022",51,Beginner
435,The Central Library was completed in 1990 and is located in Marrakesh. It attracts roughly 3400 visitors every year.,When was the Central Library completed?,1990,37,Intermediate
436,Riverside Bank was founded in Copenhagen in 2014 by James Larsen. The company now employs more than 3400 people across Egypt.,In which city was Riverside Bank founded?,Copenhagen,30,Beginner
437,Liam Taylor published a research paper on renewable energy storage in 2023 while working at Meridian Financial Group in Toronto.,In what year did Liam Taylor publish the paper?,2023,70,Beginner
438,Elena Fernandez joined Skyline Real Estate as a project manager in 2003 and later moved to the Cape Town office in 2008.,What role did Elena Fernandez join Skyline Real Estate as?,project manager,48,Advanced
439,The Grand Observatory was completed in 2015 and is located in Vancouver. It attracts roughly 96000 visitors every year.,Where is the Grand Observatory located?,Vancouver,62,Intermediate
440,"The annual jazz festival took place in Seoul on May 7, 2019, drawing an audience of about 1200 people from around the United States.",When did the annual jazz festival take place?,"May 7, 2019",48,Beginner
