id,word,related_word,relationship,category,similarity_score
669,basketball,court,Related Concept,Sports,0.46
670,accountant,spreadsheet,Object,Business,0.39
671,sport,soccer,Category Member,Sports,0.7
672,beginner,expert,Antonym,Education,0.26
673,finance,budget,Related Concept,Business,0.56
674,furniture,chair,Category Member,Daily Life,0.62
675,beginner,expert,Antonym,Education,0.16
676,class,lesson,Synonym,Education,0.94
677,network,router,Related Concept,Technology,0.54
678,erode,wear,Action,Nature,0.59
679,offense,defense,Antonym,Sports,0.14
680,pass,fail,Antonym,Education,0.14
681,wild,tame,Antonym,Nature,0.26
682,company,headquarters,Location,Business,0.47
683,educator,professor,Profession,Education,0.49
684,lab,research center,Location,Technology,0.36
685,educator,professor,Profession,Education,0.57
686,server,data center,Location,Technology,0.43
687,ranger,conservationist,Profession,Nature,0.53
688,mountain,peak,Synonym,Nature,0.89
689,equipment,gloves,Category Member,Sports,0.67
690,large,major,Synonym,Business,0.85
691,naturalist,biologist,Profession,Nature,0.48
692,football,stadium,Related Concept,Sports,0.51
693,hardware,keyboard,Category Member,Technology,0.57
694,kitchen,home,Location,Daily Life,0.48
695,gadget,smartwatch,Category Member,Technology,0.66
696,smart,intelligent,Synonym,Education,0.9
697,developer,programmer,Profession,Technology,0.6
698,researcher,scientist,Profession,Science,0.48
699,role,analyst,Category Member,Business,0.59
700,running,track,Related Concept,Sports,0.59
701,phone,charger,Object,Technology,0.44
702,test,verify,Action,Science,0.46
703,fast,quick,Synonym,Technology,0.94
704,teacher,chalkboard,Object,Education,0.47
705,sport,basketball,Category Member,Sports,0.51
706,researcher,scientist,Profession,Science,0.47
707,element,oxygen,Category Member,Science,0.52
708,software,app,Category Member,Technology,0.65
709,role,analyst,Category Member,Business,0.68
710,school,curriculum,Related Concept,Education,0.5
711,educator,teacher,Profession,Education,0.56
712,house,home,Synonym,Daily Life,0.95
713,hardware,keyboard,Category Member,Technology,0.67
714,researcher,physicist,Profession,Science,0.45
715,hypothesis,theory,Synonym,Science,0.83
716,computer,keyboard,Object,Technology,0.44
717,relax,unwind,Action,Daily Life,0.49
718,degree,master's,Category Member,Education,0.69
719,compile,build,Action,Technology,0.48
720,win,lose,Antonym,Sports,0.16
721,tree,oak,Category Member,Nature,0.51
722,cloud,storage,Related Concept,Technology,0.5
723,kitchen,cooking,Related Concept,Daily Life,0.5
724,lab,research center,Location,Technology,0.5
725,public,private,Antonym,Technology,0.28
726,cook,chef,Profession,Daily Life,0.52
727,lab,beaker,Object,Science,0.4
728,desert,drought,Related Concept,Nature,0.55
729,online,offline,Antonym,Technology,0.13
730,study,review,Action,Education,0.46
731,accurate,precise,Synonym,Science,0.81
732,river,valley,Location,Nature,0.39
733,garden,planting,Related Concept,Daily Life,0.6
734,accountant,spreadsheet,Object,Business,0.55
735,discovery,finding,Synonym,Science,0.87
736,win,lose,Antonym,Sports,0.24
737,football,stadium,Related Concept,Sports,0.6
738,enroll,register,Action,Education,0.55
739,degree,bachelor's,Category Member,Education,0.55
740,exam,test,Synonym,Education,0.84
741,migrate,travel,Action,Nature,0.5
742,mountain,range,Location,Nature,0.48
743,fast,quick,Synonym,Sports,0.86
744,wireless,wired,Antonym,Technology,0.12
745,classroom,lecture,Related Concept,Education,0.48
746,compete,play,Action,Sports,0.47
747,university,degree,Related Concept,Education,0.62
748,role,analyst,Category Member,Business,0.5
749,meal,dish,Synonym,Daily Life,0.9
750,company,headquarters,Location,Business,0.46
751,biology,field station,Location,Science,0.41
752,secure,vulnerable,Antonym,Technology,0.13
753,database,query,Related Concept,Technology,0.52
754,boxer,gloves,Object,Sports,0.54
755,athlete,player,Profession,Sports,0.46
756,deploy,launch,Action,Technology,0.41
757,department,finance,Category Member,Business,0.65
758,study,review,Action,Education,0.47
759,teacher,instructor,Synonym,Education,0.83
760,furniture,chair,Category Member,Daily Life,0.68
761,athlete,runner,Profession,Sports,0.6
762,instrument,microscope,Category Member,Science,0.68
763,day,night,Antonym,Nature,0.29
764,physics,force,Related Concept,Science,0.6
765,planet,mars,Category Member,Science,0.64
766,phone,charger,Object,Technology,0.49
767,tennis,court,Location,Sports,0.51
768,smart,intelligent,Synonym,Education,0.91
769,football,stadium,Location,Sports,0.43
770,driver,commuter,Profession,Daily Life,0.43
771,client,customer,Synonym,Business,0.87
772,instrument,microscope,Category Member,Science,0.54
773,clean,dirty,Antonym,Daily Life,0.21
774,element,oxygen,Category Member,Science,0.63
775,department,finance,Category Member,Business,0.7
776,basketball,court,Related Concept,Sports,0.6
777,exam,grading,Related Concept,Education,0.61
778,retail,inventory,Related Concept,Business,0.57
779,network,internet,Synonym,Technology,0.91
780,hardware,monitor,Category Member,Technology,0.51
781,pass,fail,Antonym,Education,0.29
782,software,update,Related Concept,Technology,0.6
783,device,smartphone,Category Member,Technology,0.64
784,hire,recruit,Action,Business,0.43
785,tennis,racket,Related Concept,Sports,0.51
786,official,umpire,Profession,Sports,0.42
787,relax,unwind,Action,Daily Life,0.59
788,accurate,precise,Synonym,Science,0.82
789,offense,defense,Antonym,Sports,0.29
790,strong,weak,Antonym,Sports,0.11
791,large,major,Synonym,Business,0.8
792,equipment,gloves,Category Member,Sports,0.5
793,negotiate,bargain,Action,Business,0.42
794,subject,history,Category Member,Education,0.58
795,lab,research center,Location,Technology,0.46
796,researcher,scientist,Profession,Science,0.58
797,wireless,wired,Antonym,Technology,0.13
798,hot,cold,Antonym,Nature,0.2
799,algorithm,optimization,Related Concept,Technology,0.53
800,cloud,storage,Related Concept,Technology,0.54
801,kitchen,home,Location,Daily Life,0.51
802,educator,teacher,Profession,Education,0.46
803,modern,outdated,Antonym,Technology,0.22
804,awake,asleep,Antonym,Daily Life,0.1
805,school,curriculum,Related Concept,Education,0.54
806,accurate,precise,Synonym,Science,0.89
807,computer,mouse,Object,Technology,0.41
808,factory,warehouse,Location,Business,0.39
809,hardware,monitor,Category Member,Technology,0.58
810,office,desk,Object,Business,0.5
811,bird,nest,Object,Nature,0.48
812,office,desk,Object,Business,0.42
813,animal,fox,Category Member,Nature,0.58
814,developer,coder,Profession,Technology,0.43
815,install,setup,Action,Technology,0.4
816,merge,combine,Action,Business,0.45
817,hibernate,rest,Action,Nature,0.4
818,kitchen,home,Location,Daily Life,0.42
819,appliance,refrigerator,Category Member,Daily Life,0.58
820,furniture,table,Category Member,Daily Life,0.55
821,park,neighborhood,Location,Daily Life,0.48
822,computer,laptop,Synonym,Technology,0.87
823,supply,demand,Antonym,Business,0.2
824,classroom,desk,Object,Education,0.39
825,wireless,wired,Antonym,Technology,0.26
826,large,huge,Synonym,Technology,0.81
827,cleaner,housekeeper,Profession,Daily Life,0.55
828,equipment,helmet,Category Member,Sports,0.69
829,researcher,chemist,Profession,Science,0.46
830,tennis,racket,Related Concept,Sports,0.55
831,merge,combine,Action,Business,0.44
832,official,umpire,Profession,Sports,0.54
833,hot,cold,Antonym,Nature,0.23
834,student,pupil,Synonym,Education,0.9
835,science,laboratory,Location,Science,0.45
836,mountain,range,Location,Nature,0.39
837,easy,difficult,Antonym,Education,0.11
838,school,classroom,Location,Education,0.54
839,morning,evening,Antonym,Daily Life,0.21
840,official,referee,Profession,Sports,0.5
841,score,win,Action,Sports,0.45
842,lab,beaker,Object,Science,0.38
843,meeting,projector,Object,Business,0.45
844,hot,cold,Antonym,Nature,0.22
845,physics,force,Related Concept,Science,0.54
846,hot,cold,Antonym,Nature,0.29
847,modern,outdated,Antonym,Technology,0.13
848,school,university,Category Member,Education,0.54
849,class,lesson,Synonym,Education,0.82
850,commute,travel,Action,Daily Life,0.55
851,server,data center,Location,Technology,0.36
852,degree,bachelor's,Category Member,Education,0.69
853,cook,prepare,Action,Daily Life,0.54
854,lab,beaker,Object,Science,0.53
855,book,textbook,Synonym,Education,0.8
856,supply,demand,Antonym,Business,0.14
857,server,data center,Location,Technology,0.52
858,hypothesis,theory,Synonym,Science,0.9
859,developer,programmer,Profession,Technology,0.58
860,football,stadium,Location,Sports,0.42
861,bee,hive,Object,Nature,0.46
862,network,router,Related Concept,Technology,0.55
863,element,oxygen,Category Member,Science,0.57
864,phone,charger,Object,Technology,0.36
865,school,university,Category Member,Education,0.65
866,network,internet,Synonym,Technology,0.9
867,company,headquarters,Location,Business,0.39
868,train,practice,Action,Sports,0.54
869,office,desk,Object,Business,0.48
870,tennis,racket,Related Concept,Sports,0.56
871,teacher,chalkboard,Object,Education,0.4
872,victory,win,Synonym,Sports,0.86
873,running,track,Related Concept,Sports,0.56
874,computer,laptop,Synonym,Technology,0.8
875,win,lose,Antonym,Sports,0.22
876,planet,earth,Category Member,Science,0.67
877,technician,IT support,Profession,Technology,0.51
878,company,headquarters,Location,Business,0.52
879,mountain,peak,Synonym,Nature,0.86
880,friend,companion,Synonym,Daily Life,0.94
881,meal,dish,Synonym,Daily Life,0.91
882,executive,manager,Profession,Business,0.46
883,student,backpack,Object,Education,0.53
884,appliance,microwave,Category Member,Daily Life,0.5
885,win,lose,Antonym,Sports,0.2
886,researcher,biologist,Profession,Science,0.45
887,device,smartphone,Category Member,Technology,0.58
888,stable,unstable,Antonym,Science,0.1
889,bedroom,sleep,Related Concept,Daily Life,0.46
890,meal,dish,Synonym,Daily Life,0.82
891,offense,defense,Antonym,Sports,0.28
892,equipment,helmet,Category Member,Sports,0.68
893,friend,companion,Synonym,Daily Life,0.92
894,invest,fund,Action,Business,0.59
895,enroll,register,Action,Education,0.57
896,teach,instruct,Action,Education,0.6
897,administrator,principal,Profession,Education,0.54
898,planet,mars,Category Member,Science,0.54
899,counselor,advisor,Profession,Education,0.42
900,naturalist,biologist,Profession,Nature,0.47
901,forest,national park,Location,Nature,0.36
902,furniture,table,Category Member,Daily Life,0.65
903,browser,tab,Related Concept,Technology,0.61
904,store,retail outlet,Location,Business,0.53
905,technician,IT support,Profession,Technology,0.4
906,enroll,register,Action,Education,0.59
907,role,manager,Category Member,Business,0.51
908,football,stadium,Location,Sports,0.36
909,athlete,player,Profession,Sports,0.5
910,forest,wildlife,Related Concept,Nature,0.46
911,tree,pine,Category Member,Nature,0.69
912,experiment,trial,Synonym,Science,0.86
913,fast,slow,Antonym,Technology,0.2
914,cloud,storage,Related Concept,Technology,0.48
915,forest,wildlife,Related Concept,Nature,0.6
916,deploy,launch,Action,Technology,0.42
917,role,analyst,Category Member,Business,0.61
918,cheap,affordable,Synonym,Business,0.9
919,clean,tidy,Action,Daily Life,0.47
920,athlete,runner,Profession,Sports,0.43
921,science,laboratory,Location,Science,0.52
922,software,update,Related Concept,Technology,0.47
923,modern,outdated,Antonym,Technology,0.21
924,morning,evening,Antonym,Daily Life,0.2
925,student,backpack,Object,Education,0.43
926,secure,vulnerable,Antonym,Technology,0.16
927,lab,beaker,Object,Science,0.37
928,wild,tame,Antonym,Nature,0.24
929,class,lesson,Synonym,Education,0.8
930,server,data center,Location,Technology,0.38
931,cleaner,housekeeper,Profession,Daily Life,0.42
932,buy,sell,Antonym,Business,0.16
933,gadget,smartwatch,Category Member,Technology,0.64
934,factory,warehouse,Location,Business,0.5
935,kitchen,stove,Object,Daily Life,0.5
936,degree,bachelor's,Category Member,Education,0.66
937,computer,laptop,Synonym,Technology,0.81
938,teacher,chalkboard,Object,Education,0.36
939,furniture,chair,Category Member,Daily Life,0.67
940,erode,wear,Action,Nature,0.53
941,running,track,Related Concept,Sports,0.62
942,discovery,finding,Synonym,Science,0.82
943,river,valley,Location,Nature,0.52
944,subject,mathematics,Category Member,Education,0.52
945,teacher,instructor,Synonym,Education,0.82
946,merge,combine,Action,Business,0.51
947,teach,instruct,Action,Education,0.55
948,cook,chef,Profession,Daily Life,0.47
949,supply,demand,Antonym,Business,0.16
950,sport,basketball,Category Member,Sports,0.55
951,startup,funding,Related Concept,Business,0.59
952,victory,win,Synonym,Sports,0.85
953,equipment,gloves,Category Member,Sports,0.51
954,retail,inventory,Related Concept,Business,0.59
955,hardware,keyboard,Category Member,Technology,0.64
956,meeting,projector,Object,Business,0.43
957,tennis,racket,Object,Sports,0.45
958,full,empty,Antonym,Daily Life,0.13
959,animal,deer,Category Member,Nature,0.61
960,developer,coder,Profession,Technology,0.56
961,official,referee,Profession,Sports,0.51
962,hardware,keyboard,Category Member,Technology,0.54
963,football,stadium,Related Concept,Sports,0.53
964,visible,invisible,Antonym,Science,0.27
965,experiment,trial,Synonym,Science,0.92
966,fish,pond,Object,Nature,0.39
967,finance,budget,Related Concept,Business,0.61
968,commute,traffic,Related Concept,Daily Life,0.56
969,experiment,trial,Synonym,Science,0.82
970,researcher,scientist,Profession,Science,0.55
971,exam,test,Synonym,Education,0.81
972,furniture,table,Category Member,Daily Life,0.57
973,grade,score,Synonym,Education,0.83
974,study,review,Action,Education,0.43
975,supply,demand,Antonym,Business,0.29
976,employee,staff member,Profession,Business,0.57
977,animal,fox,Category Member,Nature,0.62
978,department,finance,Category Member,Business,0.63
979,startup,funding,Related Concept,Business,0.51
980,geology,mineral,Related Concept,Science,0.54
981,bug,glitch,Synonym,Technology,0.93
982,river,valley,Location,Nature,0.44
983,executive,manager,Profession,Business,0.53
984,soccer,ball,Object,Sports,0.43
985,amateur,professional,Antonym,Sports,0.26
986,import,export,Antonym,Business,0.23
987,bear,den,Object,Nature,0.47
988,department,finance,Category Member,Business,0.52
989,department,marketing,Category Member,Business,0.67
990,grade,evaluate,Action,Education,0.47
991,modern,outdated,Antonym,Technology,0.17
992,large,huge,Synonym,Technology,0.92
993,laptop,battery,Object,Technology,0.39
994,awake,asleep,Antonym,Daily Life,0.22
995,researcher,biologist,Profession,Science,0.53
996,hire,recruit,Action,Business,0.5
997,migrate,travel,Action,Nature,0.43
998,chemistry,reaction,Related Concept,Science,0.45
999,strong,powerful,Synonym,Sports,0.81
1000,forest,national park,Location,Nature,0.42
1001,data,information,Synonym,Science,0.89
1002,developer,programmer,Profession,Technology,0.56
1003,astronomy,observatory,Location,Science,0.38
1004,hibernate,rest,Action,Nature,0.45
1005,astronomer,telescope,Object,Science,0.44
1006,office,desk,Object,Business,0.55
1007,hire,recruit,Action,Business,0.54
1008,profit,earnings,Synonym,Business,0.93
1009,pass,fail,Antonym,Education,0.1
1010,furniture,chair,Category Member,Daily Life,0.6
1011,grade,evaluate,Action,Education,0.52
1012,secure,protected,Synonym,Technology,0.87
1013,tennis,court,Location,Sports,0.5
1014,researcher,biologist,Profession,Science,0.47
1015,smart,intelligent,Synonym,Education,0.86
1016,teacher,instructor,Synonym,Education,0.84
1017,clean,tidy,Action,Daily Life,0.44
1018,large,huge,Synonym,Technology,0.82
1019,database,query,Related Concept,Technology,0.47
1020,chemist,flask,Object,Science,0.46
1021,student,backpack,Object,Education,0.45
1022,office,desk,Object,Business,0.44
1023,forest,national park,Location,Nature,0.54
1024,software,update,Related Concept,Technology,0.62
1025,biology,field station,Location,Science,0.46
1026,garden,planting,Related Concept,Daily Life,0.59
1027,house,home,Synonym,Daily Life,0.86
1028,swimming,pool,Related Concept,Sports,0.46
1029,desert,drought,Related Concept,Nature,0.47
1030,department,marketing,Category Member,Business,0.66
1031,library,research,Related Concept,Education,0.52
1032,analyze,interpret,Action,Science,0.47
1033,swimming,pool,Location,Sports,0.42
1034,official,umpire,Profession,Sports,0.47
1035,running,track,Related Concept,Sports,0.63
1036,mountain,peak,Synonym,Nature,0.88
1037,fast,slow,Antonym,Technology,0.17
1038,database,query,Related Concept,Technology,0.63
1039,ocean,coral reef,Related Concept,Nature,0.48
1040,running,track,Related Concept,Sports,0.45
1041,tree,oak,Category Member,Nature,0.57
1042,tree,oak,Category Member,Nature,0.63
1043,cheap,affordable,Synonym,Technology,0.82
1044,swimming,pool,Related Concept,Sports,0.55
1045,market,town square,Location,Daily Life,0.41
1046,strong,powerful,Synonym,Sports,0.87
1047,bloom,flower,Action,Nature,0.46
1048,athlete,player,Profession,Sports,0.48
1049,hot,cold,Antonym,Nature,0.24
1050,gadget,smartwatch,Category Member,Technology,0.65
1051,coach,trainer,Synonym,Sports,0.85
1052,kitchen,home,Location,Daily Life,0.54
1053,smart,intelligent,Synonym,Technology,0.87
1054,classroom,desk,Object,Education,0.54
1055,company,headquarters,Location,Business,0.36
1056,soccer,ball,Object,Sports,0.44
1057,computer,laptop,Synonym,Technology,0.9
1058,cleaner,housekeeper,Profession,Daily Life,0.46
1059,cloud,storage,Related Concept,Technology,0.65
1060,sport,soccer,Category Member,Sports,0.58
1061,bear,den,Object,Nature,0.51
1062,merge,combine,Action,Business,0.52
1063,boxer,gloves,Object,Sports,0.4
1064,coach,mentor,Action,Sports,0.59
1065,developer,programmer,Profession,Technology,0.59
1066,merge,combine,Action,Business,0.48
1067,accountant,spreadsheet,Object,Business,0.52
1068,animal,fox,Category Member,Nature,0.5
1069,official,umpire,Profession,Sports,0.58
1070,offense,defense,Antonym,Sports,0.19
1071,classroom,lecture,Related Concept,Education,0.52
1072,counselor,advisor,Profession,Education,0.59
1073,wet,dry,Antonym,Nature,0.23
1074,astronomer,telescope,Object,Science,0.49
1075,soccer,ball,Object,Sports,0.38
1076,lab,beaker,Object,Science,0.42
1077,startup,tech hub,Location,Technology,0.38
1078,cleaner,housekeeper,Profession,Daily Life,0.54
1079,grade,evaluate,Action,Education,0.48
1080,secure,protected,Synonym,Technology,0.95
1081,football,stadium,Location,Sports,0.4
1082,analyze,interpret,Action,Science,0.51
1083,hardware,keyboard,Category Member,Technology,0.52
1084,hypothesis,theory,Synonym,Science,0.89
1085,physics,force,Related Concept,Science,0.49
1086,river,ecosystem,Related Concept,Nature,0.53
1087,university,degree,Related Concept,Education,0.48
1088,device,tablet,Category Member,Technology,0.59
1089,server,data center,Location,Technology,0.45
1090,animal,fox,Category Member,Nature,0.65
1091,bedroom,pillow,Object,Daily Life,0.4
1092,river,valley,Location,Nature,0.49
1093,install,setup,Action,Technology,0.56
1094,wet,dry,Antonym,Nature,0.18
1095,kitchen,home,Location,Daily Life,0.41
1096,tree,pine,Category Member,Nature,0.52
1097,soccer,ball,Object,Sports,0.51
1098,river,stream,Synonym,Nature,0.82
1099,measure,calculate,Action,Science,0.54
1100,smart,intelligent,Synonym,Education,0.8
1101,element,hydrogen,Category Member,Science,0.55
1102,executive,manager,Profession,Business,0.45
1103,mountain,peak,Synonym,Nature,0.81
1104,university,campus,Location,Education,0.4
1105,startup,tech hub,Location,Technology,0.43
1106,book,textbook,Synonym,Education,0.91
1107,strong,weak,Antonym,Sports,0.28
1108,morning,evening,Antonym,Daily Life,0.24
1109,soccer,ball,Object,Sports,0.45
1110,bug,glitch,Synonym,Technology,0.91
1111,role,manager,Category Member,Business,0.62
1112,sport,soccer,Category Member,Sports,0.52
1113,public,private,Antonym,Education,0.14
1114,compete,play,Action,Sports,0.48
1115,full,empty,Antonym,Daily Life,0.29
1116,school,university,Category Member,Education,0.57
1117,client,customer,Synonym,Business,0.85
1118,swimming,pool,Related Concept,Sports,0.51
1119,degree,master's,Category Member,Education,0.68
1120,library,reading room,Location,Education,0.42
1121,driver,commuter,Profession,Daily Life,0.53
1122,river,stream,Synonym,Nature,0.86
1123,library,research,Related Concept,Education,0.51
1124,observe,record,Action,Science,0.58
1125,wireless,wired,Antonym,Technology,0.2
1126,gadget,smartwatch,Category Member,Technology,0.51
1127,analyst,data scientist,Profession,Technology,0.48
1128,instrument,microscope,Category Member,Science,0.53
1129,furniture,chair,Category Member,Daily Life,0.55
1130,negotiate,bargain,Action,Business,0.55
1131,teacher,student,Antonym,Education,0.2
1132,server,data center,Location,Technology,0.51
1133,classroom,lecture,Related Concept,Education,0.49
1134,exam,grading,Related Concept,Education,0.65
1135,school,curriculum,Related Concept,Education,0.57
1136,classroom,desk,Object,Education,0.52
1137,hypothesis,theory,Synonym,Science,0.93
1138,happy,glad,Synonym,Daily Life,0.87
1139,computer,keyboard,Object,Technology,0.36
1140,finance,budget,Related Concept,Business,0.57
1141,lab,beaker,Object,Science,0.48
1142,degree,bachelor's,Category Member,Education,0.58
1143,modern,outdated,Antonym,Technology,0.18
1144,exam,test,Synonym,Education,0.87
1145,furniture,chair,Category Member,Daily Life,0.64
1146,coach,trainer,Synonym,Sports,0.86
1147,happy,glad,Synonym,Daily Life,0.91
1148,classroom,desk,Object,Education,0.36
1149,modern,outdated,Antonym,Technology,0.16
1150,wet,dry,Antonym,Nature,0.19
1151,planet,earth,Category Member,Science,0.7
1152,ocean,coral reef,Related Concept,Nature,0.63
1153,subject,mathematics,Category Member,Education,0.59
1154,biology,cell,Related Concept,Science,0.47
1155,computer,keyboard,Object,Technology,0.51
1156,supply,demand,Antonym,Business,0.19
1157,school,university,Category Member,Education,0.64
1158,modern,outdated,Antonym,Technology,0.25
1159,ocean,coral reef,Related Concept,Nature,0.47
1160,secure,vulnerable,Antonym,Technology,0.2
1161,school,university,Category Member,Education,0.6
1162,organic,synthetic,Antonym,Science,0.2
1163,relax,unwind,Action,Daily Life,0.41
1164,buy,sell,Antonym,Business,0.11
1165,network,router,Related Concept,Technology,0.6
1166,software,update,Related Concept,Technology,0.58
1167,finance,budget,Related Concept,Business,0.52
1168,subject,mathematics,Category Member,Education,0.61
1169,cleaner,housekeeper,Profession,Daily Life,0.49
1170,online,offline,Antonym,Technology,0.2
1171,strong,weak,Antonym,Sports,0.29
1172,counselor,advisor,Profession,Education,0.54
1173,clean,dirty,Antonym,Daily Life,0.26
1174,tennis,court,Location,Sports,0.53
1175,exam,test,Synonym,Education,0.89
1176,import,export,Antonym,Business,0.25
1177,merge,combine,Action,Business,0.53
1178,exam,grading,Related Concept,Education,0.55
1179,classroom,desk,Object,Education,0.47
1180,researcher,scientist,Profession,Science,0.49
1181,forest,woodland,Synonym,Nature,0.82
1182,subject,history,Category Member,Education,0.57
1183,astronomy,galaxy,Related Concept,Science,0.54
1184,subject,history,Category Member,Education,0.53
1185,happy,glad,Synonym,Daily Life,0.88
1186,hardware,monitor,Category Member,Technology,0.66
1187,commute,travel,Action,Daily Life,0.59
1188,browser,tab,Related Concept,Technology,0.53
1189,factory,warehouse,Location,Business,0.49
1190,team,squad,Synonym,Sports,0.95
1191,cook,chef,Profession,Daily Life,0.54
1192,buy,sell,Antonym,Business,0.14
1193,study,review,Action,Education,0.55
1194,retail,inventory,Related Concept,Business,0.56
1195,educator,professor,Profession,Education,0.43
1196,biology,cell,Related Concept,Science,0.54
1197,accurate,precise,Synonym,Science,0.9
1198,university,degree,Related Concept,Education,0.5
1199,profit,loss,Antonym,Business,0.28
1200,startup,tech hub,Location,Technology,0.54
1201,study,review,Action,Education,0.5
1202,basketball,court,Related Concept,Sports,0.53
1203,fast,quick,Synonym,Sports,0.9
1204,cook,chef,Profession,Daily Life,0.4
1205,meal,dish,Synonym,Daily Life,0.85
1206,book,textbook,Synonym,Education,0.94
1207,library,reading room,Location,Education,0.45
1208,retail,inventory,Related Concept,Business,0.51
1209,awake,asleep,Antonym,Daily Life,0.2
1210,relax,unwind,Action,Daily Life,0.42
1211,friend,companion,Synonym,Daily Life,0.81
1212,exam,test,Synonym,Education,0.8
1213,coach,mentor,Action,Sports,0.45
1214,researcher,chemist,Profession,Science,0.53
1215,market,town square,Location,Daily Life,0.37
1216,kitchen,cooking,Related Concept,Daily Life,0.55
1217,ocean,coral reef,Related Concept,Nature,0.62
1218,meeting,projector,Object,Business,0.49
1219,fish,pond,Object,Nature,0.53
1220,discovery,finding,Synonym,Science,0.83
1221,kitchen,home,Location,Daily Life,0.43
1222,library,reading room,Location,Education,0.46
1223,analyze,interpret,Action,Science,0.41
1224,geology,mineral,Related Concept,Science,0.47
1225,measure,calculate,Action,Science,0.55
1226,negotiate,bargain,Action,Business,0.54
1227,office,desk,Object,Business,0.51
1228,software,app,Category Member,Technology,0.62
1229,desert,drought,Related Concept,Nature,0.56
1230,sport,basketball,Category Member,Sports,0.54
1231,client,customer,Synonym,Business,0.9
1232,school,curriculum,Related Concept,Education,0.49
1233,startup,tech hub,Location,Technology,0.47
1234,developer,coder,Profession,Technology,0.54
1235,computer,laptop,Synonym,Technology,0.85
1236,train,practice,Action,Sports,0.45
1237,visible,invisible,Antonym,Science,0.23
1238,bedroom,pillow,Object,Daily Life,0.39
1239,astronomy,galaxy,Related Concept,Science,0.57
1240,finance,budget,Related Concept,Business,0.49
1241,computer,mouse,Object,Technology,0.45
1242,public,private,Antonym,Education,0.17
1243,element,oxygen,Category Member,Science,0.55
1244,employee,staff member,Profession,Business,0.59
1245,official,umpire,Profession,Sports,0.48
1246,researcher,scientist,Profession,Science,0.52
1247,fast,slow,Antonym,Technology,0.21
1248,cook,prepare,Action,Daily Life,0.43
1249,profit,loss,Antonym,Business,0.24
1250,grade,score,Synonym,Education,0.86
1251,discovery,finding,Synonym,Science,0.88
1252,researcher,scientist,Profession,Science,0.5
1253,market,town square,Location,Daily Life,0.4
1254,furniture,table,Category Member,Daily Life,0.64
1255,install,setup,Action,Technology,0.58
1256,soccer,ball,Object,Sports,0.42
1257,supply,demand,Antonym,Business,0.25
1258,enroll,register,Action,Education,0.49
1259,ocean,sea,Synonym,Nature,0.9
1260,house,home,Synonym,Daily Life,0.91
1261,amateur,professional,Antonym,Sports,0.24
1262,relax,unwind,Action,Daily Life,0.5
1263,install,setup,Action,Technology,0.59
1264,commute,travel,Action,Daily Life,0.53
1265,grade,score,Synonym,Education,0.8
1266,counselor,advisor,Profession,Education,0.43
1267,swimming,pool,Location,Sports,0.41
1268,cloud,storage,Related Concept,Technology,0.57
1269,mountain,peak,Synonym,Nature,0.94
1270,ranger,conservationist,Profession,Nature,0.48
1271,sport,soccer,Category Member,Sports,0.53
1272,equipment,helmet,Category Member,Sports,0.59
1273,department,marketing,Category Member,Business,0.55
1274,wild,tame,Antonym,Nature,0.16
1275,client,customer,Synonym,Business,0.81
1276,strong,weak,Antonym,Sports,0.25
1277,amateur,professional,Antonym,Sports,0.29
1278,kitchen,stove,Object,Daily Life,0.44
1279,cook,chef,Profession,Daily Life,0.5
1280,meeting,projector,Object,Business,0.5
1281,fish,pond,Object,Nature,0.46
1282,commute,travel,Action,Daily Life,0.48
1283,official,umpire,Profession,Sports,0.49
1284,browser,tab,Related Concept,Technology,0.49
1285,university,campus,Location,Education,0.39
1286,coach,mentor,Action,Sports,0.4
1287,coach,trainer,Synonym,Sports,0.8
1288,animal,fox,Category Member,Nature,0.53
1289,equipment,gloves,Category Member,Sports,0.65
1290,startup,tech hub,Location,Technology,0.39
1291,planet,earth,Category Member,Science,0.61
1292,happy,glad,Synonym,Daily Life,0.86
1293,forest,national park,Location,Nature,0.45
1294,compile,build,Action,Technology,0.55
1295,secure,vulnerable,Antonym,Technology,0.24
1296,startup,tech hub,Location,Technology,0.55
1297,database,query,Related Concept,Technology,0.57
1298,deploy,launch,Action,Technology,0.5
1299,browser,tab,Related Concept,Technology,0.5
1300,animal,deer,Category Member,Nature,0.62
1301,desert,drought,Related Concept,Nature,0.49
1302,hire,recruit,Action,Business,0.52
1303,astronomy,observatory,Location,Science,0.44
1304,classroom,whiteboard,Object,Education,0.54
1305,organic,synthetic,Antonym,Science,0.3
1306,full,empty,Antonym,Daily Life,0.11
1307,mountain,range,Location,Nature,0.51
1308,observe,record,Action,Science,0.52
1309,full,empty,Antonym,Daily Life,0.25
1310,bathroom,mirror,Object,Daily Life,0.44
1311,erode,wear,Action,Nature,0.56
1312,university,campus,Location,Education,0.46
1313,software,update,Related Concept,Technology,0.53
1314,tree,pine,Category Member,Nature,0.6
1315,beginner,expert,Antonym,Education,0.15
1316,compete,play,Action,Sports,0.59
1317,startup,funding,Related Concept,Business,0.53
1318,biology,field station,Location,Science,0.47
1319,degree,bachelor's,Category Member,Education,0.68
1320,merge,combine,Action,Business,0.5
1321,team,squad,Synonym,Sports,0.85
1322,teacher,chalkboard,Object,Education,0.41
1323,bathroom,mirror,Object,Daily Life,0.47
1324,software,update,Related Concept,Technology,0.46
