id,sentence_1,sentence_2,similarity_score,similarity_label,relationship
579,Sources confirmed that the hospital's new wing focuses on caring for young patients.,The hospital closed its pediatric care wing due to budget cuts.,0.24,Low,Contradiction
580,"According to the report, the orchestra honored the late composer with an emotional performance.","As widely reported, a moving tribute to the late composer was performed by the orchestra.",0.79,High,Paraphrase
581,It was noted that the film received widespread critical acclaim upon release.,The lead actor won several awards for the role.,0.49,Medium,Related
582,"Upon its release, the film was widely praised by critics.",It was noted that the museum's latest exhibit focuses on ancient civilizations.,0.07,Very Low,Unrelated
583,"As widely reported, the council voted to fund the construction of a new public park.",Sources confirmed that the company announced record profits this quarter.,0.02,Very Low,Unrelated
584,"Notably, the scientists published groundbreaking research on renewable energy.",It was noted that the startup developed an app that helps farmers monitor soil health.,0.03,Very Low,Unrelated
585,It was noted that the championship was won by the soccer team in a thrilling final match.,It was noted that the soccer team won the championship after a dramatic final.,0.79,High,Paraphrase
586,"According to the report, last weekend, volunteers spent hours removing litter from the riverbank.","Last weekend, volunteers spent hours removing litter from the riverbank.",0.76,High,Paraphrase
587,"As widely reported, a delicious meal was made by the chef for the guests.","Notably, the chef ruined the meal and the guests left disappointed.",0.29,Low,Contradiction
588,It was noted that the film received widespread critical acclaim upon release.,It was noted that the lead actor won several awards for the role.,0.6,Medium,Related
589,"According to the report, the smartphone's camera has been greatly improved in this new version.",A much better camera is one of the new smartphone's key features.,0.75,High,Paraphrase
590,It was noted that the startup developed an app that helps farmers monitor soil health.,Farmers can now use the startup's app to track soil health.,0.82,High,Paraphrase
591,It was noted that new equipment was installed at the factory to cut energy use.,"According to the report, the upgrade is expected to lower operating costs significantly.",0.64,Medium,Related
592,"Notably, a new exhibit about ancient civilizations opened at the museum.","Notably, visitors can attend guided tours of the museum every weekend.",0.57,Medium,Related
593,"For their final exams, the students prepared diligently.","According to the report, the students barely studied and skipped most of their classes.",0.22,Low,Contradiction
594,Sources confirmed that the orchestra honored the late composer with an emotional performance.,A moving tribute to the late composer was performed by the orchestra.,0.83,High,Paraphrase
595,"As widely reported, a new gluten-free pastry line was launched by the bakery.",The students studied hard for their final exams.,0.14,Very Low,Unrelated
596,"According to the report, funding for a new public park was approved by the city council.","Notably, the city council rejected the proposal for a new public park.",0.29,Low,Contradiction
597,"Notably, the museum unveiled a new exhibit on ancient civilizations.",The museum unveiled a new exhibit on ancient civilizations.,0.97,Very High,Same Meaning
598,It was noted that the chef prepared a delicious meal for the guests.,"According to the report, new equipment was installed at the factory to cut energy use.",0.05,Very Low,Unrelated
599,"Just before sunset, the hikers arrived at the summit.",The hikers turned back before reaching the summit.,0.28,Low,Contradiction
600,"As widely reported, the city council approved funding for a new public park.",It was noted that investors reacted positively to the company's latest earnings call.,0.05,Very Low,Unrelated
601,"Notably, several flights were canceled by the airline because of poor weather conditions.",It was noted that the airline canceled several flights due to bad weather.,0.78,High,Paraphrase
602,"As widely reported, the city council approved funding for a new public park.",Sources confirmed that local residents have long requested more green spaces downtown.,0.57,Medium,Related
603,"Sources confirmed that due to bad weather, the airline had to cancel a number of flights.","As widely reported, the airline operated all its flights on schedule despite the storm.",0.3,Low,Contradiction
604,The company announced record profits this quarter.,"As widely reported, investors reacted positively to the company's latest earnings call.",0.58,Medium,Related
605,"Notably, the museum's latest exhibit focuses on ancient civilizations.",Visitors can attend guided tours of the museum every weekend.,0.51,Medium,Related
606,"It was noted that this quarter, the company reported record breaking profits.","Notably, record profits were announced by the company for the current quarter.",0.96,Very High,Same Meaning
607,"Notably, a bike-sharing program was launched by the city to ease traffic congestion.",Sources confirmed that a bike-sharing program was launched by the city to ease traffic congestion.,0.77,High,Paraphrase
608,"This spring, the novelist's long-awaited sequel finally arrived.","According to the report, this spring, the novelist's long-awaited sequel finally arrived.",0.98,Very High,Same Meaning
609,"Notably, the new smartphone features a significantly improved camera.",Sources confirmed that several flights were canceled by the airline because of poor weather conditions.,0.06,Very Low,Unrelated
610,The hospital's new wing focuses on caring for young patients.,"Notably, the hospital's new wing focuses on caring for young patients.",0.86,High,Paraphrase
611,"As widely reported, the hikers reached the summit just before sunset.",It was noted that the hikers turned back before reaching the summit.,0.25,Low,Contradiction
612,"Notably, the volunteers cleaned up litter along the riverbank last weekend.","Notably, litter along the riverbank was cleared by volunteers last weekend.",0.96,Very High,Same Meaning
613,The hikers reached the summit just before sunset.,Sources confirmed that thousands of fans celebrated in the streets after the victory.,0.1,Very Low,Unrelated
614,It was noted that the scientists published groundbreaking research on renewable energy.,It was noted that the research team released a major study about renewable energy.,0.84,High,Paraphrase
615,"According to the report, a bike-sharing program was launched by the city to ease traffic congestion.",Cyclists reported feeling safer thanks to new dedicated bike lanes.,0.63,Medium,Related
616,The museum unveiled a new exhibit on ancient civilizations.,"According to the report, new equipment was installed at the factory to cut energy use.",0.07,Very Low,Unrelated
617,"As widely reported, the airline canceled several flights due to bad weather.","It was noted that this quarter, the company reported record breaking profits.",0.1,Very Low,Unrelated
618,It was noted that the bakery started offering gluten-free pastries as a new product line.,"According to the report, the bakery discontinued its gluten-free pastry line due to low demand.",0.3,Low,Contradiction
619,"Notably, the guests were served a tasty meal that the chef had cooked.",The guests were served a tasty meal that the chef had cooked.,0.81,High,Paraphrase
620,The students studied hard for their final exams.,"According to the report, the students barely studied and skipped most of their classes.",0.29,Low,Contradiction
621,The new smartphone features a significantly improved camera.,Sources confirmed that reviewers praised the phone's battery life and sleek design.,0.49,Medium,Related
622,The hikers reached the summit just before sunset.,"Just before sunset, the hikers arrived at the summit.",0.98,Very High,Same Meaning
623,The students studied hard for their final exams.,Sources confirmed that the teacher offered extra review sessions before the exam period.,0.57,Medium,Related
624,The championship was won by the soccer team in a thrilling final match.,"According to the report, after a dramatic final, the soccer team claimed the championship title.",0.87,High,Paraphrase
625,Sources confirmed that the company announced record profits this quarter.,"According to the report, investors reacted positively to the company's latest earnings call.",0.6,Medium,Related
626,"As widely reported, the city council approved funding for a new public park.",The city council approved funding for a new public park.,0.88,High,Paraphrase
627,"As widely reported, the museum unveiled a new exhibit on ancient civilizations.",Sources confirmed that visitors can attend guided tours of the museum every weekend.,0.49,Medium,Related
628,"According to the report, a bike-sharing program was launched by the city to ease traffic congestion.","According to the report, the city shut down its bike-sharing program after low usage.",0.25,Low,Contradiction
629,"According to the report, new equipment was installed at the factory to cut energy use.","As widely reported, just before sunset, the hikers arrived at the summit.",0.0,Very Low,Unrelated
630,The scientists published groundbreaking research on renewable energy.,"As widely reported, the scientists' research on renewable energy was widely criticized as flawed.",0.24,Low,Contradiction
631,Sources confirmed that a new pediatric care wing was opened at the hospital.,"As widely reported, the hospital closed its pediatric care wing due to budget cuts.",0.3,Low,Contradiction
632,Sources confirmed that the hospital opened a new wing dedicated to pediatric care.,"Notably, the hospital's new wing focuses on caring for young patients.",0.85,High,Paraphrase
633,Sources confirmed that the bakery started offering gluten-free pastries as a new product line.,Sources confirmed that customers have praised the bakery's friendly staff and cozy atmosphere.,0.59,Medium,Related
634,"As widely reported, an app for monitoring soil health was created by the startup for farmers.",Sources confirmed that farmers can now use the startup's app to track soil health.,0.85,High,Paraphrase
635,A much better camera is one of the new smartphone's key features.,"According to the report, reviewers praised the phone's battery life and sleek design.",0.54,Medium,Related
636,"Notably, this spring, the novelist's long-awaited sequel finally arrived.",It was noted that the novelist released her long-awaited sequel this spring.,0.77,High,Paraphrase
637,The council voted to fund the construction of a new public park.,"As widely reported, the hospital's new wing focuses on caring for young patients.",0.09,Very Low,Unrelated
638,"According to the report, critics gave the film glowing reviews when it came out.",Sources confirmed that the film was widely panned by critics upon release.,0.33,Low,Contradiction
639,"Notably, the soccer team won the championship after a dramatic final.","According to the report, the scientists published groundbreaking research on renewable energy.",0.02,Very Low,Unrelated
640,"According to the report, the chef prepared a delicious meal for the guests.",A delicious meal was made by the chef for the guests.,0.82,High,Paraphrase
641,"It was noted that due to bad weather, the airline had to cancel a number of flights.","Notably, several flights were canceled by the airline because of poor weather conditions.",0.85,High,Paraphrase
642,"According to the report, this quarter, the company reported record breaking profits.",Sources confirmed that record profits were announced by the company for the current quarter.,0.83,High,Paraphrase
643,It was noted that the company announced record profits this quarter.,Sources confirmed that record profits were announced by the company for the current quarter.,0.82,High,Paraphrase
644,"As widely reported, the new smartphone features a significantly improved camera.","As widely reported, the new smartphone's camera quality is worse than the previous model.",0.26,Low,Contradiction
645,"It was noted that last weekend, volunteers spent hours removing litter from the riverbank.",The event was organized by a local environmental group.,0.62,Medium,Related
646,The startup developed an app that helps farmers monitor soil health.,Sources confirmed that an app for monitoring soil health was created by the startup for farmers.,0.84,High,Paraphrase
647,Sources confirmed that the research team released a major study about renewable energy.,The research team released a major study about renewable energy.,0.82,High,Paraphrase
648,Sources confirmed that the city council approved funding for a new public park.,"As widely reported, the city council rejected the proposal for a new public park.",0.22,Low,Contradiction
649,"Sources confirmed that upon its release, the film was widely praised by critics.",It was noted that the lead actor won several awards for the role.,0.53,Medium,Related
650,The hospital's new wing focuses on caring for young patients.,Sources confirmed that the hospital closed its pediatric care wing due to budget cuts.,0.21,Low,Contradiction
651,The company announced record profits this quarter.,"Notably, the company announced record profits this quarter.",0.99,Very High,Same Meaning
652,Groundbreaking research on renewable energy was published by the scientists.,"According to the report, groundbreaking research on renewable energy was published by the scientists.",0.94,Very High,Same Meaning
653,"According to the report, the factory's energy consumption dropped after an equipment upgrade.","As widely reported, the factory's energy consumption rose after the equipment failed.",0.23,Low,Contradiction
654,"As widely reported, a new gluten-free pastry line was launched by the bakery.","According to the report, the bakery started offering gluten-free pastries as a new product line.",0.9,Very High,Same Meaning
655,"Sources confirmed that this quarter, the company reported record breaking profits.","As widely reported, investors reacted positively to the company's latest earnings call.",0.5,Medium,Related
656,Sources confirmed that the students put in a lot of effort studying for finals.,"Notably, the museum's latest exhibit focuses on ancient civilizations.",0.13,Very Low,Unrelated
657,Sources confirmed that a new pediatric care wing was opened at the hospital.,"As widely reported, passengers were offered vouchers for future travel after the disruption.",0.11,Very Low,Unrelated
658,"As widely reported, the students studied hard for their final exams.","Notably, for their final exams, the students prepared diligently.",0.88,High,Paraphrase
659,"According to the report, groundbreaking research on renewable energy was published by the scientists.","As widely reported, the scientists published groundbreaking research on renewable energy.",0.86,High,Paraphrase
660,"According to the report, the chef prepared a delicious meal for the guests.",Sources confirmed that the restaurant received great reviews for its outstanding service.,0.51,Medium,Related
661,"Sources confirmed that due to bad weather, the airline had to cancel a number of flights.","According to the report, passengers were offered vouchers for future travel after the disruption.",0.53,Medium,Related
662,"According to the report, several flights were canceled by the airline because of poor weather conditions.",It was noted that the airline operated all its flights on schedule despite the storm.,0.22,Low,Contradiction
663,It was noted that the museum unveiled a new exhibit on ancient civilizations.,Sources confirmed that the museum unveiled a new exhibit on ancient civilizations.,0.92,Very High,Same Meaning
664,"Last weekend, volunteers spent hours removing litter from the riverbank.","As widely reported, the event was organized by a local environmental group.",0.49,Medium,Related
665,Sources confirmed that a new gluten-free pastry line was launched by the bakery.,It was noted that the factory's energy consumption dropped after an equipment upgrade.,0.09,Very Low,Unrelated
666,"As widely reported, the students studied hard for their final exams.",Sources confirmed that the students barely studied and skipped most of their classes.,0.27,Low,Contradiction
667,"Notably, the new smartphone features a significantly improved camera.",Sources confirmed that critics gave the film glowing reviews when it came out.,0.12,Very Low,Unrelated
668,Sources confirmed that several flights were canceled by the airline because of poor weather conditions.,"According to the report, the airline operated all its flights on schedule despite the storm.",0.32,Low,Contradiction
669,"As widely reported, just before sunset, the hikers arrived at the summit.","As widely reported, the hikers turned back before reaching the summit.",0.17,Low,Contradiction
670,"According to the report, a new exhibit about ancient civilizations opened at the museum.",Sources confirmed that visitors can attend guided tours of the museum every weekend.,0.46,Medium,Related
671,Sources confirmed that the new smartphone features a significantly improved camera.,"As widely reported, reviewers praised the phone's battery life and sleek design.",0.65,Medium,Related
672,The factory upgraded its equipment to reduce energy consumption.,Sources confirmed that the factory's energy consumption rose after the equipment failed.,0.24,Low,Contradiction
673,The museum's latest exhibit focuses on ancient civilizations.,The museum unveiled a new exhibit on ancient civilizations.,0.9,Very High,Same Meaning
674,The hospital's new wing focuses on caring for young patients.,It was noted that the hospital opened a new wing dedicated to pediatric care.,0.92,Very High,Same Meaning
675,"It was noted that after a dramatic final, the soccer team claimed the championship title.",The soccer team won the championship after a dramatic final.,0.93,Very High,Same Meaning
676,"Notably, to cut down on traffic, the city introduced a bike-sharing program.","As widely reported, a bike-sharing program was launched by the city to ease traffic congestion.",0.76,High,Paraphrase
677,The museum's latest exhibit focuses on ancient civilizations.,The museum unveiled a new exhibit on ancient civilizations.,0.85,High,Paraphrase
678,Funding for a new public park was approved by the city council.,The city council rejected the proposal for a new public park.,0.15,Low,Contradiction
679,Sources confirmed that the students studied hard for their final exams.,The teacher offered extra review sessions before the exam period.,0.45,Medium,Related
680,It was noted that a bike-sharing program was launched by the city to ease traffic congestion.,"As widely reported, the city shut down its bike-sharing program after low usage.",0.16,Low,Contradiction
681,"Upon its release, the film was widely praised by critics.","Notably, critics gave the film glowing reviews when it came out.",0.84,High,Paraphrase
682,It was noted that the council voted to fund the construction of a new public park.,"According to the report, last weekend, volunteers spent hours removing litter from the riverbank.",0.05,Very Low,Unrelated
683,"Sources confirmed that due to bad weather, the airline had to cancel a number of flights.","Upon its release, the film was widely praised by critics.",0.05,Very Low,Unrelated
684,"As widely reported, after a dramatic final, the soccer team claimed the championship title.",Sources confirmed that the soccer team won the championship after a dramatic final.,0.83,High,Paraphrase
685,"Notably, funding for a new public park was approved by the city council.",It was noted that local residents have long requested more green spaces downtown.,0.49,Medium,Related
686,"As widely reported, a much better camera is one of the new smartphone's key features.",It was noted that the students studied hard for their final exams.,0.12,Very Low,Unrelated
687,"As widely reported, the scientists published groundbreaking research on renewable energy.","Notably, groundbreaking research on renewable energy was published by the scientists.",0.91,Very High,Same Meaning
688,"Notably, an app for monitoring soil health was created by the startup for farmers.","As widely reported, the championship was won by the soccer team in a thrilling final match.",0.02,Very Low,Unrelated
689,"Notably, the hospital's new wing focuses on caring for young patients.","According to the report, a bike-sharing program was launched by the city to ease traffic congestion.",0.08,Very Low,Unrelated
690,Sources confirmed that a much better camera is one of the new smartphone's key features.,"As widely reported, the new smartphone features a significantly improved camera.",0.86,High,Paraphrase
691,"According to the report, the city launched a bike-sharing program to reduce traffic congestion.","According to the report, to cut down on traffic, the city introduced a bike-sharing program.",0.92,Very High,Same Meaning
692,It was noted that the bakery started offering gluten-free pastries as a new product line.,Sources confirmed that the research team released a major study about renewable energy.,0.06,Very Low,Unrelated
693,"This spring, the novelist's long-awaited sequel finally arrived.","Notably, the book tour will include stops in several major cities.",0.57,Medium,Related
694,"According to the report, the hospital's new wing focuses on caring for young patients.","Notably, the hospital's new wing focuses on caring for young patients.",0.87,High,Paraphrase
695,"Sources confirmed that for their final exams, the students prepared diligently.",The teacher offered extra review sessions before the exam period.,0.55,Medium,Related
696,Sources confirmed that the hospital's new wing focuses on caring for young patients.,"According to the report, a new pediatric care wing was opened at the hospital.",0.98,Very High,Same Meaning
697,Sources confirmed that the council voted to fund the construction of a new public park.,"As widely reported, local residents have long requested more green spaces downtown.",0.51,Medium,Related
698,"Notably, the students studied hard for their final exams.","Notably, for their final exams, the students prepared diligently.",0.83,High,Paraphrase
699,"According to the report, funding for a new public park was approved by the city council.",The city council rejected the proposal for a new public park.,0.29,Low,Contradiction
700,The hikers reached the summit just before sunset.,"Notably, just before sunset, the hikers arrived at the summit.",0.97,Very High,Same Meaning
701,The company announced record profits this quarter.,It was noted that the company announced record profits this quarter.,0.97,Very High,Same Meaning
702,A delicious meal was made by the chef for the guests.,It was noted that the guests were served a tasty meal that the chef had cooked.,0.84,High,Paraphrase
703,The students put in a lot of effort studying for finals.,"It was noted that for their final exams, the students prepared diligently.",0.9,Very High,Same Meaning
704,"Notably, this spring, the novelist's long-awaited sequel finally arrived.","According to the report, the book tour will include stops in several major cities.",0.54,Medium,Related
705,"As widely reported, to cut down on traffic, the city introduced a bike-sharing program.","Notably, a new gluten-free pastry line was launched by the bakery.",0.05,Very Low,Unrelated
706,"This quarter, the company reported record breaking profits.","This spring, the novelist's long-awaited sequel finally arrived.",0.09,Very Low,Unrelated
707,"As widely reported, the orchestra honored the late composer with an emotional performance.",Sources confirmed that the orchestra honored the late composer with an emotional performance.,0.94,Very High,Same Meaning
708,The students put in a lot of effort studying for finals.,Sources confirmed that the students studied hard for their final exams.,0.87,High,Paraphrase
709,"Notably, upon its release, the film was widely praised by critics.","According to the report, the film received widespread critical acclaim upon release.",0.87,High,Paraphrase
710,"As widely reported, the council voted to fund the construction of a new public park.","As widely reported, funding for a new public park was approved by the city council.",0.83,High,Paraphrase
711,"Notably, record profits were announced by the company for the current quarter.",Sources confirmed that the company reported a significant loss this quarter.,0.19,Low,Contradiction
712,The hospital's new wing focuses on caring for young patients.,"According to the report, donors contributed generously to fund the hospital's expansion.",0.45,Medium,Related
713,It was noted that the students studied hard for their final exams.,"According to the report, the students barely studied and skipped most of their classes.",0.26,Low,Contradiction
714,"According to the report, just before sunset, the hikers arrived at the summit.",It was noted that the group of hikers made it to the top right before the sun went down.,0.8,High,Paraphrase
715,Several flights were canceled by the airline because of poor weather conditions.,"Notably, the airline canceled several flights due to bad weather.",0.96,Very High,Same Meaning
716,"According to the report, this quarter, the company reported record breaking profits.","According to the report, the company announced record profits this quarter.",0.79,High,Paraphrase
717,"According to the report, the students studied hard for their final exams.","For their final exams, the students prepared diligently.",0.77,High,Paraphrase
718,Sources confirmed that fans welcomed the release of the novelist's sequel this spring.,"As widely reported, fans welcomed the release of the novelist's sequel this spring.",0.81,High,Paraphrase
719,"As widely reported, upon its release, the film was widely praised by critics.",The film was widely panned by critics upon release.,0.23,Low,Contradiction
720,"It was noted that last weekend, volunteers spent hours removing litter from the riverbank.","According to the report, the volunteers cleaned up litter along the riverbank last weekend.",0.77,High,Paraphrase
721,Sources confirmed that an app for monitoring soil health was created by the startup for farmers.,It was noted that the startup developed an app that helps farmers monitor soil health.,0.83,High,Paraphrase
722,"Notably, just before sunset, the hikers arrived at the summit.",Sources confirmed that the hikers reached the summit just before sunset.,0.95,Very High,Same Meaning
723,It was noted that the championship was won by the soccer team in a thrilling final match.,The soccer team lost the championship in a disappointing final.,0.18,Low,Contradiction
724,Sources confirmed that the volunteers cleaned up litter along the riverbank last weekend.,It was noted that the event was organized by a local environmental group.,0.55,Medium,Related
725,"It was noted that just before sunset, the hikers arrived at the summit.","As widely reported, the group of hikers made it to the top right before the sun went down.",0.81,High,Paraphrase
726,Sources confirmed that an app for monitoring soil health was created by the startup for farmers.,"According to the report, farmers can now use the startup's app to track soil health.",0.97,Very High,Same Meaning
727,Sources confirmed that a delicious meal was made by the chef for the guests.,The chef ruined the meal and the guests left disappointed.,0.23,Low,Contradiction
728,It was noted that the smartphone's camera has been greatly improved in this new version.,The hikers reached the summit just before sunset.,0.13,Very Low,Unrelated
729,"As widely reported, the orchestra honored the late composer with an emotional performance.","Notably, the orchestra performed a moving tribute to the late composer.",0.88,High,Paraphrase
730,The smartphone's camera has been greatly improved in this new version.,Sources confirmed that the new smartphone features a significantly improved camera.,0.78,High,Paraphrase
731,"As widely reported, for their final exams, the students prepared diligently.",The teacher offered extra review sessions before the exam period.,0.57,Medium,Related
732,"As widely reported, this spring, the novelist's long-awaited sequel finally arrived.","Notably, the book tour will include stops in several major cities.",0.58,Medium,Related
733,"Notably, an app for monitoring soil health was created by the startup for farmers.","According to the report, farmers can now use the startup's app to track soil health.",0.83,High,Paraphrase
734,It was noted that a much better camera is one of the new smartphone's key features.,"As widely reported, the smartphone's camera has been greatly improved in this new version.",0.83,High,Paraphrase
735,"It was noted that to cut down on traffic, the city introduced a bike-sharing program.",A bike-sharing program was launched by the city to ease traffic congestion.,0.96,Very High,Same Meaning
736,It was noted that the orchestra honored the late composer with an emotional performance.,Sources confirmed that the orchestra canceled its planned tribute to the composer.,0.25,Low,Contradiction
737,The company announced record profits this quarter.,"As widely reported, record profits were announced by the company for the current quarter.",0.87,High,Paraphrase
738,The hikers reached the summit just before sunset.,"As widely reported, the hikers reached the summit just before sunset.",0.76,High,Paraphrase
739,"As widely reported, the factory upgraded its equipment to reduce energy consumption.",The film received widespread critical acclaim upon release.,0.08,Very Low,Unrelated
740,Farmers can now use the startup's app to track soil health.,Agricultural experts praised the app's accuracy in the field.,0.59,Medium,Related
741,"Notably, the group of hikers made it to the top right before the sun went down.",The group of hikers made it to the top right before the sun went down.,0.95,Very High,Same Meaning
742,"As widely reported, a new pediatric care wing was opened at the hospital.",It was noted that the hospital opened a new wing dedicated to pediatric care.,0.76,High,Paraphrase
743,"As widely reported, the bakery introduced a new line of gluten-free pastries.","As widely reported, the bakery discontinued its gluten-free pastry line due to low demand.",0.27,Low,Contradiction
744,"As widely reported, fans welcomed the release of the novelist's sequel this spring.","Notably, fans welcomed the release of the novelist's sequel this spring.",0.95,Very High,Same Meaning
745,"According to the report, the novelist released her long-awaited sequel this spring.","As widely reported, this spring, the novelist's long-awaited sequel finally arrived.",0.94,Very High,Same Meaning
746,"According to the report, a much better camera is one of the new smartphone's key features.","According to the report, litter along the riverbank was cleared by volunteers last weekend.",0.12,Very Low,Unrelated
747,Sources confirmed that the championship was won by the soccer team in a thrilling final match.,"According to the report, the championship was won by the soccer team in a thrilling final match.",0.89,High,Paraphrase
748,A delicious meal was made by the chef for the guests.,"As widely reported, the students studied hard for their final exams.",0.11,Very Low,Unrelated
749,It was noted that the museum's latest exhibit focuses on ancient civilizations.,Sources confirmed that the research team released a major study about renewable energy.,0.12,Very Low,Unrelated
750,"Notably, the company announced record profits this quarter.",The company announced record profits this quarter.,0.83,High,Paraphrase
751,"As widely reported, the chef prepared a delicious meal for the guests.","According to the report, this spring, the novelist's long-awaited sequel finally arrived.",0.06,Very Low,Unrelated
752,"As widely reported, record profits were announced by the company for the current quarter.","Notably, the company announced record profits this quarter.",0.81,High,Paraphrase
753,The hikers reached the summit just before sunset.,"Notably, the hikers reached the summit just before sunset.",0.98,Very High,Same Meaning
754,It was noted that the council voted to fund the construction of a new public park.,It was noted that local residents have long requested more green spaces downtown.,0.58,Medium,Related
755,"As widely reported, due to bad weather, the airline had to cancel a number of flights.","According to the report, the film received widespread critical acclaim upon release.",0.01,Very Low,Unrelated
756,"As widely reported, a bike-sharing program was launched by the city to ease traffic congestion.","Notably, a bike-sharing program was launched by the city to ease traffic congestion.",0.79,High,Paraphrase
757,"As widely reported, the startup developed an app that helps farmers monitor soil health.","Notably, the startup developed an app that helps farmers monitor soil health.",0.87,High,Paraphrase
758,It was noted that the factory upgraded its equipment to reduce energy consumption.,The factory's energy consumption rose after the equipment failed.,0.34,Low,Contradiction
759,The students put in a lot of effort studying for finals.,"Notably, the students studied hard for their final exams.",0.96,Very High,Same Meaning
760,"For their final exams, the students prepared diligently.","This quarter, the company reported record breaking profits.",0.03,Very Low,Unrelated
761,It was noted that the hospital's new wing focuses on caring for young patients.,"As widely reported, donors contributed generously to fund the hospital's expansion.",0.45,Medium,Related
762,"Notably, upon its release, the film was widely praised by critics.","Notably, critics gave the film glowing reviews when it came out.",0.83,High,Paraphrase
763,"According to the report, a moving tribute to the late composer was performed by the orchestra.","Notably, the orchestra canceled its planned tribute to the composer.",0.23,Low,Contradiction
764,"Notably, the hospital's new wing focuses on caring for young patients.",It was noted that the hospital's new wing focuses on caring for young patients.,0.94,Very High,Same Meaning
765,Sources confirmed that the factory upgraded its equipment to reduce energy consumption.,Local residents have long requested more green spaces downtown.,0.06,Very Low,Unrelated
766,"Sources confirmed that due to bad weather, the airline had to cancel a number of flights.","As widely reported, passengers were offered vouchers for future travel after the disruption.",0.55,Medium,Related
767,It was noted that the scientists published groundbreaking research on renewable energy.,"As widely reported, groundbreaking research on renewable energy was published by the scientists.",0.95,Very High,Same Meaning
768,"According to the report, several flights were canceled by the airline because of poor weather conditions.","As widely reported, passengers were offered vouchers for future travel after the disruption.",0.51,Medium,Related
769,"Notably, the championship was won by the soccer team in a thrilling final match.",It was noted that the championship was won by the soccer team in a thrilling final match.,0.85,High,Paraphrase
770,The new smartphone features a significantly improved camera.,"Notably, a much better camera is one of the new smartphone's key features.",0.76,High,Paraphrase
771,Sources confirmed that litter along the riverbank was cleared by volunteers last weekend.,"Notably, the event was organized by a local environmental group.",0.53,Medium,Related
772,"According to the report, the bakery introduced a new line of gluten-free pastries.","Notably, customers have praised the bakery's friendly staff and cozy atmosphere.",0.54,Medium,Related
773,"According to the report, the soccer team won the championship after a dramatic final.",Sources confirmed that the soccer team won the championship after a dramatic final.,0.99,Very High,Same Meaning
774,"According to the report, last weekend, volunteers spent hours removing litter from the riverbank.",The volunteers cleaned up litter along the riverbank last weekend.,0.93,Very High,Same Meaning
775,"According to the report, the new smartphone features a significantly improved camera.",It was noted that reviewers praised the phone's battery life and sleek design.,0.55,Medium,Related
776,Sources confirmed that the new smartphone features a significantly improved camera.,It was noted that the new smartphone features a significantly improved camera.,0.94,Very High,Same Meaning
777,"According to the report, the orchestra honored the late composer with an emotional performance.","As widely reported, the orchestra performed a moving tribute to the late composer.",0.8,High,Paraphrase
778,It was noted that the city launched a bike-sharing program to reduce traffic congestion.,"It was noted that to cut down on traffic, the city introduced a bike-sharing program.",0.96,Very High,Same Meaning
779,"To cut down on traffic, the city introduced a bike-sharing program.",It was noted that cyclists reported feeling safer thanks to new dedicated bike lanes.,0.5,Medium,Related
780,"According to the report, the scientists published groundbreaking research on renewable energy.",It was noted that the scientists' research on renewable energy was widely criticized as flawed.,0.29,Low,Contradiction
781,Groundbreaking research on renewable energy was published by the scientists.,"Notably, the university received a large grant to fund further energy research.",0.59,Medium,Related
782,"According to the report, the orchestra performed a moving tribute to the late composer.","As widely reported, the orchestra honored the late composer with an emotional performance.",0.87,High,Paraphrase
783,It was noted that a bike-sharing program was launched by the city to ease traffic congestion.,"As widely reported, cyclists reported feeling safer thanks to new dedicated bike lanes.",0.51,Medium,Related
784,"Notably, the orchestra performed a moving tribute to the late composer.",It was noted that the orchestra honored the late composer with an emotional performance.,0.88,High,Paraphrase
785,Record profits were announced by the company for the current quarter.,"According to the report, new equipment was installed at the factory to cut energy use.",0.03,Very Low,Unrelated
786,It was noted that the city launched a bike-sharing program to reduce traffic congestion.,Sources confirmed that cyclists reported feeling safer thanks to new dedicated bike lanes.,0.5,Medium,Related
787,"Sources confirmed that upon its release, the film was widely praised by critics.","It was noted that upon its release, the film was widely praised by critics.",0.91,Very High,Same Meaning
788,It was noted that the startup developed an app that helps farmers monitor soil health.,"Notably, farmers can now use the startup's app to track soil health.",0.97,Very High,Same Meaning
789,The chef prepared a delicious meal for the guests.,"As widely reported, the guests were served a tasty meal that the chef had cooked.",0.84,High,Paraphrase
790,The soccer team won the championship after a dramatic final.,It was noted that the hikers reached the summit just before sunset.,0.03,Very Low,Unrelated
791,"As widely reported, the research team released a major study about renewable energy.","According to the report, the scientists' research on renewable energy was widely criticized as flawed.",0.3,Low,Contradiction
792,"It was noted that after a dramatic final, the soccer team claimed the championship title.",The championship was won by the soccer team in a thrilling final match.,0.85,High,Paraphrase
793,It was noted that a new gluten-free pastry line was launched by the bakery.,"As widely reported, customers have praised the bakery's friendly staff and cozy atmosphere.",0.45,Medium,Related
794,"It was noted that this quarter, the company reported record breaking profits.","As widely reported, this quarter, the company reported record breaking profits.",0.81,High,Paraphrase
795,Sources confirmed that critics gave the film glowing reviews when it came out.,"As widely reported, critics gave the film glowing reviews when it came out.",0.8,High,Paraphrase
796,The scientists published groundbreaking research on renewable energy.,It was noted that groundbreaking research on renewable energy was published by the scientists.,0.95,Very High,Same Meaning
797,"According to the report, groundbreaking research on renewable energy was published by the scientists.","According to the report, the university received a large grant to fund further energy research.",0.55,Medium,Related
