id,text,language,sentence_length,word_count,character_count,uppercase_count,punctuation_count
368,The marketing department negotiated the volunteer schedule over the weekend.,English,Medium,10,76,1,1
369,The community garden volunteers photographed the school's science fair near the old train station.,English,Medium,14,98,1,2
370,"Although the weather in Helsinki can be unpredictable during July, The delivery driver decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,247,4,3
371,"According to a recent report published by Falcon Logistics, the number of people who recycle an unusual weather pattern has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,36,230,3,3
372,The marketing department measured a series of jazz recordings along the riverbank earlier this morning.,English,Medium,15,103,1,1
373,When is the best season to visit Nairobi?,English,Short,8,41,2,1
374,The maintenance crew rehearsed an antique wooden clock on a rainy Tuesday.,English,Medium,12,74,2,1
375,The night-shift nurse discussed the volunteer schedule in the downtown office since last spring.,English,Medium,14,96,1,2
376,A group of tourists negotiated a rare species of orchid in the downtown office since last spring.,English,Long,17,97,1,1
377,The local bakery recorded the neighborhood's street art every Saturday afternoon.,English,Medium,11,81,2,2
378,The orchestra conductor photographed the volunteer schedule along the riverbank on a rainy Tuesday.,English,Medium,14,99,2,1
379,The research team planted the layout of the public library in the downtown office.,English,Medium,14,82,1,1
380,"According to a recent report published by Oakwood Publishing House, the number of people who photograph a newly discovered fossil has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,240,4,3
381,The new intern negotiated the school's science fair on a rainy Tuesday.,English,Medium,12,71,2,2
382,"The debate team captain, who had supported the layout of the public library for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,40,235,1,3
383,The orchestra conductor discussed a series of jazz recordings inside the community center since last spring.,English,Long,16,108,1,1
384,The maintenance crew designed the upcoming film festival in the downtown office over the weekend.,English,Medium,15,97,1,1
385,The chess club organized an experimental cooking recipe.,English,Short,8,56,1,1
386,The debate team captain discussed the school's science fair every Saturday afternoon.,English,Medium,12,85,2,2
387,A young entrepreneur compared the annual budget report at a small conference in Melbourne throughout the semester.,English,Long,17,114,2,1
388,"My best friend spent several weeks photographing the quarterly sales figures, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,273,1,5
389,"Although the weather in Mumbai can be unpredictable during July, The orchestra conductor decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,249,4,3
390,The museum curator designed an unusual weather pattern along the riverbank after months of planning.,English,Medium,15,100,1,1
391,A curious student planted the upcoming film festival near the old train station since last spring.,English,Long,16,98,1,1
392,The software engineer reviewed the layout of the public library at the university campus.,English,Medium,14,89,1,1
393,My best friend calculated a set of handwritten letters at a small conference in Melbourne earlier this morning.,English,Long,18,111,2,1
394,"According to a recent report published by Blue Horizon Airlines, the number of people who review a newly discovered fossil has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,233,4,3
395,The community garden volunteers reviewed an unusual weather pattern in the downtown office every Saturday afternoon.,English,Long,16,116,2,1
396,My best friend celebrated a series of jazz recordings inside the community center.,English,Medium,13,82,1,1
397,"Although the weather in Edinburgh can be unpredictable during December, The delivery driver decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,252,4,3
398,The local bakery recorded a newly discovered fossil on a rainy Tuesday.,English,Medium,12,71,2,1
399,The maintenance crew calculated the community recycling program.,English,Short,8,64,1,1
400,"The chess club, who had studied the volunteer schedule for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,36,214,1,3
401,"Although the weather in Osaka can be unpredictable during December, The debate team captain decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,37,252,4,3
402,"Although the weather in Santiago can be unpredictable during July, Our neighbor decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,35,240,4,3
403,The orchestra conductor photographed the neighborhood's street art near the old train station after months of planning.,English,Long,17,119,1,2
404,A young entrepreneur repaired the annual budget report just before sunset.,English,Medium,11,74,1,1
405,"The city council, who had managed the annual budget report for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,218,1,3
406,The debate team captain rehearsed an experimental cooking recipe after months of planning.,English,Medium,13,90,1,1
407,The debate team captain discussed the quarterly sales figures near the old train station since last spring.,English,Long,17,107,1,1
408,The debate team captain organized the upcoming film festival since last spring.,English,Medium,12,79,1,1
409,The maintenance crew sketched the annual budget report every Saturday afternoon.,English,Medium,11,80,2,1
410,The debate team captain repaired an experimental cooking recipe near the old train station every Saturday afternoon.,English,Long,17,116,2,1
411,The debate team captain compared the quarterly sales figures in the downtown office since last spring.,English,Long,16,102,1,1
412,The research team designed a rare species of orchid inside the community center.,English,Medium,13,80,1,1
413,"Although the weather in Wellington can be unpredictable during October, A retired teacher decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,250,4,3
414,"Although the weather in Austin can be unpredictable during October, The city council decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,245,4,3
415,"Although the weather in Edinburgh can be unpredictable during July, The software engineer decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,250,4,3
416,The delivery driver compared the volunteer schedule since last spring.,English,Medium,10,70,1,1
417,"A young entrepreneur spent several weeks organizing the town's water supply system, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,46,279,1,6
418,The maintenance crew rehearsed the community recycling program within a few hours.,English,Medium,12,82,1,1
419,The research team presented the volunteer schedule after months of planning.,English,Medium,11,76,1,1
420,"Although the weather in Osaka can be unpredictable during April, The city council decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,242,4,3
421,"Although the weather in Cairo can be unpredictable during October, The orchestra conductor decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,251,4,3
422,The new intern explored the upcoming film festival.,English,Short,8,51,1,1
423,"The research team, who had coordinated a set of handwritten letters for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,227,1,3
424,"According to a recent report published by Northfield University, the number of people who review a new hiking trail has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,36,226,3,3
425,A retired teacher measured a rare species of orchid near the old train station.,English,Medium,14,79,1,1
426,A freelance writer translated an unusual weather pattern within a few hours.,English,Medium,12,76,1,1
427,"Although the weather in Kuala Lumpur can be unpredictable during July, The city council decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,37,248,5,3
428,My younger sister organized a new hiking trail in the downtown office earlier this morning.,English,Medium,15,91,1,1
429,The museum curator sketched a collection of vintage postcards inside the community center during the summer break.,English,Long,17,114,1,1
430,"A group of tourists spent several weeks comparing the town's water supply system, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,47,277,1,6
431,The maintenance crew explored a rare species of orchid.,English,Medium,9,55,1,1
432,The delivery driver compared the school's science fair inside the community center over the weekend.,English,Medium,15,100,1,2
433,A curious student reviewed the volunteer schedule along the riverbank earlier this morning.,English,Medium,13,91,1,1
434,The software engineer organized an antique wooden clock.,English,Short,8,56,1,1
435,The new intern discussed the community recycling program in the downtown office since last spring.,English,Medium,15,98,1,1
436,The local bakery rehearsed the community recycling program during the summer break.,English,Medium,12,83,1,1
437,"Although the weather in Kuala Lumpur can be unpredictable during October, The maintenance crew decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,37,255,5,3
438,Her grandfather sketched the upcoming film festival.,English,Short,7,52,1,1
439,The night-shift nurse translated a collection of vintage postcards near the old train station throughout the semester.,English,Long,17,118,1,2
440,Our neighbor designed the school's science fair at the university campus every Saturday afternoon.,English,Medium,14,98,2,2
441,A retired teacher documented several ancient manuscripts at the university campus throughout the semester.,English,Medium,14,106,1,1
442,The debate team captain calculated the annual budget report on a rainy Tuesday.,English,Medium,13,79,2,1
443,The local bakery rehearsed an unusual weather pattern in the downtown office since last spring.,English,Medium,15,95,1,1
444,The debate team captain photographed a set of handwritten letters along the riverbank over the weekend.,English,Long,16,103,1,1
445,"The city council, who had studied the results of the survey for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,219,1,3
446,The research team questioned the results of the survey since last spring.,English,Medium,12,73,1,1
447,"The local bakery spent several weeks reviewing an antique wooden clock, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,267,1,5
448,"Although the weather in Stockholm can be unpredictable during April, Our neighbor decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,35,242,4,3
449,The museum curator reviewed the quarterly sales figures inside the community center on a rainy Tuesday.,English,Long,16,103,2,1
450,The delivery driver celebrated the annual budget report near the old train station earlier this morning.,English,Long,16,104,1,1
451,"Although the weather in Manila can be unpredictable during July, The new intern decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,240,4,3
452,The museum curator recorded the community recycling program at a small conference in Melbourne after months of planning.,English,Long,18,120,2,1
453,"Although the weather in Zurich can be unpredictable during July, Our neighbor decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,35,238,4,3
454,The local bakery measured the upcoming film festival.,English,Short,8,53,1,1
455,Her grandfather negotiated a rare species of orchid along the riverbank during the summer break.,English,Medium,15,96,1,1
456,The delivery driver presented the quarterly sales figures at a small conference in Melbourne earlier this morning.,English,Long,17,114,2,1
457,"Although the weather in Denver can be unpredictable during January, The new intern decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,243,4,3
458,The research team measured a new hiking trail at a small conference in Melbourne.,English,Medium,14,81,2,1
459,Their coach planted the upcoming film festival at the university campus just before sunset.,English,Medium,14,91,1,1
460,The night-shift nurse calculated the school's science fair near the old train station on a rainy Tuesday.,English,Long,17,105,2,3
461,"My best friend spent several weeks photographing a series of jazz recordings, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,46,273,1,5
462,"Although the weather in Stockholm can be unpredictable during October, A wildlife photographer decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,255,4,3
463,A freelance writer translated a newly discovered fossil at the university campus during the summer break.,English,Long,16,105,1,1
464,A freelance writer sketched an unusual weather pattern at a small conference in Melbourne on a rainy Tuesday.,English,Long,18,109,3,1
465,The local bakery negotiated a set of handwritten letters at the university campus throughout the semester.,English,Long,16,106,1,1
466,The city council repaired an experimental cooking recipe over the weekend.,English,Medium,11,74,1,1
467,The new intern sketched an experimental cooking recipe near the old train station.,English,Medium,13,82,1,1
468,The marketing department questioned the town's water supply system throughout the semester.,English,Medium,12,91,1,2
469,A freelance writer recorded the neighborhood's street art.,English,Short,8,58,1,2
470,The night-shift nurse organized the layout of the public library along the riverbank over the weekend.,English,Long,16,102,1,2
471,"The delivery driver, who had supported a newly discovered fossil for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,224,1,3
472,Our neighbor explored a set of handwritten letters every Saturday afternoon.,English,Medium,11,76,2,1
473,The delivery driver documented a series of jazz recordings at the university campus every Saturday afternoon.,English,Long,16,109,2,1
474,The community garden volunteers planted the school's science fair at a small conference in Melbourne over the weekend.,English,Long,18,118,2,2
475,The night-shift nurse explored the town's water supply system on a rainy Tuesday.,English,Medium,13,81,2,3
476,"The orchestra conductor, who had overseen the upcoming film festival for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,228,1,3
477,"Although the weather in Stockholm can be unpredictable during December, The museum curator decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,251,4,3
478,A retired teacher organized an experimental cooking recipe at a small conference in Melbourne.,English,Medium,14,94,2,1
479,A group of tourists designed a rare species of orchid in the downtown office just before sunset.,English,Long,17,96,1,1
480,"The night-shift nurse spent several weeks organizing the upcoming film festival, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,276,1,6
481,Her grandfather explored an unusual weather pattern in the downtown office every Saturday afternoon.,English,Medium,14,100,2,1
482,The orchestra conductor presented an unusual weather pattern at the university campus within a few hours.,English,Long,16,105,1,1
483,The orchestra conductor translated a newly discovered fossil at a small conference in Melbourne every Saturday afternoon.,English,Long,17,121,3,1
484,A wildlife photographer repaired an unusual weather pattern throughout the semester.,English,Medium,11,84,1,1
485,"The city council spent several weeks reviewing the results of the survey, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,46,269,1,5
486,The local bakery discussed the results of the survey at the university campus.,English,Medium,13,78,1,1
487,"According to a recent report published by Zenith Pharmaceuticals, the number of people who measure the upcoming film festival has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,36,236,3,3
488,The delivery driver questioned a series of jazz recordings just before sunset.,English,Medium,12,78,1,1
489,"Our neighbor spent several weeks photographing a series of jazz recordings, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,271,1,5
490,Our neighbor reviewed the town's water supply system since last spring.,English,Medium,11,71,1,2
491,The museum curator presented the town's water supply system at a small conference in Melbourne on a rainy Tuesday.,English,Long,19,114,3,2
492,The debate team captain calculated the annual budget report near the old train station during the summer break.,English,Long,18,111,1,1
493,A young entrepreneur sketched an unusual weather pattern in the downtown office every Saturday afternoon.,English,Medium,15,105,2,1
494,The research team celebrated the neighborhood's street art near the old train station throughout the semester.,English,Long,16,110,1,2
495,The delivery driver measured the neighborhood's street art during the summer break.,English,Medium,12,83,1,2
496,The city council rehearsed the neighborhood's street art inside the community center on a rainy Tuesday.,English,Long,16,104,2,2
497,A curious student designed the neighborhood's street art near the old train station after months of planning.,English,Long,17,109,1,2
498,"The maintenance crew, who had studied a rare species of orchid for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,222,1,3
499,The marketing department questioned a collection of vintage postcards near the old train station within a few hours.,English,Long,18,116,1,1
500,A wildlife photographer questioned the town's water supply system at a small conference in Melbourne.,English,Medium,15,101,2,2
501,The city council translated a set of handwritten letters along the riverbank.,English,Medium,12,77,1,1
502,"Although the weather in Stockholm can be unpredictable during December, The chess club decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,247,4,3
503,"A retired teacher, who had overseen an experimental cooking recipe for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,226,1,3
504,A curious student designed the quarterly sales figures at the university campus every Saturday afternoon.,English,Medium,15,105,2,1
505,The chess club reviewed a series of jazz recordings.,English,Medium,9,52,1,1
506,The new intern reviewed a newly discovered fossil near the old train station after months of planning.,English,Long,17,102,1,1
507,A retired teacher compared a rare species of orchid at a small conference in Melbourne during the summer break.,English,Long,19,111,2,1
508,The community garden volunteers compared the volunteer schedule near the old train station on a rainy Tuesday.,English,Long,17,110,2,1
509,"According to a recent report published by Quantum Innovations, the number of people who recycle several ancient manuscripts has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,35,234,3,3
510,"According to a recent report published by Skyline Real Estate, the number of people who review an antique wooden clock has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,229,4,3
511,The chess club compared an unusual weather pattern.,English,Short,8,51,1,1
512,"According to a recent report published by Union Manufacturing Corp., the number of people who discuss the neighborhood's street art has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,242,4,5
513,The chess club designed a rare species of orchid near the old train station on a rainy Tuesday.,English,Long,18,95,2,1
514,A freelance writer designed the volunteer schedule in the downtown office just before sunset.,English,Medium,14,93,1,1
515,The city council recorded an unusual weather pattern near the old train station every Saturday afternoon.,English,Long,16,105,2,1
516,A group of tourists reviewed an antique wooden clock in the downtown office.,English,Medium,13,76,1,1
517,"A curious student, who had coordinated the annual budget report for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,223,1,3
518,My best friend rehearsed an antique wooden clock at a small conference in Melbourne on a rainy Tuesday.,English,Long,18,103,3,1
519,Her grandfather measured a series of jazz recordings since last spring.,English,Medium,11,71,1,1
520,The night-shift nurse designed the results of the survey.,English,Medium,9,57,1,2
521,The research team designed the layout of the public library within a few hours.,English,Medium,14,79,1,1
522,Our neighbor compared the community recycling program at the university campus earlier this morning.,English,Medium,14,100,1,1
523,The debate team captain presented the results of the survey near the old train station on a rainy Tuesday.,English,Long,19,106,2,1
524,The marketing department documented the school's science fair during the summer break.,English,Medium,12,86,1,2
525,A freelance writer discussed the neighborhood's street art earlier this morning.,English,Medium,11,80,1,2
526,The new intern rehearsed the volunteer schedule inside the community center within a few hours.,English,Medium,15,95,1,1
527,The software engineer designed the annual budget report inside the community center every Saturday afternoon.,English,Medium,15,109,2,1
528,The new intern explored the community recycling program inside the community center just before sunset.,English,Medium,15,103,1,1
529,A wildlife photographer compared the upcoming film festival throughout the semester.,English,Medium,11,84,1,1
530,"Although the weather in Buenos Aires can be unpredictable during October, A curious student decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,37,252,5,3
531,The new intern designed a rare species of orchid just before sunset.,English,Medium,12,68,1,1
532,Our neighbor organized an antique wooden clock earlier this morning.,English,Medium,10,68,1,1
533,The research team sketched the neighborhood's street art throughout the semester.,English,Medium,11,81,1,2
534,The marketing department photographed the layout of the public library.,English,Medium,10,71,1,1
535,Their coach documented an experimental cooking recipe in the downtown office during the summer break.,English,Medium,15,101,1,1
536,"A young entrepreneur, who had coordinated a rare species of orchid for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,226,1,3
537,A young entrepreneur explored the community recycling program inside the community center after months of planning.,English,Long,16,115,1,1
538,"According to a recent report published by Meridian Financial Group, the number of people who review the annual budget report has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,235,4,3
539,A group of tourists translated the volunteer schedule at a small conference in Melbourne.,English,Medium,14,89,2,1
540,The research team repaired the community recycling program.,English,Short,8,59,1,1
541,My younger sister presented the annual budget report along the riverbank.,English,Medium,11,73,1,1
542,A curious student organized the community recycling program along the riverbank earlier this morning.,English,Medium,14,101,1,1
543,"According to a recent report published by Global Trade Partners, the number of people who review the neighborhood's street art has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,237,4,4
544,"Although the weather in Denver can be unpredictable during December, My best friend decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,244,4,3
545,"According to a recent report published by Falcon Logistics, the number of people who review the school's science fair has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,36,228,3,4
546,A group of tourists measured the quarterly sales figures every Saturday afternoon.,English,Medium,12,82,2,1
547,The marketing department celebrated the results of the survey every Saturday afternoon.,English,Medium,12,87,2,1
548,"According to a recent report published by Golden Gate Retailers, the number of people who photograph an experimental cooking recipe has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,242,4,3
549,A freelance writer questioned the neighborhood's street art.,English,Short,8,60,1,2
550,Our neighbor presented the town's water supply system.,English,Short,8,54,1,2
551,My younger sister calculated the school's science fair near the old train station since last spring.,English,Long,16,100,1,2
552,"The night-shift nurse, who had studied the upcoming film festival for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,225,1,4
553,"A group of tourists spent several weeks translating an experimental cooking recipe, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,46,279,1,5
554,"A curious student, who had coordinated an unusual weather pattern for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,225,1,3
555,The maintenance crew photographed the town's water supply system within a few hours.,English,Medium,13,84,1,2
556,"According to a recent report published by Meridian Financial Group, the number of people who recycle the community recycling program has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,243,4,3
557,The local bakery rehearsed a collection of vintage postcards over the weekend.,English,Medium,12,78,1,1
558,"The maintenance crew, who had overseen a rare species of orchid for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,223,1,3
559,The delivery driver planted the results of the survey at the university campus after months of planning.,English,Long,17,104,1,1
560,The city council questioned an experimental cooking recipe.,English,Short,8,59,1,1
561,The marketing department photographed a collection of vintage postcards throughout the semester.,English,Medium,12,96,1,1
562,The city council measured a collection of vintage postcards within a few hours.,English,Medium,13,79,1,1
563,"The chess club spent several weeks translating the annual budget report, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,268,1,5
564,The software engineer discussed the quarterly sales figures along the riverbank over the weekend.,English,Medium,14,97,1,1
565,"According to a recent report published by Delta Cloud Services, the number of people who recycle a collection of vintage postcards has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,38,241,4,3
566,My younger sister repaired a new hiking trail in the downtown office.,English,Medium,12,69,1,1
567,A wildlife photographer documented a set of handwritten letters at a small conference in Melbourne within a few hours.,English,Long,19,118,2,1
568,The delivery driver organized a newly discovered fossil along the riverbank every Saturday afternoon.,English,Medium,14,101,2,1
569,My younger sister reviewed the neighborhood's street art during the summer break.,English,Medium,12,81,1,2
570,A group of tourists organized the results of the survey inside the community center.,English,Medium,14,84,1,1
571,The delivery driver designed the volunteer schedule in the downtown office.,English,Medium,11,75,1,1
572,"According to a recent report published by Crescent Media Group, the number of people who document a newly discovered fossil has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,234,4,3
573,A wildlife photographer recorded the volunteer schedule.,English,Short,7,56,1,1
574,The maintenance crew questioned the community recycling program along the riverbank.,English,Medium,11,84,1,1
575,Her grandfather designed several ancient manuscripts at a small conference in Melbourne within a few hours.,English,Long,16,107,2,1
576,A group of tourists measured an unusual weather pattern along the riverbank within a few hours.,English,Long,16,95,1,1
577,"Although the weather in Denver can be unpredictable during January, A young entrepreneur decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,249,4,3
578,The orchestra conductor documented the community recycling program along the riverbank earlier this morning.,English,Medium,14,108,1,1
579,"A group of tourists, who had overseen an unusual weather pattern for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,224,1,3
580,"The research team, who had managed the results of the survey for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,220,1,3
581,"Her grandfather spent several weeks reviewing the community recycling program, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,44,274,1,5
582,A freelance writer measured an unusual weather pattern.,English,Short,8,55,1,1
583,A young entrepreneur compared a collection of vintage postcards just before sunset.,English,Medium,12,83,1,1
584,A freelance writer measured a rare species of orchid near the old train station after months of planning.,English,Long,18,105,1,1
585,The maintenance crew rehearsed the community recycling program in the downtown office over the weekend.,English,Medium,15,103,1,1
586,The local bakery questioned the results of the survey.,English,Medium,9,54,1,1
587,The night-shift nurse measured the upcoming film festival along the riverbank after months of planning.,English,Medium,15,103,1,2
588,The local bakery compared an antique wooden clock.,English,Short,8,50,1,1
589,The community garden volunteers designed the neighborhood's street art inside the community center within a few hours.,English,Long,17,118,1,2
590,The marketing department translated a collection of vintage postcards along the riverbank over the weekend.,English,Medium,15,107,1,1
591,A curious student compared a collection of vintage postcards during the summer break.,English,Medium,13,85,1,1
592,The museum curator documented the community recycling program inside the community center every Saturday afternoon.,English,Medium,15,115,2,1
593,My best friend discussed the community recycling program within a few hours.,English,Medium,12,76,1,1
594,A curious student reviewed a rare species of orchid after months of planning.,English,Medium,13,77,1,1
595,A young entrepreneur sketched the quarterly sales figures.,English,Short,8,58,1,1
596,The research team presented the quarterly sales figures along the riverbank after months of planning.,English,Medium,15,101,1,1
597,A wildlife photographer presented the community recycling program at the university campus.,English,Medium,12,91,1,1
598,"The museum curator spent several weeks reviewing the neighborhood's street art, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,275,1,6
599,The maintenance crew compared a collection of vintage postcards near the old train station.,English,Medium,14,91,1,1
600,The software engineer repaired the volunteer schedule along the riverbank.,English,Medium,10,74,1,1
601,"The orchestra conductor, who had overseen the layout of the public library for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,39,234,1,3
602,"According to a recent report published by Falcon Logistics, the number of people who recycle the volunteer schedule has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,35,226,3,3
603,"According to a recent report published by Summit Robotics Inc., the number of people who document a series of jazz recordings has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,38,236,4,4
604,"A young entrepreneur spent several weeks reviewing the annual budget report, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,272,1,5
605,A curious student sketched the upcoming film festival at the university campus throughout the semester.,English,Medium,15,103,1,1
606,Her grandfather discussed the volunteer schedule every Saturday afternoon.,English,Medium,9,74,2,1
607,The maintenance crew measured a new hiking trail.,English,Short,8,49,1,1
608,My younger sister discussed a new hiking trail.,English,Short,8,47,1,1
609,"According to a recent report published by Golden Gate Retailers, the number of people who review the school's science fair has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,233,4,4
610,"My best friend, who had overseen an antique wooden clock for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,216,1,3
611,A young entrepreneur presented several ancient manuscripts inside the community center since last spring.,English,Medium,14,105,1,1
612,"According to a recent report published by Northfield University, the number of people who document the upcoming film festival has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,36,236,3,3
613,"According to a recent report published by Vertex Analytics, the number of people who recycle an unusual weather pattern has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,36,230,3,3
614,A young entrepreneur rehearsed an unusual weather pattern.,English,Short,8,58,1,1
615,The new intern organized an experimental cooking recipe since last spring.,English,Medium,11,74,1,1
616,The local bakery explored a set of handwritten letters earlier this morning.,English,Medium,12,76,1,1
617,The maintenance crew explored the upcoming film festival at the university campus just before sunset.,English,Medium,15,101,1,1
618,"According to a recent report published by Coastal Insurance Co., the number of people who discuss a series of jazz recordings has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,38,236,4,4
619,My best friend organized the quarterly sales figures near the old train station after months of planning.,English,Long,17,105,1,1
620,The delivery driver questioned a rare species of orchid near the old train station after months of planning.,English,Long,18,108,1,1
