id,text,unigrams,bigrams,trigrams,category
349,"Overall, volunteers helped organize the youth soccer league over the weekend.","overall, volunteers, helped, organize, youth, soccer, league, over, weekend","overall volunteers, volunteers helped, helped organize, organize the, the youth, youth soccer, soccer league, league over, over the, the weekend","overall volunteers helped, volunteers helped organize, helped organize the, organize the youth, the youth soccer, youth soccer league, soccer league over, league over the, over the weekend",Sports
350,Sources say the chemistry department received a grant to study renewable fuels. Further details are expected soon.,"sources, say, chemistry, department, received, grant, study, renewable, fuels, further, details, expected, soon","sources say, say the, the chemistry, chemistry department, department received, received a, a grant, grant to, to study, study renewable, renewable fuels, fuels further, further details, details are, are expected, expected soon","sources say the, say the chemistry, the chemistry department, chemistry department received, department received a, received a grant, a grant to, grant to study, to study renewable, study renewable fuels, renewable fuels further, fuels further details, further details are, details are expected, are expected soon",Science
351,"Overall, the museum hosted an interactive exhibit celebrating classic animation. Further details are expected soon.","overall, museum, hosted, interactive, exhibit, celebrating, classic, animation, further, details, expected, soon","overall the, the museum, museum hosted, hosted an, an interactive, interactive exhibit, exhibit celebrating, celebrating classic, classic animation, animation further, further details, details are, are expected, expected soon","overall the museum, the museum hosted, museum hosted an, hosted an interactive, an interactive exhibit, interactive exhibit celebrating, exhibit celebrating classic, celebrating classic animation, classic animation further, animation further details, further details are, details are expected, are expected soon",Entertainment
352,"Overall, cloud computing allows companies to store data without physical servers. This was confirmed by multiple sources.","overall, cloud, computing, allows, companies, store, data, without, physical, servers, confirmed, multiple, sources","overall cloud, cloud computing, computing allows, allows companies, companies to, to store, store data, data without, without physical, physical servers, servers this, this was, was confirmed, confirmed by, by multiple, multiple sources","overall cloud computing, cloud computing allows, computing allows companies, allows companies to, companies to store, to store data, store data without, data without physical, without physical servers, physical servers this, servers this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Technology
353,Officials confirmed that critics praised the director's bold approach to the classic story. Reactions were mixed among observers.,"officials, confirmed, critics, praised, directors, bold, approach, classic, story, reactions, mixed, among, observers","officials confirmed, confirmed that, that critics, critics praised, praised the, the directors, directors bold, bold approach, approach to, to the, the classic, classic story, story reactions, reactions were, were mixed, mixed among, among observers","officials confirmed that, confirmed that critics, that critics praised, critics praised the, praised the directors, the directors bold, directors bold approach, bold approach to, approach to the, to the classic, the classic story, classic story reactions, story reactions were, reactions were mixed, were mixed among, mixed among observers",Entertainment
354,"Notably, students presented their research projects at the annual science fair.","notably, students, presented, their, research, projects, annual, science, fair","notably students, students presented, presented their, their research, research projects, projects at, at the, the annual, annual science, science fair","notably students presented, students presented their, presented their research, their research projects, research projects at, projects at the, at the annual, the annual science, annual science fair",Education
355,"Notably, the city unveiled a new walking trail along the historic waterfront. Reactions were mixed among observers.","notably, city, unveiled, new, walking, trail, along, historic, waterfront, reactions, mixed, among, observers","notably the, the city, city unveiled, unveiled a, a new, new walking, walking trail, trail along, along the, the historic, historic waterfront, waterfront reactions, reactions were, were mixed, mixed among, among observers","notably the city, the city unveiled, city unveiled a, unveiled a new, a new walking, new walking trail, walking trail along, trail along the, along the historic, the historic waterfront, historic waterfront reactions, waterfront reactions were, reactions were mixed, were mixed among, mixed among observers",Travel
356,"Based on recent updates, coaches emphasized endurance training ahead of the upcoming tournament. Further details are expected soon.","based, recent, updates, coaches, emphasized, endurance, training, ahead, upcoming, tournament, further, details, expected, soon","based on, on recent, recent updates, updates coaches, coaches emphasized, emphasized endurance, endurance training, training ahead, ahead of, of the, the upcoming, upcoming tournament, tournament further, further details, details are, are expected, expected soon","based on recent, on recent updates, recent updates coaches, updates coaches emphasized, coaches emphasized endurance, emphasized endurance training, endurance training ahead, training ahead of, ahead of the, of the upcoming, the upcoming tournament, upcoming tournament further, tournament further details, further details are, details are expected, are expected soon",Sports
357,"In a statement, the marathon route passed through the old town before reaching the finish line. This was confirmed by multiple sources.","statement, marathon, route, passed, through, old, town, before, reaching, finish, line, confirmed, multiple, sources","in a, a statement, statement the, the marathon, marathon route, route passed, passed through, through the, the old, old town, town before, before reaching, reaching the, the finish, finish line, line this, this was, was confirmed, confirmed by, by multiple, multiple sources","in a statement, a statement the, statement the marathon, the marathon route, marathon route passed, route passed through, passed through the, through the old, the old town, old town before, town before reaching, before reaching the, reaching the finish, the finish line, finish line this, line this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Sports
358,"Notably, the new smartphone features a faster processor and improved battery life. This was confirmed by multiple sources.","notably, new, smartphone, features, faster, processor, improved, battery, life, confirmed, multiple, sources","notably the, the new, new smartphone, smartphone features, features a, a faster, faster processor, processor and, and improved, improved battery, battery life, life this, this was, was confirmed, confirmed by, by multiple, multiple sources","notably the new, the new smartphone, new smartphone features, smartphone features a, features a faster, a faster processor, faster processor and, processor and improved, and improved battery, improved battery life, battery life this, life this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Technology
359,"Based on recent updates, nutritionists suggested simple changes to improve daily eating habits.","based, recent, updates, nutritionists, suggested, simple, changes, improve, daily, eating, habits","based on, on recent, recent updates, updates nutritionists, nutritionists suggested, suggested simple, simple changes, changes to, to improve, improve daily, daily eating, eating habits","based on recent, on recent updates, recent updates nutritionists, updates nutritionists suggested, nutritionists suggested simple, suggested simple changes, simple changes to, changes to improve, to improve daily, improve daily eating, daily eating habits",Health
360,"Overall, a new mentorship program pairs upperclassmen with incoming freshmen. The news spread quickly online.","overall, new, mentorship, program, pairs, upperclassmen, incoming, freshmen, news, spread, quickly, online","overall a, a new, new mentorship, mentorship program, program pairs, pairs upperclassmen, upperclassmen with, with incoming, incoming freshmen, freshmen the, the news, news spread, spread quickly, quickly online","overall a new, a new mentorship, new mentorship program, mentorship program pairs, program pairs upperclassmen, pairs upperclassmen with, upperclassmen with incoming, with incoming freshmen, incoming freshmen the, freshmen the news, the news spread, news spread quickly, spread quickly online",Education
361,"According to local reports, critics praised the director's bold approach to the classic story. Reactions were mixed among observers.","according, local, reports, critics, praised, directors, bold, approach, classic, story, reactions, mixed, among, observers","according to, to local, local reports, reports critics, critics praised, praised the, the directors, directors bold, bold approach, approach to, to the, the classic, classic story, story reactions, reactions were, were mixed, mixed among, among observers","according to local, to local reports, local reports critics, reports critics praised, critics praised the, praised the directors, the directors bold, directors bold approach, bold approach to, approach to the, to the classic, the classic story, classic story reactions, story reactions were, reactions were mixed, were mixed among, mixed among observers",Entertainment
362,"Overall, the merger created one of the largest logistics providers in the region. The news spread quickly online.","overall, merger, created, one, largest, logistics, providers, region, news, spread, quickly, online","overall the, the merger, merger created, created one, one of, of the, the largest, largest logistics, logistics providers, providers in, in the, the region, region the, the news, news spread, spread quickly, quickly online","overall the merger, the merger created, merger created one, created one of, one of the, of the largest, the largest logistics, largest logistics providers, logistics providers in, providers in the, in the region, the region the, region the news, the news spread, news spread quickly, spread quickly online",Business
363,"Based on recent updates, the marathon route passed through the old town before reaching the finish line. This was confirmed by multiple sources.","based, recent, updates, marathon, route, passed, through, old, town, before, reaching, finish, line, confirmed, multiple, sources","based on, on recent, recent updates, updates the, the marathon, marathon route, route passed, passed through, through the, the old, old town, town before, before reaching, reaching the, the finish, finish line, line this, this was, was confirmed, confirmed by, by multiple, multiple sources","based on recent, on recent updates, recent updates the, updates the marathon, the marathon route, marathon route passed, route passed through, passed through the, through the old, the old town, old town before, town before reaching, before reaching the, reaching the finish, the finish line, finish line this, line this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Sports
364,Officials confirmed that the marathon route passed through the old town before reaching the finish line. Reactions were mixed among observers.,"officials, confirmed, marathon, route, passed, through, old, town, before, reaching, finish, line, reactions, mixed, among, observers","officials confirmed, confirmed that, that the, the marathon, marathon route, route passed, passed through, through the, the old, old town, town before, before reaching, reaching the, the finish, finish line, line reactions, reactions were, were mixed, mixed among, among observers","officials confirmed that, confirmed that the, that the marathon, the marathon route, marathon route passed, route passed through, passed through the, through the old, the old town, old town before, town before reaching, before reaching the, reaching the finish, the finish line, finish line reactions, line reactions were, reactions were mixed, were mixed among, mixed among observers",Sports
365,"Notably, the band announced a world tour following their latest album release.","notably, band, announced, world, tour, following, their, latest, album, release","notably the, the band, band announced, announced a, a world, world tour, tour following, following their, their latest, latest album, album release","notably the band, the band announced, band announced a, announced a world, a world tour, world tour following, tour following their, following their latest, their latest album, latest album release",Entertainment
366,"Interestingly, the robotics lab unveiled a prototype capable of navigating tight spaces. Further details are expected soon.","interestingly, robotics, lab, unveiled, prototype, capable, navigating, tight, spaces, further, details, expected, soon","interestingly the, the robotics, robotics lab, lab unveiled, unveiled a, a prototype, prototype capable, capable of, of navigating, navigating tight, tight spaces, spaces further, further details, details are, are expected, expected soon","interestingly the robotics, the robotics lab, robotics lab unveiled, lab unveiled a, unveiled a prototype, a prototype capable, prototype capable of, capable of navigating, of navigating tight, navigating tight spaces, tight spaces further, spaces further details, further details are, details are expected, are expected soon",Technology
367,Officials confirmed that the firm hired additional staff to handle rising customer demand. The news spread quickly online.,"officials, confirmed, firm, hired, additional, staff, handle, rising, customer, demand, news, spread, quickly, online","officials confirmed, confirmed that, that the, the firm, firm hired, hired additional, additional staff, staff to, to handle, handle rising, rising customer, customer demand, demand the, the news, news spread, spread quickly, quickly online","officials confirmed that, confirmed that the, that the firm, the firm hired, firm hired additional, hired additional staff, additional staff to, staff to handle, to handle rising, handle rising customer, rising customer demand, customer demand the, demand the news, the news spread, news spread quickly, spread quickly online",Business
368,"Based on recent updates, the referee reviewed the replay before confirming the controversial goal. Many found this development notable.","based, recent, updates, referee, reviewed, replay, before, confirming, controversial, goal, many, found, development, notable","based on, on recent, recent updates, updates the, the referee, referee reviewed, reviewed the, the replay, replay before, before confirming, confirming the, the controversial, controversial goal, goal many, many found, found this, this development, development notable","based on recent, on recent updates, recent updates the, updates the referee, the referee reviewed, referee reviewed the, reviewed the replay, the replay before, replay before confirming, before confirming the, confirming the controversial, the controversial goal, controversial goal many, goal many found, many found this, found this development, this development notable",Sports
369,"In a statement, the firm hired additional staff to handle rising customer demand. The news spread quickly online.","statement, firm, hired, additional, staff, handle, rising, customer, demand, news, spread, quickly, online","in a, a statement, statement the, the firm, firm hired, hired additional, additional staff, staff to, to handle, handle rising, rising customer, customer demand, demand the, the news, news spread, spread quickly, quickly online","in a statement, a statement the, statement the firm, the firm hired, firm hired additional, hired additional staff, additional staff to, staff to handle, to handle rising, handle rising customer, rising customer demand, customer demand the, demand the news, the news spread, news spread quickly, spread quickly online",Business
370,"Based on recent updates, a new mentorship program pairs upperclassmen with incoming freshmen. Further details are expected soon.","based, recent, updates, new, mentorship, program, pairs, upperclassmen, incoming, freshmen, further, details, expected, soon","based on, on recent, recent updates, updates a, a new, new mentorship, mentorship program, program pairs, pairs upperclassmen, upperclassmen with, with incoming, incoming freshmen, freshmen further, further details, details are, are expected, expected soon","based on recent, on recent updates, recent updates a, updates a new, a new mentorship, new mentorship program, mentorship program pairs, program pairs upperclassmen, pairs upperclassmen with, upperclassmen with incoming, with incoming freshmen, incoming freshmen further, freshmen further details, further details are, details are expected, are expected soon",Education
371,Sources say the company reported steady revenue growth during the third quarter. Officials had no further comment.,"sources, say, company, reported, steady, revenue, growth, during, third, quarter, officials, had, no, further, comment","sources say, say the, the company, company reported, reported steady, steady revenue, revenue growth, growth during, during the, the third, third quarter, quarter officials, officials had, had no, no further, further comment","sources say the, say the company, the company reported, company reported steady, reported steady revenue, steady revenue growth, revenue growth during, growth during the, during the third, the third quarter, third quarter officials, quarter officials had, officials had no, had no further, no further comment",Business
372,"Overall, artificial intelligence systems can process large volumes of data quickly. This was confirmed by multiple sources.","overall, artificial, intelligence, systems, can, process, large, volumes, data, quickly, confirmed, multiple, sources","overall artificial, artificial intelligence, intelligence systems, systems can, can process, process large, large volumes, volumes of, of data, data quickly, quickly this, this was, was confirmed, confirmed by, by multiple, multiple sources","overall artificial intelligence, artificial intelligence systems, intelligence systems can, systems can process, can process large, process large volumes, large volumes of, volumes of data, of data quickly, data quickly this, quickly this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Technology
373,"Notably, airports reported longer wait times during the holiday travel season. Experts continue to monitor the situation.","notably, airports, reported, longer, wait, times, during, holiday, travel, season, experts, continue, monitor, situation","notably airports, airports reported, reported longer, longer wait, wait times, times during, during the, the holiday, holiday travel, travel season, season experts, experts continue, continue to, to monitor, monitor the, the situation","notably airports reported, airports reported longer, reported longer wait, longer wait times, wait times during, times during the, during the holiday, the holiday travel, holiday travel season, travel season experts, season experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Travel
374,"Overall, the film premiered to a sold out audience at the downtown theater. The news spread quickly online.","overall, film, premiered, sold, out, audience, downtown, theater, news, spread, quickly, online","overall the, the film, film premiered, premiered to, to a, a sold, sold out, out audience, audience at, at the, the downtown, downtown theater, theater the, the news, news spread, spread quickly, quickly online","overall the film, the film premiered, film premiered to, premiered to a, to a sold, a sold out, sold out audience, out audience at, audience at the, at the downtown, the downtown theater, downtown theater the, theater the news, the news spread, news spread quickly, spread quickly online",Entertainment
375,"As expected, the research team tested a vaccine candidate in early clinical trials. Many found this development notable.","expected, research, team, tested, vaccine, candidate, early, clinical, trials, many, found, development, notable","as expected, expected the, the research, research team, team tested, tested a, a vaccine, vaccine candidate, candidate in, in early, early clinical, clinical trials, trials many, many found, found this, this development, development notable","as expected the, expected the research, the research team, research team tested, team tested a, tested a vaccine, a vaccine candidate, vaccine candidate in, candidate in early, in early clinical, early clinical trials, clinical trials many, trials many found, many found this, found this development, this development notable",Science
376,Scientists discovered a new species of fish in the deep ocean trench. Officials had no further comment.,"scientists, discovered, new, species, fish, deep, ocean, trench, officials, had, no, further, comment","scientists discovered, discovered a, a new, new species, species of, of fish, fish in, in the, the deep, deep ocean, ocean trench, trench officials, officials had, had no, no further, further comment","scientists discovered a, discovered a new, a new species, new species of, species of fish, of fish in, fish in the, in the deep, the deep ocean, deep ocean trench, ocean trench officials, trench officials had, officials had no, had no further, no further comment",Science
377,The home team scored twice in the final minutes to win the match. Experts continue to monitor the situation.,"home, team, scored, twice, final, minutes, win, match, experts, continue, monitor, situation","the home, home team, team scored, scored twice, twice in, in the, the final, final minutes, minutes to, to win, win the, the match, match experts, experts continue, continue to, to monitor, monitor the, the situation","the home team, home team scored, team scored twice, scored twice in, twice in the, in the final, the final minutes, final minutes to, minutes to win, to win the, win the match, the match experts, match experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Sports
378,"Notably, the clinic introduced telehealth appointments for rural patients. Many found this development notable.","notably, clinic, introduced, telehealth, appointments, rural, patients, many, found, development, notable","notably the, the clinic, clinic introduced, introduced telehealth, telehealth appointments, appointments for, for rural, rural patients, patients many, many found, found this, this development, development notable","notably the clinic, the clinic introduced, clinic introduced telehealth, introduced telehealth appointments, telehealth appointments for, appointments for rural, for rural patients, rural patients many, patients many found, many found this, found this development, this development notable",Health
379,"Based on recent updates, the tourism board launched a campaign to promote off season visits.","based, recent, updates, tourism, board, launched, campaign, promote, off, season, visits","based on, on recent, recent updates, updates the, the tourism, tourism board, board launched, launched a, a campaign, campaign to, to promote, promote off, off season, season visits","based on recent, on recent updates, recent updates the, updates the tourism, the tourism board, tourism board launched, board launched a, launched a campaign, a campaign to, campaign to promote, to promote off, promote off season, off season visits",Travel
380,"Notably, the chemistry department received a grant to study renewable fuels.","notably, chemistry, department, received, grant, study, renewable, fuels","notably the, the chemistry, chemistry department, department received, received a, a grant, grant to, to study, study renewable, renewable fuels","notably the chemistry, the chemistry department, chemistry department received, department received a, received a grant, a grant to, grant to study, to study renewable, study renewable fuels",Science
381,"As expected, retailers adjusted pricing strategies to compete with online stores.","expected, retailers, adjusted, pricing, strategies, compete, online, stores","as expected, expected retailers, retailers adjusted, adjusted pricing, pricing strategies, strategies to, to compete, compete with, with online, online stores","as expected retailers, expected retailers adjusted, retailers adjusted pricing, adjusted pricing strategies, pricing strategies to, strategies to compete, to compete with, compete with online, with online stores",Business
382,"As expected, small business owners praised the new tax relief program. Experts continue to monitor the situation.","expected, small, business, owners, praised, new, tax, relief, program, experts, continue, monitor, situation","as expected, expected small, small business, business owners, owners praised, praised the, the new, new tax, tax relief, relief program, program experts, experts continue, continue to, to monitor, monitor the, the situation","as expected small, expected small business, small business owners, business owners praised, owners praised the, praised the new, the new tax, new tax relief, tax relief program, relief program experts, program experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Business
383,"Interestingly, fans lined up early to get autographs from the visiting cast. Experts continue to monitor the situation.","interestingly, fans, lined, up, early, get, autographs, visiting, cast, experts, continue, monitor, situation","interestingly fans, fans lined, lined up, up early, early to, to get, get autographs, autographs from, from the, the visiting, visiting cast, cast experts, experts continue, continue to, to monitor, monitor the, the situation","interestingly fans lined, fans lined up, lined up early, up early to, early to get, to get autographs, get autographs from, autographs from the, from the visiting, the visiting cast, visiting cast experts, cast experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Entertainment
384,"Notably, the hospital expanded its emergency department to reduce wait times. Many found this development notable.","notably, hospital, expanded, its, emergency, department, reduce, wait, times, many, found, development, notable","notably the, the hospital, hospital expanded, expanded its, its emergency, emergency department, department to, to reduce, reduce wait, wait times, times many, many found, found this, this development, development notable","notably the hospital, the hospital expanded, hospital expanded its, expanded its emergency, its emergency department, emergency department to, department to reduce, to reduce wait, reduce wait times, wait times many, times many found, many found this, found this development, this development notable",Health
385,"As expected, machine learning models require significant computing power to train effectively. The news spread quickly online.","expected, machine, learning, models, require, significant, computing, power, train, effectively, news, spread, quickly, online","as expected, expected machine, machine learning, learning models, models require, require significant, significant computing, computing power, power to, to train, train effectively, effectively the, the news, news spread, spread quickly, quickly online","as expected machine, expected machine learning, machine learning models, learning models require, models require significant, require significant computing, significant computing power, computing power to, power to train, to train effectively, train effectively the, effectively the news, the news spread, news spread quickly, spread quickly online",Technology
386,Officials confirmed that the young athlete broke the regional record in the two hundred meter sprint. Further details are expected soon.,"officials, confirmed, young, athlete, broke, regional, record, two, hundred, meter, sprint, further, details, expected, soon","officials confirmed, confirmed that, that the, the young, young athlete, athlete broke, broke the, the regional, regional record, record in, in the, the two, two hundred, hundred meter, meter sprint, sprint further, further details, details are, are expected, expected soon","officials confirmed that, confirmed that the, that the young, the young athlete, young athlete broke, athlete broke the, broke the regional, the regional record, regional record in, record in the, in the two, the two hundred, two hundred meter, hundred meter sprint, meter sprint further, sprint further details, further details are, details are expected, are expected soon",Sports
387,Officials confirmed that mental health awareness programs are becoming common in workplaces. The news spread quickly online.,"officials, confirmed, mental, health, awareness, programs, becoming, common, workplaces, news, spread, quickly, online","officials confirmed, confirmed that, that mental, mental health, health awareness, awareness programs, programs are, are becoming, becoming common, common in, in workplaces, workplaces the, the news, news spread, spread quickly, quickly online","officials confirmed that, confirmed that mental, that mental health, mental health awareness, health awareness programs, awareness programs are, programs are becoming, are becoming common, becoming common in, common in workplaces, in workplaces the, workplaces the news, the news spread, news spread quickly, spread quickly online",Health
388,"Notably, nutritionists suggested simple changes to improve daily eating habits. Reactions were mixed among observers.","notably, nutritionists, suggested, simple, changes, improve, daily, eating, habits, reactions, mixed, among, observers","notably nutritionists, nutritionists suggested, suggested simple, simple changes, changes to, to improve, improve daily, daily eating, eating habits, habits reactions, reactions were, were mixed, mixed among, among observers","notably nutritionists suggested, nutritionists suggested simple, suggested simple changes, simple changes to, changes to improve, to improve daily, improve daily eating, daily eating habits, eating habits reactions, habits reactions were, reactions were mixed, were mixed among, mixed among observers",Health
389,"As expected, geologists studied fault lines to better predict earthquake risks. Many found this development notable.","expected, geologists, studied, fault, lines, better, predict, earthquake, risks, many, found, development, notable","as expected, expected geologists, geologists studied, studied fault, fault lines, lines to, to better, better predict, predict earthquake, earthquake risks, risks many, many found, found this, this development, development notable","as expected geologists, expected geologists studied, geologists studied fault, studied fault lines, fault lines to, lines to better, to better predict, better predict earthquake, predict earthquake risks, earthquake risks many, risks many found, many found this, found this development, this development notable",Science
390,Fans traveled from nearby cities to watch the championship final. Further details are expected soon.,"fans, traveled, nearby, cities, watch, championship, final, further, details, expected, soon","fans traveled, traveled from, from nearby, nearby cities, cities to, to watch, watch the, the championship, championship final, final further, further details, details are, are expected, expected soon","fans traveled from, traveled from nearby, from nearby cities, nearby cities to, cities to watch, to watch the, watch the championship, the championship final, championship final further, final further details, further details are, details are expected, are expected soon",Sports
391,"As expected, cloud computing allows companies to store data without physical servers. Many found this development notable.","expected, cloud, computing, allows, companies, store, data, without, physical, servers, many, found, development, notable","as expected, expected cloud, cloud computing, computing allows, allows companies, companies to, to store, store data, data without, without physical, physical servers, servers many, many found, found this, this development, development notable","as expected cloud, expected cloud computing, cloud computing allows, computing allows companies, allows companies to, companies to store, to store data, store data without, data without physical, without physical servers, physical servers many, servers many found, many found this, found this development, this development notable",Technology
392,"In a statement, geologists studied fault lines to better predict earthquake risks. The news spread quickly online.","statement, geologists, studied, fault, lines, better, predict, earthquake, risks, news, spread, quickly, online","in a, a statement, statement geologists, geologists studied, studied fault, fault lines, lines to, to better, better predict, predict earthquake, earthquake risks, risks the, the news, news spread, spread quickly, quickly online","in a statement, a statement geologists, statement geologists studied, geologists studied fault, studied fault lines, fault lines to, lines to better, to better predict, better predict earthquake, predict earthquake risks, earthquake risks the, risks the news, the news spread, news spread quickly, spread quickly online",Science
393,Officials confirmed that a new material was developed that conducts electricity more efficiently. Officials had no further comment.,"officials, confirmed, new, material, developed, conducts, electricity, more, efficiently, officials, had, no, further, comment","officials confirmed, confirmed that, that a, a new, new material, material was, was developed, developed that, that conducts, conducts electricity, electricity more, more efficiently, efficiently officials, officials had, had no, no further, further comment","officials confirmed that, confirmed that a, that a new, a new material, new material was, material was developed, was developed that, developed that conducts, that conducts electricity, conducts electricity more, electricity more efficiently, more efficiently officials, efficiently officials had, officials had no, had no further, no further comment",Science
394,Officials confirmed that artificial intelligence systems can process large volumes of data quickly.,"officials, confirmed, artificial, intelligence, systems, can, process, large, volumes, data, quickly","officials confirmed, confirmed that, that artificial, artificial intelligence, intelligence systems, systems can, can process, process large, large volumes, volumes of, of data, data quickly","officials confirmed that, confirmed that artificial, that artificial intelligence, artificial intelligence systems, intelligence systems can, systems can process, can process large, process large volumes, large volumes of, volumes of data, of data quickly",Technology
395,Sources say executives outlined a plan to reduce costs without cutting jobs. Reactions were mixed among observers.,"sources, say, executives, outlined, plan, reduce, costs, without, cutting, jobs, reactions, mixed, among, observers","sources say, say executives, executives outlined, outlined a, a plan, plan to, to reduce, reduce costs, costs without, without cutting, cutting jobs, jobs reactions, reactions were, were mixed, mixed among, among observers","sources say executives, say executives outlined, executives outlined a, outlined a plan, a plan to, plan to reduce, to reduce costs, reduce costs without, costs without cutting, without cutting jobs, cutting jobs reactions, jobs reactions were, reactions were mixed, were mixed among, mixed among observers",Business
396,"As expected, the referee reviewed the replay before confirming the controversial goal. Reactions were mixed among observers.","expected, referee, reviewed, replay, before, confirming, controversial, goal, reactions, mixed, among, observers","as expected, expected the, the referee, referee reviewed, reviewed the, the replay, replay before, before confirming, confirming the, the controversial, controversial goal, goal reactions, reactions were, were mixed, mixed among, among observers","as expected the, expected the referee, the referee reviewed, referee reviewed the, reviewed the replay, the replay before, replay before confirming, before confirming the, confirming the controversial, the controversial goal, controversial goal reactions, goal reactions were, reactions were mixed, were mixed among, mixed among observers",Sports
397,Sources say the startup secured additional funding to scale its operations abroad. The news spread quickly online.,"sources, say, startup, secured, additional, funding, scale, its, operations, abroad, news, spread, quickly, online","sources say, say the, the startup, startup secured, secured additional, additional funding, funding to, to scale, scale its, its operations, operations abroad, abroad the, the news, news spread, spread quickly, quickly online","sources say the, say the startup, the startup secured, startup secured additional, secured additional funding, additional funding to, funding to scale, to scale its, scale its operations, its operations abroad, operations abroad the, abroad the news, the news spread, news spread quickly, spread quickly online",Business
398,The streaming platform released a new series that gained instant popularity. Further details are expected soon.,"streaming, platform, released, new, series, gained, instant, popularity, further, details, expected, soon","the streaming, streaming platform, platform released, released a, a new, new series, series that, that gained, gained instant, instant popularity, popularity further, further details, details are, are expected, expected soon","the streaming platform, streaming platform released, platform released a, released a new, a new series, new series that, series that gained, that gained instant, gained instant popularity, instant popularity further, popularity further details, further details are, details are expected, are expected soon",Entertainment
399,"As expected, nutritionists suggested simple changes to improve daily eating habits. Further details are expected soon.","expected, nutritionists, suggested, simple, changes, improve, daily, eating, habits, further, details, expected, soon","as expected, expected nutritionists, nutritionists suggested, suggested simple, simple changes, changes to, to improve, improve daily, daily eating, eating habits, habits further, further details, details are, are expected, expected soon","as expected nutritionists, expected nutritionists suggested, nutritionists suggested simple, suggested simple changes, simple changes to, changes to improve, to improve daily, improve daily eating, daily eating habits, eating habits further, habits further details, further details are, details are expected, are expected soon",Health
400,"Based on recent updates, the streaming platform released a new series that gained instant popularity. This was confirmed by multiple sources.","based, recent, updates, streaming, platform, released, new, series, gained, instant, popularity, confirmed, multiple, sources","based on, on recent, recent updates, updates the, the streaming, streaming platform, platform released, released a, a new, new series, series that, that gained, gained instant, instant popularity, popularity this, this was, was confirmed, confirmed by, by multiple, multiple sources","based on recent, on recent updates, recent updates the, updates the streaming, the streaming platform, streaming platform released, platform released a, released a new, a new series, new series that, series that gained, that gained instant, gained instant popularity, instant popularity this, popularity this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Entertainment
401,Officials confirmed that fans lined up early to get autographs from the visiting cast. The news spread quickly online.,"officials, confirmed, fans, lined, up, early, get, autographs, visiting, cast, news, spread, quickly, online","officials confirmed, confirmed that, that fans, fans lined, lined up, up early, early to, to get, get autographs, autographs from, from the, the visiting, visiting cast, cast the, the news, news spread, spread quickly, quickly online","officials confirmed that, confirmed that fans, that fans lined, fans lined up, lined up early, up early to, early to get, to get autographs, get autographs from, autographs from the, from the visiting, the visiting cast, visiting cast the, cast the news, the news spread, news spread quickly, spread quickly online",Entertainment
402,"Overall, the city unveiled a new walking trail along the historic waterfront. The news spread quickly online.","overall, city, unveiled, new, walking, trail, along, historic, waterfront, news, spread, quickly, online","overall the, the city, city unveiled, unveiled a, a new, new walking, walking trail, trail along, along the, the historic, historic waterfront, waterfront the, the news, news spread, spread quickly, quickly online","overall the city, the city unveiled, city unveiled a, unveiled a new, a new walking, new walking trail, walking trail along, trail along the, along the historic, the historic waterfront, historic waterfront the, waterfront the news, the news spread, news spread quickly, spread quickly online",Travel
403,"Notably, investors reacted positively to the firm's expansion into new markets. Many found this development notable.","notably, investors, reacted, positively, firms, expansion, into, new, markets, many, found, development, notable","notably investors, investors reacted, reacted positively, positively to, to the, the firms, firms expansion, expansion into, into new, new markets, markets many, many found, found this, this development, development notable","notably investors reacted, investors reacted positively, reacted positively to, positively to the, to the firms, the firms expansion, firms expansion into, expansion into new, into new markets, new markets many, markets many found, many found this, found this development, this development notable",Business
404,"Notably, the museum hosted an interactive exhibit celebrating classic animation. Experts continue to monitor the situation.","notably, museum, hosted, interactive, exhibit, celebrating, classic, animation, experts, continue, monitor, situation","notably the, the museum, museum hosted, hosted an, an interactive, interactive exhibit, exhibit celebrating, celebrating classic, classic animation, animation experts, experts continue, continue to, to monitor, monitor the, the situation","notably the museum, the museum hosted, museum hosted an, hosted an interactive, an interactive exhibit, interactive exhibit celebrating, exhibit celebrating classic, celebrating classic animation, classic animation experts, animation experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Entertainment
405,"Interestingly, the guided tour included stops at several centuries old landmarks.","interestingly, guided, tour, included, stops, several, centuries, old, landmarks","interestingly the, the guided, guided tour, tour included, included stops, stops at, at several, several centuries, centuries old, old landmarks","interestingly the guided, the guided tour, guided tour included, tour included stops, included stops at, stops at several, at several centuries, several centuries old, centuries old landmarks",Travel
