id,text,task,input_type,expected_output,difficulty
520,Note the following: Charlotte Fernandez was appointed as the new director at Oakwood Publishing House.,Named Entity Recognition,Single Sentence,"PERSON: Charlotte Fernandez, ORG: Oakwood Publishing House",Intermediate
521,Example: The concert featured a surprise duet that thrilled the crowd.,Text Classification,Single Sentence,Entertainment,Advanced
522,Consider the following: Write an opening line for a mystery novel set in a small coastal town.,Text Generation,Prompt,No one in the small coastal town expected the tide to bring back more than driftwood.,Intermediate
523,"Please review: Overall, the hotel stay was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
524,Write an opening line for a memoir about growing up near the coast.,Text Generation,Prompt,"The ocean was the first sound I remember, and it never really left me.",Intermediate
525,See below: The city approved funding for a new park.|Funding for a new park was approved by the city.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
526,"Note the following: Overall, the delivery was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
527,"As an example, Priya Haddad joined Brightline Technologies in Lisbon last year.",Named Entity Recognition,Single Sentence,"PERSON: Priya Haddad, ORG: Brightline Technologies, GPE: Lisbon",Intermediate
528,Case in point: Continue the story: The old lighthouse had been abandoned for decades until...,Text Generation,Prompt,...a young sailor discovered a hidden journal inside its rusted walls.,Beginner
529,Researchers published findings on the link between sleep and memory.,Text Classification,Single Sentence,Health,Intermediate
530,"For instance, The airline canceled several flights due to weather.|The library added new titles to its collection.",Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
531,Case in point: Chemists developed a more efficient method for producing clean fuel.,Text Classification,Single Sentence,Science,Beginner
532,"Take the following text: Overall, the flight was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
533,Note the following: Executives outlined a plan to reduce costs without cutting jobs.,Text Classification,Single Sentence,Business,Beginner
534,Reference text: Draft a short thank-you message for event volunteers.,Text Generation,Prompt,Thank you to every volunteer who made this year's event possible.,Beginner
535,Task input: The engineer reviewed the blueprint before the [MASK].,Masked Language Modeling,Masked Sentence,construction,Beginner
536,Continue the story: The old bookstore had one rule that no customer ever questioned...,Text Generation,Prompt,...every book had to be returned to the exact shelf it came from.,Beginner
537,The orchestra rehearsed for weeks before the [MASK].,Masked Language Modeling,Masked Sentence,concert,Beginner
538,Take the following text: Aurora Data Systems announced a new office opening in Berlin.,Named Entity Recognition,Single Sentence,"ORG: Aurora Data Systems, GPE: Berlin",Advanced
539,Case in point: The clinic expanded telehealth services for rural communities.,Text Classification,Single Sentence,Health,Intermediate
540,"See below: Overall, the flight was satisfying based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
541,"As an example, Write a short pitch for a new budgeting app.",Text Generation,Prompt,Take control of your spending with an app that makes budgeting simple and stress-free.,Intermediate
542,Example: The hospital adopted new technology to speed up emergency triage.,Text Classification,Single Sentence,Health,Intermediate
543,Note the following: The soccer team won the championship after a dramatic final.|The soccer team lost the championship in a disappointing final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Intermediate
544,"Please review: The city's new bike-sharing program has already logged tens of thousands of rides in its first month, with officials crediting expanded lanes and lower fares for the early success.",Text Summarization,Paragraph,City's new bike-sharing program sees strong early adoption.,Beginner
545,See below: The marathon route passes through five historic neighborhoods.|How many historic neighborhoods does the marathon route pass through?,Question Answering,Context + Question,five,Intermediate
546,"Input sample: Overall, the software update was standard based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Intermediate
547,"Note the following: Following months of negotiation, the two companies finalized a merger that industry analysts believe will reshape the competitive landscape of the logistics sector.",Text Summarization,Paragraph,Two companies finalize merger reshaping the logistics industry.,Beginner
548,See below: The tech firm rolled out a privacy update giving users more control over how their data is shared with third-party advertisers.,Text Summarization,Paragraph,Tech firm gives users more control over data sharing with new update.,Advanced
549,"For instance, The tech firm rolled out a privacy update giving users more control over how their data is shared with third-party advertisers.",Text Summarization,Paragraph,Tech firm gives users more control over data sharing with new update.,Intermediate
550,"See below: The hospital opened a new pediatric wing this week, funded largely through community donations, aiming to reduce wait times and improve care for young patients across the region.",Text Summarization,Paragraph,Hospital opens community-funded pediatric wing to improve care.,Beginner
551,Here is a case to review: The factory upgraded its equipment to save energy.|The factory's energy use increased after equipment failed.,Text Similarity,Sentence Pair,Low similarity (contradiction),Intermediate
552,"Case in point: Overall, the printer was typical based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Advanced
553,Example: The photographer waited for the perfect [MASK] to take the shot.,Masked Language Modeling,Masked Sentence,light,Beginner
554,Please review: Amara Wright was appointed as the new director at Summit Robotics Inc..,Named Entity Recognition,Single Sentence,"PERSON: Amara Wright, ORG: Summit Robotics Inc.",Intermediate
555,"The film studio confirmed that production on the long-awaited sequel will begin next spring, with much of the original cast expected to return for the project.",Text Summarization,Paragraph,Studio confirms sequel production will begin next spring.,Advanced
556,"Here is a case to review: After years of research, scientists announced a new method for recycling plastic that uses significantly less energy than traditional processes, potentially transforming the recycling industry.",Text Summarization,Paragraph,Scientists develop energy-efficient plastic recycling method.,Intermediate
557,Input sample: The hikers packed extra water before reaching the [MASK].,Masked Language Modeling,Masked Sentence,summit,Advanced
558,Consider the following: The clinic expanded telehealth services for rural communities.,Text Classification,Single Sentence,Health,Beginner
559,Input sample: The farmer checked the soil before planting the [MASK].,Masked Language Modeling,Masked Sentence,seeds,Beginner
560,Reference text: The film's soundtrack topped the charts within a week of release.,Text Classification,Single Sentence,Entertainment,Advanced
561,The company launched a new [MASK] to attract younger customers.,Masked Language Modeling,Masked Sentence,campaign,Intermediate
562,"Review this input: Overall, the mobile app was reliable based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
563,Consider the following: Nutritionists recommended simple changes to daily eating habits.,Text Classification,Single Sentence,Health,Beginner
564,Example: The scientist conducted an experiment in the [MASK].,Masked Language Modeling,Masked Sentence,laboratory,Intermediate
565,Review this input: Draft a short thank-you message for event volunteers.,Text Generation,Prompt,Thank you to every volunteer who made this year's event possible.,Beginner
566,"Input sample: The airline unveiled a redesigned cabin layout intended to improve passenger comfort on long-haul flights, including wider seats and more legroom.",Text Summarization,Paragraph,Airline redesigns cabin layout to improve long-haul passenger comfort.,Intermediate
567,See below: The soccer team won the championship after a dramatic final.|The soccer team lost the championship in a disappointing final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
568,Task input: The museum unveiled a new exhibit on ancient history.|A new ancient history exhibit opened at the museum.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
569,Task input: The tourists took photos of the historic [MASK].,Masked Language Modeling,Masked Sentence,landmark,Intermediate
570,The airline canceled several flights due to weather.|The library added new titles to its collection.,Text Similarity,Sentence Pair,Low similarity (unrelated),Advanced
571,Input sample: The novelist released her long-awaited sequel.|The bakery introduced gluten-free pastries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Advanced
572,Note the following: Mount Everest is the tallest mountain above sea level on Earth.|What is the tallest mountain above sea level?,Question Answering,Context + Question,Mount Everest,Advanced
573,"Reference text: The hospital opened a new pediatric wing this week, funded largely through community donations, aiming to reduce wait times and improve care for young patients across the region.",Text Summarization,Paragraph,Hospital opens community-funded pediatric wing to improve care.,Intermediate
574,Consider the following: Draft a short thank-you message for event volunteers.,Text Generation,Prompt,Thank you to every volunteer who made this year's event possible.,Advanced
575,"Take the following text: Overall, the mobile app was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
576,"For instance, The recipe requires two cups of flour and a teaspoon of salt.|How much flour does the recipe require?",Question Answering,Context + Question,two cups,Advanced
577,Sample input: The city unveiled a new walking trail along the historic waterfront.,Text Classification,Single Sentence,Travel,Intermediate
578,Review this input: Write an opening line for a mystery novel set in a small coastal town.,Text Generation,Prompt,No one in the small coastal town expected the tide to bring back more than driftwood.,Beginner
579,Here is a case to review: Photosynthesis allows plants to convert sunlight into energy.|What does photosynthesis allow plants to do?,Question Answering,Context + Question,convert sunlight into energy,Intermediate
580,"Example: The observatory captured unprecedented images of a distant nebula after upgrading its imaging equipment, giving astronomers new insight into star formation.",Text Summarization,Paragraph,Observatory captures new images of nebula after equipment upgrade.,Advanced
581,Here is a case to review: The students submitted their assignments before the [MASK].,Masked Language Modeling,Masked Sentence,deadline,Advanced
582,See below: The engineer reviewed the blueprint before the [MASK].,Masked Language Modeling,Masked Sentence,construction,Beginner
583,"As an example, Chen Kim was appointed as the new director at Falcon Logistics.",Named Entity Recognition,Single Sentence,"PERSON: Chen Kim, ORG: Falcon Logistics",Intermediate
584,"Reference text: Following months of negotiation, the two companies finalized a merger that industry analysts believe will reshape the competitive landscape of the logistics sector.",Text Summarization,Paragraph,Two companies finalize merger reshaping the logistics industry.,Beginner
585,Example: Continue the story: The old bookstore had one rule that no customer ever questioned...,Text Generation,Prompt,...every book had to be returned to the exact shelf it came from.,Intermediate
586,Take the following text: Adaeze Larsen was appointed as the new director at Riverside Bank.,Named Entity Recognition,Single Sentence,"PERSON: Adaeze Larsen, ORG: Riverside Bank",Advanced
587,Review this input: The hikers reached the summit just before sunset.|The group of hikers made it to the top right before sunset.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
588,"As an example, Yuki Müller joined Union Manufacturing Corp. in Nairobi last year.",Named Entity Recognition,Single Sentence,"PERSON: Yuki Müller, ORG: Union Manufacturing Corp., GPE: Nairobi",Beginner
589,Here is a case to review: The mechanic inspected the car's [MASK] before the road trip.,Masked Language Modeling,Masked Sentence,engine,Intermediate
590,Take the following text: The doctor recommended more rest and a balanced [MASK].,Masked Language Modeling,Masked Sentence,diet,Beginner
591,Grace Baker was appointed as the new director at Evergreen Energy Co..,Named Entity Recognition,Single Sentence,"PERSON: Grace Baker, ORG: Evergreen Energy Co.",Intermediate
592,Here is a case to review: Nutritionists recommended simple changes to daily eating habits.,Text Classification,Single Sentence,Health,Advanced
593,Case in point: The bike-sharing program was launched to ease congestion.|The novelist postponed her sequel's release indefinitely.,Text Similarity,Sentence Pair,Low similarity (unrelated),Advanced
594,"Here is a case to review: The startup's latest app allows users to track their carbon footprint by analyzing daily habits such as transportation, diet, and energy use, offering personalized suggestions for reducing emissions.",Text Summarization,Paragraph,New app helps users track and reduce their carbon footprint.,Intermediate
595,"Input sample: A local nonprofit distributed thousands of winter coats to families in need, relying entirely on community donations and volunteer coordination.",Text Summarization,Paragraph,Nonprofit distributes winter coats to families through community donations.,Advanced
596,Sample input: Generate a short caption for a photo of an autumn forest trail.,Text Generation,Prompt,Crisp air and golden leaves make this trail impossible to resist in autumn.,Advanced
597,Note the following: Continue the story: The old lighthouse had been abandoned for decades until...,Text Generation,Prompt,...a young sailor discovered a hidden journal inside its rusted walls.,Beginner
598,Input sample: A new study found that students who participated in peer tutoring programs showed measurable improvement in both grades and confidence over a single semester.,Text Summarization,Paragraph,Study links peer tutoring to improved grades and confidence.,Intermediate
599,Example: Zenith Pharmaceuticals announced a new office opening in Jakarta.,Named Entity Recognition,Single Sentence,"ORG: Zenith Pharmaceuticals, GPE: Jakarta",Intermediate
600,"Sample input: Overall, the customer service team was average based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
601,Review this input: Generate a product description for a reusable water bottle.,Text Generation,Prompt,"This durable, eco-friendly water bottle keeps drinks cold for hours at a time.",Beginner
602,"Input sample: The city's water utility completed a multi-year project to replace aging pipes, reducing leaks and improving water quality for thousands of households.",Text Summarization,Paragraph,"City completes pipe replacement project, improving water quality.",Intermediate
603,Input sample: Generate a product description for a reusable water bottle.,Text Generation,Prompt,"This durable, eco-friendly water bottle keeps drinks cold for hours at a time.",Intermediate
604,Note the following: The novelist released her long-awaited sequel.|The bakery introduced gluten-free pastries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
605,Please review: The museum unveiled a new exhibit on ancient history.|A new ancient history exhibit opened at the museum.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
606,"Review this input: Overall, the mobile app was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
607,Sample input: Engineers unveiled a chip that doubles processing speed.,Text Classification,Single Sentence,Technology,Intermediate
608,Please review: Draft a short announcement about a community cleanup event.,Text Generation,Prompt,Join your neighbors this Saturday for a community cleanup event at the riverside park.,Intermediate
609,Here is a case to review: Redstone Consulting announced a new office opening in Amsterdam.,Named Entity Recognition,Single Sentence,"ORG: Redstone Consulting, GPE: Amsterdam",Intermediate
610,Consider the following: Researchers published findings on the link between sleep and memory.,Text Classification,Single Sentence,Health,Advanced
611,"See below: Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Advanced
612,Here is a case to review: Wei Anderson was appointed as the new director at Maple Street School District.,Named Entity Recognition,Single Sentence,"PERSON: Wei Anderson, ORG: Maple Street School District",Beginner
613,Take the following text: Ingrid Nguyen was appointed as the new director at Pioneer Research Institute.,Named Entity Recognition,Single Sentence,"PERSON: Ingrid Nguyen, ORG: Pioneer Research Institute",Advanced
614,Input sample: The mechanic inspected the car's [MASK] before the road trip.,Masked Language Modeling,Masked Sentence,engine,Intermediate
615,Consider the following: The comet will not be visible again for another seventy years.|When will the comet be visible again?,Question Answering,Context + Question,in another seventy years,Beginner
616,Case in point: Mei Ivanov joined Zenith Pharmaceuticals in Austin last year.,Named Entity Recognition,Single Sentence,"PERSON: Mei Ivanov, ORG: Zenith Pharmaceuticals, GPE: Austin",Advanced
617,Input sample: The orchestra performed a tribute to the late composer.|A tribute to the late composer was performed by the orchestra.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
618,"Case in point: The city council held a lengthy meeting to discuss the proposed transit expansion, hearing feedback from dozens of residents before ultimately postponing the vote until next month.",Text Summarization,Paragraph,City council postpones vote on transit expansion after resident feedback.,Intermediate
619,Here is a case to review: The orchestra performed a tribute to the late composer.|A tribute to the late composer was performed by the orchestra.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
620,Case in point: Draft a short welcome message for new employees.,Text Generation,Prompt,Welcome to the team; we're excited to have you join us on this journey.,Beginner
621,Review this input: The marathon route passes through five historic neighborhoods.|How many historic neighborhoods does the marathon route pass through?,Question Answering,Context + Question,five,Beginner
622,"Task input: Overall, the new laptop was standard based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
623,Reference text: Generate a short caption for a photo of a mountain sunrise.,Text Generation,Prompt,Golden light spills over the peaks as another day begins in the highlands.,Advanced
624,"As an example, Aisha Silva was appointed as the new director at Coastal Insurance Co..",Named Entity Recognition,Single Sentence,"PERSON: Aisha Silva, ORG: Coastal Insurance Co.",Intermediate
625,Here is a case to review: The nurse recorded the patient's [MASK] every hour.,Masked Language Modeling,Masked Sentence,temperature,Intermediate
626,Task input: Write a short introduction for a blog post about sustainable travel.,Text Generation,Prompt,Sustainable travel focuses on exploring the world while minimizing environmental impact.,Intermediate
627,See below: The comet will not be visible again for another seventy years.|When will the comet be visible again?,Question Answering,Context + Question,in another seventy years,Beginner
628,Here is a case to review: The company was founded by two engineers in a small garage.|Who founded the company?,Question Answering,Context + Question,two engineers,Beginner
629,"Task input: Overall, the software update was subpar based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
630,The striker scored twice in the second half of the match.,Text Classification,Single Sentence,Sports,Beginner
631,"For instance, The museum's newest exhibit focuses on ancient trade routes.|What does the museum's newest exhibit focus on?",Question Answering,Context + Question,ancient trade routes,Beginner
632,Review this input: The tech firm rolled out a privacy update giving users more control over how their data is shared with third-party advertisers.,Text Summarization,Paragraph,Tech firm gives users more control over data sharing with new update.,Intermediate
633,Nutritionists recommended simple changes to daily eating habits.,Text Classification,Single Sentence,Health,Advanced
634,Example: The train journey between the two cities takes about four hours.|How long does the train journey take?,Question Answering,Context + Question,about four hours,Beginner
635,Task input: The wearable device tracks sleep patterns and syncs with an app.,Text Classification,Single Sentence,Technology,Beginner
636,Here is a case to review: The teacher handed out the [MASK] at the start of class.,Masked Language Modeling,Masked Sentence,worksheet,Intermediate
637,Sample input: Tom Green was appointed as the new director at Lakeside Medical Center.,Named Entity Recognition,Single Sentence,"PERSON: Tom Green, ORG: Lakeside Medical Center",Intermediate
638,"For instance, The film studio confirmed that production on the long-awaited sequel will begin next spring, with much of the original cast expected to return for the project.",Text Summarization,Paragraph,Studio confirms sequel production will begin next spring.,Beginner
639,Here is a case to review: The striker scored twice in the second half of the match.,Text Classification,Single Sentence,Sports,Beginner
640,"As an example, The merger created one of the largest logistics providers in the region.",Text Classification,Single Sentence,Business,Intermediate
641,"Please review: Overall, the printer was average based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
642,"For instance, The bike-sharing program was launched to ease congestion.|The novelist postponed her sequel's release indefinitely.",Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
643,Please review: Nutritionists recommended simple changes to daily eating habits.,Text Classification,Single Sentence,Health,Advanced
644,Please review: Generate a short caption for a photo of an autumn forest trail.,Text Generation,Prompt,Crisp air and golden leaves make this trail impossible to resist in autumn.,Beginner
645,Input sample: Riverside Bank announced a new office opening in Helsinki.,Named Entity Recognition,Single Sentence,"ORG: Riverside Bank, GPE: Helsinki",Advanced
646,Task input: Continue the story: The archivist found a letter that had never been opened...,Text Generation,Prompt,...its wax seal was still intact after more than a century.,Beginner
647,"Please review: The scientists' research was widely criticized as flawed.|The scientists published groundbreaking, well-received research.",Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
648,Sample input: The streaming series became a global sensation within weeks.,Text Classification,Single Sentence,Entertainment,Intermediate
649,See below: Draft a short welcome message for new employees.,Text Generation,Prompt,Welcome to the team; we're excited to have you join us on this journey.,Beginner
650,Sample input: The pilot announced a delay because of the [MASK].,Masked Language Modeling,Masked Sentence,weather,Beginner
651,Input sample: The company reported strong quarterly earnings.|Quarterly earnings for the company were strong.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
652,"Example: Overall, the new laptop was disappointing based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
653,"Input sample: Overall, the printer was slow based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Advanced
654,Review this input: The company launched a new [MASK] to attract younger customers.,Masked Language Modeling,Masked Sentence,campaign,Intermediate
655,"Here is a case to review: Overall, the hotel stay was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
656,"For instance, The professor's research focuses on renewable energy storage.|What does the professor's research focus on?",Question Answering,Context + Question,renewable energy storage,Beginner
657,Mei Wilson was appointed as the new director at Vertex Analytics.,Named Entity Recognition,Single Sentence,"PERSON: Mei Wilson, ORG: Vertex Analytics",Intermediate
658,"For instance, The vaccine trial included over five thousand volunteers worldwide.|How many volunteers were included in the vaccine trial?",Question Answering,Context + Question,over five thousand,Intermediate
659,"For instance, Draft a short announcement about a community cleanup event.",Text Generation,Prompt,Join your neighbors this Saturday for a community cleanup event at the riverside park.,Advanced
660,Review this input: The train journey between the two cities takes about four hours.|How long does the train journey take?,Question Answering,Context + Question,about four hours,Beginner
661,Here is a case to review: Cedar Grove Hospital announced a new office opening in Warsaw.,Named Entity Recognition,Single Sentence,"ORG: Cedar Grove Hospital, GPE: Warsaw",Advanced
662,Example: The mechanic inspected the car's [MASK] before the road trip.,Masked Language Modeling,Masked Sentence,engine,Advanced
663,Sample input: Zainab Okafor was appointed as the new director at Zenith Pharmaceuticals.,Named Entity Recognition,Single Sentence,"PERSON: Zainab Okafor, ORG: Zenith Pharmaceuticals",Beginner
664,Task input: Golden Gate Retailers announced a new office opening in Cairo.,Named Entity Recognition,Single Sentence,"ORG: Golden Gate Retailers, GPE: Cairo",Intermediate
665,Case in point: Ahmed Lewis was appointed as the new director at Crescent Media Group.,Named Entity Recognition,Single Sentence,"PERSON: Ahmed Lewis, ORG: Crescent Media Group",Beginner
666,Review this input: Scientists discovered a new species in the rainforest canopy.,Text Classification,Single Sentence,Science,Intermediate
667,The company reported strong quarterly earnings.|Quarterly earnings for the company were strong.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
668,Task input: The athlete stretched carefully before the [MASK].,Masked Language Modeling,Masked Sentence,race,Beginner
669,Please review: The festival attracts more than fifty thousand visitors each year.|How many visitors does the festival attract each year?,Question Answering,Context + Question,more than fifty thousand,Beginner
670,Please review: Write a short pitch for a language-learning app.,Text Generation,Prompt,Learn a new language in minutes a day with lessons built around real conversations.,Intermediate
671,Union Manufacturing Corp. announced a new office opening in Toronto.,Named Entity Recognition,Single Sentence,"ORG: Union Manufacturing Corp., GPE: Toronto",Intermediate
672,Take the following text: The chef prepared a delicious meal.|The weather was sunny all week.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
673,Case in point: Write a short pitch for a new budgeting app.,Text Generation,Prompt,Take control of your spending with an app that makes budgeting simple and stress-free.,Beginner
674,Reference text: The company was founded by two engineers in a small garage.|Who founded the company?,Question Answering,Context + Question,two engineers,Beginner
675,Review this input: Summit Robotics Inc. announced a new office opening in Denver.,Named Entity Recognition,Single Sentence,"ORG: Summit Robotics Inc., GPE: Denver",Beginner
676,"For instance, The startup's app is available in over forty countries.|In how many countries is the startup's app available?",Question Answering,Context + Question,over forty,Intermediate
677,Note the following: The chef prepared a delicious meal.|The weather was sunny all week.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
678,The volunteers cleaned up litter along the riverbank.|Litter along the riverbank was cleared by volunteers.,Text Similarity,Sentence Pair,High similarity (paraphrase),Advanced
679,Example: Researchers published findings on the link between sleep and memory.,Text Classification,Single Sentence,Health,Beginner
680,Reference text: Sara Novak was appointed as the new director at Pioneer Research Institute.,Named Entity Recognition,Single Sentence,"PERSON: Sara Novak, ORG: Pioneer Research Institute",Intermediate
681,"Sample input: The hospital opened a new pediatric wing this week, funded largely through community donations, aiming to reduce wait times and improve care for young patients across the region.",Text Summarization,Paragraph,Hospital opens community-funded pediatric wing to improve care.,Beginner
682,"Review this input: Volunteers spent the weekend restoring a historic trail damaged by recent storms, clearing debris and repairing several washed-out sections.",Text Summarization,Paragraph,Volunteers restore storm-damaged historic trail over the weekend.,Intermediate
683,"The airline unveiled a redesigned cabin layout intended to improve passenger comfort on long-haul flights, including wider seats and more legroom.",Text Summarization,Paragraph,Airline redesigns cabin layout to improve long-haul passenger comfort.,Intermediate
684,Sample input: The company was founded by two engineers in a small garage.|Who founded the company?,Question Answering,Context + Question,two engineers,Beginner
685,"For instance, A local nonprofit distributed thousands of winter coats to families in need, relying entirely on community donations and volunteer coordination.",Text Summarization,Paragraph,Nonprofit distributes winter coats to families through community donations.,Intermediate
686,Review this input: Felix Moore was appointed as the new director at Oakwood Publishing House.,Named Entity Recognition,Single Sentence,"PERSON: Felix Moore, ORG: Oakwood Publishing House",Beginner
687,"For instance, The photographer waited for the perfect [MASK] to take the shot.",Masked Language Modeling,Masked Sentence,light,Beginner
688,Note the following: Continue the story: The scientist stared at the readings in disbelief because...,Text Generation,Prompt,...the numbers suggested something no experiment had ever recorded before.,Intermediate
689,Example: The company reduced its carbon emissions by thirty percent last year.|By how much did the company reduce its carbon emissions?,Question Answering,Context + Question,thirty percent,Intermediate
690,"Note the following: After years of research, scientists announced a new method for recycling plastic that uses significantly less energy than traditional processes, potentially transforming the recycling industry.",Text Summarization,Paragraph,Scientists develop energy-efficient plastic recycling method.,Advanced
691,Here is a case to review: The hikers reached the summit just before sunset.|The group of hikers made it to the top right before sunset.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
692,Task input: The hikers packed extra water before reaching the [MASK].,Masked Language Modeling,Masked Sentence,summit,Intermediate
693,Example: The hikers reached the summit just before sunset.|The group of hikers made it to the top right before sunset.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
694,"Consider the following: Overall, the mobile app was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
695,"For instance, The Eiffel Tower was completed in 1889 and stands in Paris.|What year was the Eiffel Tower completed?",Question Answering,Context + Question,1889,Advanced
696,Review this input: The engineer reviewed the blueprint before the [MASK].,Masked Language Modeling,Masked Sentence,construction,Beginner
697,Note the following: Skyline Real Estate announced a new office opening in Nairobi.,Named Entity Recognition,Single Sentence,"ORG: Skyline Real Estate, GPE: Nairobi",Intermediate
698,Reference text: Noah Rossi was appointed as the new director at NextGen Software Labs.,Named Entity Recognition,Single Sentence,"PERSON: Noah Rossi, ORG: NextGen Software Labs",Beginner
699,"For instance, The bridge took nearly six years to construct.|How long did the bridge take to construct?",Question Answering,Context + Question,nearly six years,Beginner
700,Here is a case to review: The tech firm rolled out a privacy update giving users more control over how their data is shared with third-party advertisers.,Text Summarization,Paragraph,Tech firm gives users more control over data sharing with new update.,Advanced
701,Please review: The wearable device tracks sleep patterns and syncs with an app.,Text Classification,Single Sentence,Technology,Advanced
702,"Review this input: Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Beginner
703,See below: The photographer waited for the perfect [MASK] to take the shot.,Masked Language Modeling,Masked Sentence,light,Intermediate
704,"Sample input: Overall, the online course was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
705,"See below: The airline unveiled a redesigned cabin layout intended to improve passenger comfort on long-haul flights, including wider seats and more legroom.",Text Summarization,Paragraph,Airline redesigns cabin layout to improve long-haul passenger comfort.,Beginner
706,Note the following: Lakeside Medical Center announced a new office opening in Copenhagen.,Named Entity Recognition,Single Sentence,"ORG: Lakeside Medical Center, GPE: Copenhagen",Advanced
707,The ancient ruins were discovered by a team of archaeologists in 1974.|Who discovered the ancient ruins?,Question Answering,Context + Question,a team of archaeologists,Beginner
708,"Sample input: Overall, the new laptop was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
709,"Here is a case to review: Overall, the fitness tracker was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
710,Note the following: Write an opening line for a memoir about growing up near the coast.,Text Generation,Prompt,"The ocean was the first sound I remember, and it never really left me.",Intermediate
711,"Here is a case to review: The city council held a lengthy meeting to discuss the proposed transit expansion, hearing feedback from dozens of residents before ultimately postponing the vote until next month.",Text Summarization,Paragraph,City council postpones vote on transit expansion after resident feedback.,Intermediate
712,Here is a case to review: Write an opening line for a memoir about growing up near the coast.,Text Generation,Prompt,"The ocean was the first sound I remember, and it never really left me.",Intermediate
713,Please review: The company reported quarterly earnings above analyst expectations.,Text Classification,Single Sentence,Business,Beginner
714,Here is a case to review: Aurora Data Systems announced a new office opening in Wellington.,Named Entity Recognition,Single Sentence,"ORG: Aurora Data Systems, GPE: Wellington",Advanced
715,"Take the following text: Overall, the restaurant was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
716,"For instance, Overall, the new laptop was subpar based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
717,Input sample: The tourists took photos of the historic [MASK].,Masked Language Modeling,Masked Sentence,landmark,Intermediate
718,"The scientists' research was widely criticized as flawed.|The scientists published groundbreaking, well-received research.",Text Similarity,Sentence Pair,Low similarity (contradiction),Advanced
719,Draft a short thank-you message for event volunteers.,Text Generation,Prompt,Thank you to every volunteer who made this year's event possible.,Intermediate
720,"Review this input: Overall, the online course was standard based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
721,"As an example, Volunteers spent the weekend restoring a historic trail damaged by recent storms, clearing debris and repairing several washed-out sections.",Text Summarization,Paragraph,Volunteers restore storm-damaged historic trail over the weekend.,Intermediate
722,Take the following text: The library was renovated using funds from a private donor.|How was the library's renovation funded?,Question Answering,Context + Question,funds from a private donor,Beginner
