id,text,sentiment,sentiment_score,emotion,category
658,This rental agency impressed everyone in our group; simply excellent.,Positive,0.69,Excited,Service Review
659,"I have to say, this documentary exceeded my expectations; it was truly wonderful.",Positive,1.0,Satisfied,Movie Review
660,We were thrilled with this blender — it felt delightful and well worth the money.,Positive,0.68,Satisfied,Product Review
661,"This documentary was standard overall, similar to most alternatives out there.",Neutral,0.06,Neutral,Movie Review
662,"The tech support line was typical overall, similar to most alternatives out there.",Neutral,0.14,Neutral,Service Review
663,It's hard to say much about the latest trend; it was simply typical.,Neutral,-0.03,Neutral,Social Media
664,I was really let down by the latest trend — it was overpriced compared to what was promised.,Negative,-0.9,Sad,Social Media
665,I was really let down by this laptop — it was underwhelming compared to what was promised.,Negative,-0.75,Fear,Product Review
666,This repair service left a lot to be desired; overall it felt poorly made.,Negative,-0.85,Disappointed,Service Review
667,This diner left a lot to be desired; overall it felt disappointing.,Negative,-0.81,Fear,Food Review
668,It's hard to say much about the new cafe; it was simply standard.,Neutral,0.1,Neutral,Food Review
669,"I have to say, the animated movie exceeded my expectations; it was truly top-notch.",Positive,0.74,Satisfied,Movie Review
670,"This meme was unremarkable overall, similar to most alternatives out there.",Neutral,0.11,Neutral,Social Media
671,"This rental agency was standard; nothing special, but nothing terrible either.",Neutral,0.06,Neutral,Service Review
672,The delivery service was a disappointment; the whole experience felt mediocre.,Negative,-0.57,Sad,Service Review
673,We were thrilled with the latest trend — it felt outstanding and well worth the money.,Positive,0.63,Satisfied,Social Media
674,The mountain lodge was a disappointment; the whole experience felt terrible.,Negative,-0.6,Sad,Travel Review
675,The latest trend left a lot to be desired; overall it felt poorly made.,Negative,-0.75,Disappointed,Social Media
676,"Honestly, this thread was top-notch from start to finish, no complaints at all.",Positive,0.94,Excited,Social Media
677,"This blender was reasonable overall, similar to most alternatives out there.",Neutral,0.04,Neutral,Product Review
678,"I have to say, this meme exceeded my expectations; it was truly wonderful.",Positive,0.99,Happy,Social Media
679,It's hard to say much about this textbook; it was simply ordinary.,Neutral,-0.13,Neutral,Education
680,"Honestly, the animated movie was impressive from start to finish, no complaints at all.",Positive,0.68,Happy,Movie Review
681,"I have to say, this restaurant exceeded my expectations; it was truly delightful.",Positive,0.85,Happy,Food Review
682,"The livestream was acceptable overall, similar to most alternatives out there.",Neutral,0.04,Neutral,Social Media
683,The smartwatch left a lot to be desired; overall it felt poorly made.,Negative,-0.72,Sad,Product Review
684,"I have to say, this thread exceeded my expectations; it was truly fantastic.",Positive,0.61,Happy,Social Media
685,"Unfortunately, the action film was overpriced, and I regret spending money on it.",Negative,-0.96,Angry,Movie Review
686,This food truck left a lot to be desired; overall it felt poorly made.,Negative,-0.67,Sad,Food Review
687,"This meme was unremarkable; nothing special, but nothing terrible either.",Neutral,-0.14,Neutral,Social Media
688,"This backpack turned out to be outstanding, and I would recommend it to anyone.",Positive,0.96,Happy,Product Review
689,"This drama turned out to be fantastic, and I would recommend it to anyone.",Positive,0.83,Happy,Movie Review
690,"I have to say, this backpack exceeded my expectations; it was truly wonderful.",Positive,0.95,Excited,Product Review
691,We were thrilled with the tech support line — it felt outstanding and well worth the money.,Positive,0.84,Satisfied,Service Review
692,This water bottle met the basic expectations and was generally acceptable.,Neutral,-0.05,Neutral,Product Review
693,"I have to say, the tech support line exceeded my expectations; it was truly top-notch.",Positive,0.68,Excited,Service Review
694,I was really let down by this hotel — it was mediocre compared to what was promised.,Negative,-0.68,Disappointed,Travel Review
695,The training program was a disappointment; the whole experience felt mediocre.,Negative,-0.68,Angry,Education
696,The customer support team impressed everyone in our group; simply top-notch.,Positive,0.97,Satisfied,Service Review
697,"Honestly, this water bottle was wonderful from start to finish, no complaints at all.",Positive,0.97,Satisfied,Product Review
698,The app redesign impressed everyone in our group; simply fantastic.,Positive,0.74,Happy,Social Media
699,"The new update was okay; nothing special, but nothing terrible either.",Neutral,0.06,Neutral,Social Media
700,We were thrilled with the city tour — it felt excellent and well worth the money.,Positive,0.9,Happy,Travel Review
701,I'd describe this drama as ordinary — it did the job without standing out.,Neutral,0.04,Neutral,Movie Review
702,"I have to say, this consulting firm exceeded my expectations; it was truly impressive.",Positive,0.69,Excited,Service Review
703,"The action film was unremarkable; nothing special, but nothing terrible either.",Neutral,0.15,Neutral,Movie Review
704,It's hard to say much about this repair service; it was simply ordinary.,Neutral,-0.01,Neutral,Service Review
705,This thread left a lot to be desired; overall it felt awful.,Negative,-0.95,Fear,Social Media
706,We were thrilled with this documentary — it felt impressive and well worth the money.,Positive,0.92,Satisfied,Movie Review
707,"This textbook was acceptable; nothing special, but nothing terrible either.",Neutral,0.14,Neutral,Education
708,"This consulting firm turned out to be wonderful, and I would recommend it to anyone.",Positive,0.88,Satisfied,Service Review
709,The city tour left a lot to be desired; overall it felt disappointing.,Negative,-0.75,Disappointed,Travel Review
710,"The customer support team turned out to be exceptional, and I would recommend it to anyone.",Positive,0.71,Happy,Service Review
711,"This food truck turned out to be exceptional, and I would recommend it to anyone.",Positive,0.85,Satisfied,Food Review
712,This post was a disappointment; the whole experience felt overpriced.,Negative,-0.7,Sad,Social Media
713,"Unfortunately, this blender was underwhelming, and I regret spending money on it.",Negative,-0.83,Sad,Product Review
714,The dessert menu was a disappointment; the whole experience felt overpriced.,Negative,-0.69,Fear,Food Review
715,"Sadly, this video turned out to be mediocre, and I wouldn't try it again.",Negative,-0.73,Fear,Social Media
716,"This cleaning company turned out to be exceptional, and I would recommend it to anyone.",Positive,0.76,Excited,Service Review
717,"I have to say, the new update exceeded my expectations; it was truly outstanding.",Positive,0.8,Excited,Social Media
718,I was really let down by this backpack — it was mediocre compared to what was promised.,Negative,-0.79,Disappointed,Product Review
719,I was really let down by this cruise — it was poorly made compared to what was promised.,Negative,-0.56,Sad,Travel Review
720,"I have to say, this thread exceeded my expectations; it was truly outstanding.",Positive,0.75,Happy,Social Media
721,This hotel was a disappointment; the whole experience felt overpriced.,Negative,-0.91,Fear,Travel Review
722,The sushi platter met the basic expectations and was generally acceptable.,Neutral,-0.12,Neutral,Food Review
723,"Honestly, this hotel was exceptional from start to finish, no complaints at all.",Positive,0.85,Excited,Travel Review
724,I was really let down by the romantic comedy — it was underwhelming compared to what was promised.,Negative,-0.62,Fear,Movie Review
725,This textbook left a lot to be desired; overall it felt overpriced.,Negative,-0.86,Fear,Education
726,"Honestly, this meme was outstanding from start to finish, no complaints at all.",Positive,0.85,Satisfied,Social Media
727,"This diner was okay; nothing special, but nothing terrible either.",Neutral,-0.11,Neutral,Food Review
728,The wireless headphones impressed everyone in our group; simply exceptional.,Positive,0.9,Happy,Product Review
729,The moving company was a disappointment; the whole experience felt subpar.,Negative,-0.7,Sad,Service Review
730,I was really let down by this thread — it was overpriced compared to what was promised.,Negative,-0.66,Sad,Social Media
731,"Honestly, the pasta dish was outstanding from start to finish, no complaints at all.",Positive,0.87,Excited,Food Review
732,It's hard to say much about this film; it was simply average.,Neutral,-0.03,Neutral,Movie Review
733,This textbook met the basic expectations and was generally average.,Neutral,0.15,Neutral,Education
734,"I have to say, this meme exceeded my expectations; it was truly impressive.",Positive,0.69,Excited,Social Media
735,"The romantic comedy turned out to be exceptional, and I would recommend it to anyone.",Positive,0.63,Happy,Movie Review
736,We were thrilled with this restaurant — it felt impressive and well worth the money.,Positive,0.89,Excited,Food Review
737,"Unfortunately, this documentary was frustrating, and I regret spending money on it.",Negative,-0.61,Fear,Movie Review
738,The vacuum cleaner left a lot to be desired; overall it felt subpar.,Negative,-0.65,Sad,Product Review
739,The beach destination left a lot to be desired; overall it felt disappointing.,Negative,-0.84,Fear,Travel Review
740,"The office chair was ordinary; nothing special, but nothing terrible either.",Neutral,-0.01,Neutral,Product Review
741,I was really let down by the smartwatch — it was terrible compared to what was promised.,Negative,-0.58,Fear,Product Review
742,This cruise impressed everyone in our group; simply amazing.,Positive,0.72,Happy,Travel Review
743,"Sadly, the action film turned out to be terrible, and I wouldn't try it again.",Negative,-0.81,Fear,Movie Review
744,"The livestream was acceptable; nothing special, but nothing terrible either.",Neutral,-0.08,Neutral,Social Media
745,We were thrilled with this workshop — it felt superb and well worth the money.,Positive,0.7,Satisfied,Education
746,The smartwatch impressed everyone in our group; simply delightful.,Positive,0.77,Excited,Product Review
747,"Unfortunately, the wireless headphones was underwhelming, and I regret spending money on it.",Negative,-1.0,Disappointed,Product Review
748,The pasta dish was a disappointment; the whole experience felt subpar.,Negative,-0.63,Angry,Food Review
749,"The online lecture turned out to be excellent, and I would recommend it to anyone.",Positive,0.67,Excited,Education
750,"Sadly, this hotel turned out to be subpar, and I wouldn't try it again.",Negative,-0.88,Fear,Travel Review
751,"This hostel turned out to be superb, and I would recommend it to anyone.",Positive,0.65,Satisfied,Travel Review
752,This cleaning company left a lot to be desired; overall it felt underwhelming.,Negative,-0.94,Sad,Service Review
753,The smartwatch was a disappointment; the whole experience felt frustrating.,Negative,-0.78,Sad,Product Review
754,"The training program was okay overall, similar to most alternatives out there.",Neutral,0.01,Neutral,Education
755,This blender was a disappointment; the whole experience felt unreliable.,Negative,-0.99,Sad,Product Review
756,It's hard to say much about the new cafe; it was simply unremarkable.,Neutral,-0.08,Neutral,Food Review
757,"This meme was typical overall, similar to most alternatives out there.",Neutral,-0.13,Neutral,Social Media
758,I'd describe this workshop as unremarkable — it did the job without standing out.,Neutral,0.06,Neutral,Education
759,"Sadly, the tutoring session turned out to be subpar, and I wouldn't try it again.",Negative,-0.79,Angry,Education
760,"The tech support line turned out to be delightful, and I would recommend it to anyone.",Positive,0.85,Satisfied,Service Review
761,The mountain lodge impressed everyone in our group; simply outstanding.,Positive,0.7,Excited,Travel Review
762,"The vacuum cleaner was adequate; nothing special, but nothing terrible either.",Neutral,0.09,Neutral,Product Review
763,"The new sequel turned out to be impressive, and I would recommend it to anyone.",Positive,0.9,Satisfied,Movie Review
764,"Honestly, the training program was amazing from start to finish, no complaints at all.",Positive,0.79,Happy,Education
765,This course left a lot to be desired; overall it felt underwhelming.,Negative,-0.95,Sad,Education
766,"The online lecture turned out to be superb, and I would recommend it to anyone.",Positive,0.99,Happy,Education
767,"Unfortunately, this cruise was awful, and I regret spending money on it.",Negative,-0.89,Sad,Travel Review
768,This documentary left a lot to be desired; overall it felt subpar.,Negative,-0.9,Angry,Movie Review
769,It's hard to say much about the resort; it was simply okay.,Neutral,0.14,Neutral,Travel Review
770,"The dessert menu was unremarkable overall, similar to most alternatives out there.",Neutral,-0.09,Neutral,Food Review
771,The smartwatch met the basic expectations and was generally okay.,Neutral,-0.06,Neutral,Product Review
772,It's hard to say much about the resort; it was simply unremarkable.,Neutral,-0.05,Neutral,Travel Review
773,"The tech support line was adequate; nothing special, but nothing terrible either.",Neutral,-0.12,Neutral,Service Review
774,"Sadly, the new update turned out to be unreliable, and I wouldn't try it again.",Negative,-0.77,Fear,Social Media
775,"I have to say, this thread exceeded my expectations; it was truly amazing.",Positive,0.76,Excited,Social Media
776,"The livestream was reasonable overall, similar to most alternatives out there.",Neutral,-0.05,Neutral,Social Media
777,This cleaning company left a lot to be desired; overall it felt awful.,Negative,-0.63,Disappointed,Service Review
778,This laptop impressed everyone in our group; simply fantastic.,Positive,0.77,Satisfied,Product Review
779,We were thrilled with the tutoring session — it felt delightful and well worth the money.,Positive,0.85,Satisfied,Education
780,We were thrilled with the new cafe — it felt excellent and well worth the money.,Positive,0.68,Happy,Food Review
781,"Sadly, this documentary turned out to be underwhelming, and I wouldn't try it again.",Negative,-0.61,Sad,Movie Review
782,The action film impressed everyone in our group; simply wonderful.,Positive,0.81,Satisfied,Movie Review
783,"Honestly, the office chair was top-notch from start to finish, no complaints at all.",Positive,0.76,Happy,Product Review
784,This repair service met the basic expectations and was generally acceptable.,Neutral,0.06,Neutral,Service Review
785,The new update was a disappointment; the whole experience felt subpar.,Negative,-0.75,Sad,Social Media
786,The tutoring session met the basic expectations and was generally okay.,Neutral,0.08,Neutral,Education
787,The animated movie met the basic expectations and was generally typical.,Neutral,-0.03,Neutral,Movie Review
788,This cleaning company left a lot to be desired; overall it felt mediocre.,Negative,-0.8,Sad,Service Review
789,I was really let down by the delivery service — it was subpar compared to what was promised.,Negative,-0.71,Disappointed,Service Review
790,"The vacuum cleaner turned out to be impressive, and I would recommend it to anyone.",Positive,1.0,Satisfied,Product Review
791,"Honestly, this bakery was wonderful from start to finish, no complaints at all.",Positive,0.7,Excited,Food Review
792,"Honestly, this tour package was excellent from start to finish, no complaints at all.",Positive,0.86,Happy,Travel Review
793,This cruise left a lot to be desired; overall it felt subpar.,Negative,-0.68,Angry,Travel Review
794,The app redesign impressed everyone in our group; simply top-notch.,Positive,0.99,Excited,Social Media
795,"I have to say, this restaurant exceeded my expectations; it was truly top-notch.",Positive,0.7,Satisfied,Food Review
796,We were thrilled with the moving company — it felt outstanding and well worth the money.,Positive,0.95,Satisfied,Service Review
797,"I have to say, the customer support team exceeded my expectations; it was truly excellent.",Positive,0.91,Satisfied,Service Review
798,"The action film turned out to be excellent, and I would recommend it to anyone.",Positive,0.93,Happy,Movie Review
799,It's hard to say much about this drama; it was simply acceptable.,Neutral,-0.01,Neutral,Movie Review
800,This cleaning company left a lot to be desired; overall it felt subpar.,Negative,-0.62,Fear,Service Review
801,The mountain lodge left a lot to be desired; overall it felt terrible.,Negative,-0.99,Disappointed,Travel Review
802,This documentary impressed everyone in our group; simply excellent.,Positive,0.84,Excited,Movie Review
803,"The new sequel turned out to be wonderful, and I would recommend it to anyone.",Positive,0.73,Satisfied,Movie Review
804,We were thrilled with this consulting firm — it felt wonderful and well worth the money.,Positive,0.74,Satisfied,Service Review
805,I was really let down by this cruise — it was overpriced compared to what was promised.,Negative,-0.85,Angry,Travel Review
806,"I have to say, this diner exceeded my expectations; it was truly excellent.",Positive,0.67,Happy,Food Review
807,I was really let down by the mountain lodge — it was poorly made compared to what was promised.,Negative,-0.74,Sad,Travel Review
808,The animated movie left a lot to be desired; overall it felt frustrating.,Negative,-0.63,Fear,Movie Review
809,The tech support line left a lot to be desired; overall it felt frustrating.,Negative,-0.62,Disappointed,Service Review
810,I was really let down by the beach destination — it was underwhelming compared to what was promised.,Negative,-0.82,Disappointed,Travel Review
811,This textbook impressed everyone in our group; simply delightful.,Positive,0.94,Happy,Education
812,This drama left a lot to be desired; overall it felt underwhelming.,Negative,-0.9,Fear,Movie Review
813,"Honestly, the smartwatch was outstanding from start to finish, no complaints at all.",Positive,0.92,Excited,Product Review
814,This water bottle met the basic expectations and was generally typical.,Neutral,-0.07,Neutral,Product Review
815,"I have to say, the moving company exceeded my expectations; it was truly wonderful.",Positive,0.98,Excited,Service Review
816,The study guide was a disappointment; the whole experience felt disappointing.,Negative,-0.71,Angry,Education
817,It's hard to say much about the wireless headphones; it was simply fine.,Neutral,-0.1,Neutral,Product Review
818,The delivery service left a lot to be desired; overall it felt poorly made.,Negative,-0.95,Disappointed,Service Review
819,"This hostel was adequate; nothing special, but nothing terrible either.",Neutral,-0.11,Neutral,Travel Review
820,"Sadly, the dessert menu turned out to be poorly made, and I wouldn't try it again.",Negative,-0.87,Sad,Food Review
821,"Sadly, the wireless headphones turned out to be subpar, and I wouldn't try it again.",Negative,-0.59,Disappointed,Product Review
822,We were thrilled with this food truck — it felt wonderful and well worth the money.,Positive,0.7,Satisfied,Food Review
823,"Unfortunately, this water bottle was underwhelming, and I regret spending money on it.",Negative,-0.56,Fear,Product Review
824,This thriller was a disappointment; the whole experience felt mediocre.,Negative,-0.7,Sad,Movie Review
825,"Sadly, this documentary turned out to be subpar, and I wouldn't try it again.",Negative,-0.75,Disappointed,Movie Review
826,"Unfortunately, this blender was unreliable, and I regret spending money on it.",Negative,-0.89,Sad,Product Review
827,The online lecture was a disappointment; the whole experience felt overpriced.,Negative,-0.64,Fear,Education
828,I was really let down by this certification — it was unreliable compared to what was promised.,Negative,-0.61,Disappointed,Education
829,"Unfortunately, this restaurant was disappointing, and I regret spending money on it.",Negative,-0.73,Fear,Food Review
830,"I have to say, the moving company exceeded my expectations; it was truly excellent.",Positive,0.67,Excited,Service Review
831,"Sadly, this laptop turned out to be poorly made, and I wouldn't try it again.",Negative,-0.77,Sad,Product Review
832,I'd describe the animated movie as adequate — it did the job without standing out.,Neutral,-0.14,Neutral,Movie Review
833,The dessert menu impressed everyone in our group; simply outstanding.,Positive,0.63,Satisfied,Food Review
834,"I have to say, this meme exceeded my expectations; it was truly fantastic.",Positive,0.87,Excited,Social Media
835,I'd describe this repair service as ordinary — it did the job without standing out.,Neutral,0.12,Neutral,Service Review
836,The vacuum cleaner impressed everyone in our group; simply fantastic.,Positive,0.61,Excited,Product Review
837,"The study guide was typical overall, similar to most alternatives out there.",Neutral,-0.13,Neutral,Education
838,"Unfortunately, the latest trend was awful, and I regret spending money on it.",Negative,-0.66,Fear,Social Media
839,"Unfortunately, this thriller was unreliable, and I regret spending money on it.",Negative,-0.59,Disappointed,Movie Review
840,"Unfortunately, the animated movie was subpar, and I regret spending money on it.",Negative,-0.99,Angry,Movie Review
841,"Unfortunately, this backpack was overpriced, and I regret spending money on it.",Negative,-0.63,Disappointed,Product Review
842,This drama left a lot to be desired; overall it felt terrible.,Negative,-1.0,Disappointed,Movie Review
843,"This diner was typical; nothing special, but nothing terrible either.",Neutral,0.12,Neutral,Food Review
844,"Unfortunately, this consulting firm was disappointing, and I regret spending money on it.",Negative,-0.57,Fear,Service Review
845,This post was a disappointment; the whole experience felt awful.,Negative,-0.98,Sad,Social Media
846,"Honestly, this cruise was superb from start to finish, no complaints at all.",Positive,0.61,Happy,Travel Review
847,This textbook left a lot to be desired; overall it felt disappointing.,Negative,-0.83,Angry,Education
848,I'd describe the city tour as adequate — it did the job without standing out.,Neutral,0.03,Neutral,Travel Review
849,"I have to say, this water bottle exceeded my expectations; it was truly wonderful.",Positive,0.89,Excited,Product Review
850,"I have to say, this restaurant exceeded my expectations; it was truly fantastic.",Positive,0.98,Happy,Food Review
851,I'd describe the new cafe as acceptable — it did the job without standing out.,Neutral,0.07,Neutral,Food Review
852,"I have to say, this bakery exceeded my expectations; it was truly superb.",Positive,0.69,Happy,Food Review
853,"Unfortunately, the app redesign was awful, and I regret spending money on it.",Negative,-0.88,Sad,Social Media
854,I was really let down by this hotel — it was awful compared to what was promised.,Negative,-0.61,Sad,Travel Review
855,We were thrilled with the mountain lodge — it felt wonderful and well worth the money.,Positive,0.67,Satisfied,Travel Review
856,"Sadly, this restaurant turned out to be subpar, and I wouldn't try it again.",Negative,-0.98,Angry,Food Review
857,The latest trend was a disappointment; the whole experience felt terrible.,Negative,-0.7,Angry,Social Media
858,"Honestly, this thread was exceptional from start to finish, no complaints at all.",Positive,0.72,Excited,Social Media
859,I'd describe this water bottle as typical — it did the job without standing out.,Neutral,-0.04,Neutral,Product Review
860,"I have to say, the study guide exceeded my expectations; it was truly superb.",Positive,0.71,Satisfied,Education
861,"The office chair was unremarkable overall, similar to most alternatives out there.",Neutral,-0.08,Neutral,Product Review
862,I was really let down by this documentary — it was frustrating compared to what was promised.,Negative,-0.66,Sad,Movie Review
863,It's hard to say much about this documentary; it was simply adequate.,Neutral,0.15,Neutral,Movie Review
864,I'd describe this cleaning company as average — it did the job without standing out.,Neutral,-0.15,Neutral,Service Review
865,"The livestream turned out to be exceptional, and I would recommend it to anyone.",Positive,0.99,Happy,Social Media
866,"This hotel turned out to be exceptional, and I would recommend it to anyone.",Positive,0.87,Excited,Travel Review
867,"This cruise turned out to be top-notch, and I would recommend it to anyone.",Positive,0.83,Happy,Travel Review
868,I was really let down by the customer support team — it was subpar compared to what was promised.,Negative,-0.77,Fear,Service Review
869,We were thrilled with this drama — it felt impressive and well worth the money.,Positive,0.8,Satisfied,Movie Review
870,"I have to say, the sushi platter exceeded my expectations; it was truly superb.",Positive,0.8,Satisfied,Food Review
871,The vacuum cleaner was a disappointment; the whole experience felt poorly made.,Negative,-0.94,Angry,Product Review
872,This certification met the basic expectations and was generally reasonable.,Neutral,0.02,Neutral,Education
873,The animated movie impressed everyone in our group; simply exceptional.,Positive,0.83,Excited,Movie Review
874,I was really let down by the office chair — it was mediocre compared to what was promised.,Negative,-0.58,Angry,Product Review
875,I'd describe the delivery service as standard — it did the job without standing out.,Neutral,0.03,Neutral,Service Review
876,This documentary impressed everyone in our group; simply outstanding.,Positive,0.72,Excited,Movie Review
877,"The new cafe was acceptable; nothing special, but nothing terrible either.",Neutral,-0.08,Neutral,Food Review
878,I was really let down by the pasta dish — it was unreliable compared to what was promised.,Negative,-0.58,Disappointed,Food Review
879,"Honestly, the app redesign was top-notch from start to finish, no complaints at all.",Positive,0.99,Satisfied,Social Media
880,The smartwatch impressed everyone in our group; simply amazing.,Positive,0.63,Excited,Product Review
881,The action film left a lot to be desired; overall it felt disappointing.,Negative,-0.59,Sad,Movie Review
882,"This food truck turned out to be excellent, and I would recommend it to anyone.",Positive,0.98,Satisfied,Food Review
883,This meme left a lot to be desired; overall it felt overpriced.,Negative,-0.78,Disappointed,Social Media
884,The beach destination met the basic expectations and was generally okay.,Neutral,0.12,Neutral,Travel Review
885,I'd describe this drama as unremarkable — it did the job without standing out.,Neutral,0.08,Neutral,Movie Review
886,"I have to say, this drama exceeded my expectations; it was truly fantastic.",Positive,0.9,Satisfied,Movie Review
887,"Unfortunately, the smartwatch was frustrating, and I regret spending money on it.",Negative,-0.77,Fear,Product Review
888,This laptop left a lot to be desired; overall it felt mediocre.,Negative,-0.69,Sad,Product Review
889,"Honestly, this film was wonderful from start to finish, no complaints at all.",Positive,0.69,Excited,Movie Review
890,The action film impressed everyone in our group; simply outstanding.,Positive,0.99,Satisfied,Movie Review
891,The beach destination was a disappointment; the whole experience felt subpar.,Negative,-0.76,Sad,Travel Review
892,I was really let down by this documentary — it was unreliable compared to what was promised.,Negative,-0.57,Angry,Movie Review
893,I was really let down by this course — it was mediocre compared to what was promised.,Negative,-0.75,Disappointed,Education
894,The moving company impressed everyone in our group; simply excellent.,Positive,0.93,Satisfied,Service Review
895,"The resort was ordinary; nothing special, but nothing terrible either.",Neutral,-0.1,Neutral,Travel Review
896,It's hard to say much about the animated movie; it was simply typical.,Neutral,-0.13,Neutral,Movie Review
897,"This meme turned out to be amazing, and I would recommend it to anyone.",Positive,0.61,Satisfied,Social Media
898,"I have to say, the resort exceeded my expectations; it was truly excellent.",Positive,0.86,Excited,Travel Review
899,The sushi platter impressed everyone in our group; simply exceptional.,Positive,0.98,Satisfied,Food Review
900,The wireless headphones impressed everyone in our group; simply amazing.,Positive,0.86,Happy,Product Review
901,We were thrilled with this food truck — it felt exceptional and well worth the money.,Positive,0.62,Excited,Food Review
902,I'd describe this laptop as fine — it did the job without standing out.,Neutral,-0.07,Neutral,Product Review
903,I'd describe this food truck as unremarkable — it did the job without standing out.,Neutral,0.06,Neutral,Food Review
904,"Sadly, this hostel turned out to be terrible, and I wouldn't try it again.",Negative,-0.93,Angry,Travel Review
905,It's hard to say much about the online lecture; it was simply unremarkable.,Neutral,0.09,Neutral,Education
906,This textbook impressed everyone in our group; simply wonderful.,Positive,0.68,Excited,Education
907,The latest trend was a disappointment; the whole experience felt underwhelming.,Negative,-0.84,Disappointed,Social Media
908,The app redesign met the basic expectations and was generally fine.,Neutral,0.03,Neutral,Social Media
909,We were thrilled with the delivery service — it felt amazing and well worth the money.,Positive,0.87,Excited,Service Review
910,We were thrilled with this thread — it felt exceptional and well worth the money.,Positive,0.94,Satisfied,Social Media
911,The app redesign left a lot to be desired; overall it felt overpriced.,Negative,-0.57,Fear,Social Media
912,"The vacuum cleaner was okay overall, similar to most alternatives out there.",Neutral,-0.02,Neutral,Product Review
913,The study guide left a lot to be desired; overall it felt subpar.,Negative,-0.98,Fear,Education
914,"Honestly, the animated movie was wonderful from start to finish, no complaints at all.",Positive,0.98,Satisfied,Movie Review
915,This film was a disappointment; the whole experience felt underwhelming.,Negative,-0.76,Disappointed,Movie Review
916,"Sadly, the action film turned out to be disappointing, and I wouldn't try it again.",Negative,-0.99,Angry,Movie Review
917,We were thrilled with the training program — it felt outstanding and well worth the money.,Positive,0.96,Excited,Education
918,"This textbook was okay overall, similar to most alternatives out there.",Neutral,-0.06,Neutral,Education
919,The dessert menu impressed everyone in our group; simply impressive.,Positive,0.65,Excited,Food Review
920,"Unfortunately, the pasta dish was unreliable, and I regret spending money on it.",Negative,-0.91,Disappointed,Food Review
921,"I have to say, this documentary exceeded my expectations; it was truly outstanding.",Positive,0.96,Happy,Movie Review
922,"This course turned out to be excellent, and I would recommend it to anyone.",Positive,0.62,Excited,Education
923,We were thrilled with this cleaning company — it felt fantastic and well worth the money.,Positive,0.9,Satisfied,Service Review
924,The tutoring session met the basic expectations and was generally unremarkable.,Neutral,0.0,Neutral,Education
925,"Unfortunately, the sushi platter was awful, and I regret spending money on it.",Negative,-0.94,Angry,Food Review
926,"Honestly, the app redesign was fantastic from start to finish, no complaints at all.",Positive,0.63,Satisfied,Social Media
927,The city tour was a disappointment; the whole experience felt disappointing.,Negative,-0.73,Fear,Travel Review
928,"This consulting firm was reasonable; nothing special, but nothing terrible either.",Neutral,0.14,Neutral,Service Review
929,"Unfortunately, the resort was underwhelming, and I regret spending money on it.",Negative,-0.64,Fear,Travel Review
930,The moving company impressed everyone in our group; simply delightful.,Positive,0.93,Happy,Service Review
931,I was really let down by this rental agency — it was poorly made compared to what was promised.,Negative,-0.92,Angry,Service Review
932,"I have to say, the city tour exceeded my expectations; it was truly impressive.",Positive,0.87,Satisfied,Travel Review
933,"This meme turned out to be exceptional, and I would recommend it to anyone.",Positive,0.65,Satisfied,Social Media
934,I'd describe this hotel as average — it did the job without standing out.,Neutral,0.07,Neutral,Travel Review
935,"I have to say, this cleaning company exceeded my expectations; it was truly amazing.",Positive,0.84,Excited,Service Review
936,It's hard to say much about this cleaning company; it was simply unremarkable.,Neutral,0.14,Neutral,Service Review
937,"Honestly, the wireless headphones was outstanding from start to finish, no complaints at all.",Positive,0.97,Excited,Product Review
938,We were thrilled with the new update — it felt top-notch and well worth the money.,Positive,0.64,Happy,Social Media
939,"The training program was typical; nothing special, but nothing terrible either.",Neutral,-0.12,Neutral,Education
940,"This documentary turned out to be wonderful, and I would recommend it to anyone.",Positive,0.78,Happy,Movie Review
941,"The action film was typical overall, similar to most alternatives out there.",Neutral,0.01,Neutral,Movie Review
942,The city tour left a lot to be desired; overall it felt mediocre.,Negative,-0.8,Angry,Travel Review
943,"The smartwatch was acceptable; nothing special, but nothing terrible either.",Neutral,-0.07,Neutral,Product Review
944,"Honestly, this food truck was wonderful from start to finish, no complaints at all.",Positive,0.77,Excited,Food Review
945,This course impressed everyone in our group; simply outstanding.,Positive,0.92,Satisfied,Education
946,I was really let down by the animated movie — it was poorly made compared to what was promised.,Negative,-0.59,Sad,Movie Review
947,"Honestly, this repair service was impressive from start to finish, no complaints at all.",Positive,0.61,Satisfied,Service Review
948,"Unfortunately, the animated movie was overpriced, and I regret spending money on it.",Negative,-0.74,Disappointed,Movie Review
949,"This water bottle turned out to be fantastic, and I would recommend it to anyone.",Positive,0.7,Happy,Product Review
950,This blender impressed everyone in our group; simply exceptional.,Positive,0.7,Satisfied,Product Review
951,I was really let down by this diner — it was disappointing compared to what was promised.,Negative,-0.91,Fear,Food Review
952,The city tour met the basic expectations and was generally unremarkable.,Neutral,0.12,Neutral,Travel Review
953,I was really let down by this drama — it was subpar compared to what was promised.,Negative,-0.84,Fear,Movie Review
954,"Honestly, the delivery service was excellent from start to finish, no complaints at all.",Positive,0.91,Excited,Service Review
955,I was really let down by the action film — it was awful compared to what was promised.,Negative,-0.57,Sad,Movie Review
956,The latest trend was a disappointment; the whole experience felt unreliable.,Negative,-0.77,Fear,Social Media
957,"Unfortunately, this backpack was subpar, and I regret spending money on it.",Negative,-0.69,Disappointed,Product Review
