id,text,entities,entity_types,person,organization,location,date,money,product
226,"Harborview College announced that James Larsen will lead the new office in Austin starting August 19, 2019.","James Larsen; Harborview College; Austin; August 19, 2019",PERSON; ORG; GPE; DATE,James Larsen,Harborview College,Austin,"August 19, 2019",,
227,Ethan Brown traveled from Berlin to Amsterdam to negotiate a deal worth $45.50 with Quantum Innovations.,Ethan Brown; Quantum Innovations; Amsterdam; Berlin; $45.50,PERSON; ORG; GPE; GPE; MONEY,Ethan Brown,Quantum Innovations,"Amsterdam, Berlin",,$45.50,
228,"NextGen Software Labs announced that Jack Wright will lead the new office in Santiago starting March 17, 2015.","Jack Wright; NextGen Software Labs; Santiago; March 17, 2015",PERSON; ORG; GPE; DATE,Jack Wright,NextGen Software Labs,Santiago,"March 17, 2015",,
229,"The board at BrightFuture Foundation approved a $1,200 investment in Mumbai after Amara Rossi's presentation on December 1, 2020.","Amara Rossi; BrightFuture Foundation; Mumbai; December 1, 2020; $1,200",PERSON; ORG; GPE; DATE; MONEY,Amara Rossi,BrightFuture Foundation,Mumbai,"December 1, 2020","$1,200",
230,Omar Walker traveled from Warsaw to Copenhagen to negotiate a deal worth $24.50 with Meridian Financial Group.,Omar Walker; Meridian Financial Group; Copenhagen; Warsaw; $24.50,PERSON; ORG; GPE; GPE; MONEY,Omar Walker,Meridian Financial Group,"Copenhagen, Warsaw",,$24.50,
231,"Mark Lewis, a spokesperson for Crescent Media Group, confirmed the release of the CloudDesk chair for $120 on November 27, 2022.","Mark Lewis; Crescent Media Group; November 27, 2022; $120; the CloudDesk chair",PERSON; ORG; DATE; MONEY; PRODUCT,Mark Lewis,Crescent Media Group,,"November 27, 2022",$120,CloudDesk chair
232,"Coastal Insurance Co. partnered with a university in Cairo to research a SnapShot camera technology, David Wright reported.",David Wright; Coastal Insurance Co.; Cairo; a SnapShot camera,PERSON; ORG; GPE; PRODUCT,David Wright,Coastal Insurance Co.,Cairo,,,SnapShot camera
233,"During the conference in Buenos Aires, George Wright from Zenith Pharmaceuticals unveiled the FlexFit yoga mat priced at $99.",George Wright; Zenith Pharmaceuticals; Buenos Aires; $99; the FlexFit yoga mat,PERSON; ORG; GPE; MONEY; PRODUCT,George Wright,Zenith Pharmaceuticals,Buenos Aires,,$99,FlexFit yogmat
234,"Carlos Clark, a spokesperson for NextGen Software Labs, confirmed the release of a StreamCast speaker for $120 on May 2, 2017.","Carlos Clark; NextGen Software Labs; May 2, 2017; $120; a StreamCast speaker",PERSON; ORG; DATE; MONEY; PRODUCT,Carlos Clark,NextGen Software Labs,,"May 2, 2017",$120,StreamCast speaker
235,"On March 28, 2017, Brightline Technologies opened a new branch in Austin, the Philippines, appointing Chen Smith as director.","Chen Smith; Brightline Technologies; Austin; the Philippines; March 28, 2017",PERSON; ORG; GPE; GPE; DATE,Chen Smith,Brightline Technologies,"Austin, the Philippines","March 28, 2017",,
236,"Isabella Silva, a spokesperson for Aurora Data Systems, confirmed the release of a SoundWave headset for $45.50 on September 2, 2020.","Isabella Silva; Aurora Data Systems; September 2, 2020; $45.50; a SoundWave headset",PERSON; ORG; DATE; MONEY; PRODUCT,Isabella Silva,Aurora Data Systems,,"September 2, 2020",$45.50,SoundWave headset
237,"On June 2, 2021, Maple Street School District opened a new branch in Melbourne, Argentina, appointing Nina Osei as director.","Nina Osei; Maple Street School District; Argentina; Melbourne; June 2, 2021",PERSON; ORG; GPE; GPE; DATE,Nina Osei,Maple Street School District,"Argentina, Melbourne","June 2, 2021",,
238,"Samuel Walker, a spokesperson for Riverside Bank, confirmed the release of a SoundWave headset for $24.50 on July 20, 2024.","Samuel Walker; Riverside Bank; July 20, 2024; $24.50; a SoundWave headset",PERSON; ORG; DATE; MONEY; PRODUCT,Samuel Walker,Riverside Bank,,"July 20, 2024",$24.50,SoundWave headset
239,"Golden Gate Retailers announced that Layla Walker will lead the new office in Berlin starting August 28, 2019.","Layla Walker; Golden Gate Retailers; Berlin; August 28, 2019",PERSON; ORG; GPE; DATE,Layla Walker,Golden Gate Retailers,Berlin,"August 28, 2019",,
240,"The board at Golden Gate Retailers approved a $350 investment in Toronto after Hassan Lewis's presentation on February 16, 2019.","Hassan Lewis; Golden Gate Retailers; Toronto; February 16, 2019; $350",PERSON; ORG; GPE; DATE; MONEY,Hassan Lewis,Golden Gate Retailers,Toronto,"February 16, 2019",$350,
241,"Riverside Bank announced that Charlotte Khan will lead the new office in Stockholm starting October 16, 2021.","Charlotte Khan; Riverside Bank; Stockholm; October 16, 2021",PERSON; ORG; GPE; DATE,Charlotte Khan,Riverside Bank,Stockholm,"October 16, 2021",,
242,"Noah Johansson, a spokesperson for BrightFuture Foundation, confirmed the release of the SmartHome Hub for $24.50 on July 28, 2019.","Noah Johansson; BrightFuture Foundation; July 28, 2019; $24.50; the SmartHome Hub",PERSON; ORG; DATE; MONEY; PRODUCT,Noah Johansson,BrightFuture Foundation,,"July 28, 2019",$24.50,SmartHome Hub
243,"The board at Skyline Real Estate approved a $30.75 investment in Stockholm after Chloe Fernandez's presentation on May 11, 2021.","Chloe Fernandez; Skyline Real Estate; Stockholm; May 11, 2021; $30.75",PERSON; ORG; GPE; DATE; MONEY,Chloe Fernandez,Skyline Real Estate,Stockholm,"May 11, 2021",$30.75,
244,"Oakwood Publishing House partnered with a university in Buenos Aires to research the FlexFit yoga mat technology, Mateus Costa reported.",Mateus Costa; Oakwood Publishing House; Buenos Aires; the FlexFit yoga mat,PERSON; ORG; GPE; PRODUCT,Mateus Costa,Oakwood Publishing House,Buenos Aires,,,FlexFit yogmat
245,"Golden Gate Retailers partnered with a university in Toronto to research a StreamCast speaker technology, Ravi Johansson reported.",Ravi Johansson; Golden Gate Retailers; Toronto; a StreamCast speaker,PERSON; ORG; GPE; PRODUCT,Ravi Johansson,Golden Gate Retailers,Toronto,,,StreamCast speaker
246,"Lucas Yamamoto joined NextGen Software Labs in Mumbai on October 15, 2017 to launch the ChefMate blender.","Lucas Yamamoto; NextGen Software Labs; Mumbai; October 15, 2017; the ChefMate blender",PERSON; ORG; GPE; DATE; PRODUCT,Lucas Yamamoto,NextGen Software Labs,Mumbai,"October 15, 2017",,ChefMate blender
247,"On November 12, 2016, Redstone Consulting opened a new branch in Seoul, India, appointing Zainab Taylor as director.","Zainab Taylor; Redstone Consulting; India; Seoul; November 12, 2016",PERSON; ORG; GPE; GPE; DATE,Zainab Taylor,Redstone Consulting,"India, Seoul","November 12, 2016",,
248,"During the conference in Cape Town, Tom Wright from Union Manufacturing Corp. unveiled a ProGrip tennis racket priced at $9.99.",Tom Wright; Union Manufacturing Corp.; Cape Town; $9.99; a ProGrip tennis racket,PERSON; ORG; GPE; MONEY; PRODUCT,Tom Wright,Union Manufacturing Corp.,Cape Town,,$9.99,ProGrip tennis racket
249,"During the conference in Santiago, Maria Haddad from Evergreen Energy Co. unveiled a TrailRunner backpack priced at $350.",Maria Haddad; Evergreen Energy Co.; Santiago; $350; a TrailRunner backpack,PERSON; ORG; GPE; MONEY; PRODUCT,Maria Haddad,Evergreen Energy Co.,Santiago,,$350,TrailRunner backpack
250,"Quantum Innovations partnered with a university in Warsaw to research a ProGrip tennis racket technology, Wei Okafor reported.",Wei Okafor; Quantum Innovations; Warsaw; a ProGrip tennis racket,PERSON; ORG; GPE; PRODUCT,Wei Okafor,Quantum Innovations,Warsaw,,,ProGrip tennis racket
251,"On July 7, 2024, Pioneer Research Institute opened a new branch in Nairobi, the United States, appointing Priya Wright as director.","Priya Wright; Pioneer Research Institute; Nairobi; the United States; July 7, 2024",PERSON; ORG; GPE; GPE; DATE,Priya Wright,Pioneer Research Institute,"Nairobi, the United States","July 7, 2024",,
252,"Amara Walker joined Vertex Analytics in Dublin on June 1, 2018 to launch a PureGlow skincare set.","Amara Walker; Vertex Analytics; Dublin; June 1, 2018; a PureGlow skincare set",PERSON; ORG; GPE; DATE; PRODUCT,Amara Walker,Vertex Analytics,Dublin,"June 1, 2018",,PureGlow skincare set
253,"During the conference in Dublin, Ingrid Larsen from Redstone Consulting unveiled a StreamCast speaker priced at $15.",Ingrid Larsen; Redstone Consulting; Dublin; $15; a StreamCast speaker,PERSON; ORG; GPE; MONEY; PRODUCT,Ingrid Larsen,Redstone Consulting,Dublin,,$15,StreamCast speaker
254,"NextGen Software Labs partnered with a university in Jakarta to research a RoadMaster bicycle technology, Yuki King reported.",Yuki King; NextGen Software Labs; Jakarta; a RoadMaster bicycle,PERSON; ORG; GPE; PRODUCT,Yuki King,NextGen Software Labs,Jakarta,,,RoadMaster bicycle
255,"Tom Silva joined Redstone Consulting in Toronto on May 4, 2024 to launch a SunBeam solar charger.","Tom Silva; Redstone Consulting; Toronto; May 4, 2024; a SunBeam solar charger",PERSON; ORG; GPE; DATE; PRODUCT,Tom Silva,Redstone Consulting,Toronto,"May 4, 2024",,SunBeam solar charger
256,Samuel Moore traveled from Seoul to Buenos Aires to negotiate a deal worth $199 with Brightline Technologies.,Samuel Moore; Brightline Technologies; Buenos Aires; Seoul; $199,PERSON; ORG; GPE; GPE; MONEY,Samuel Moore,Brightline Technologies,"Buenos Aires, Seoul",,$199,
257,"The board at Brightline Technologies approved a $120 investment in Copenhagen after Mateus Wright's presentation on June 17, 2023.","Mateus Wright; Brightline Technologies; Copenhagen; June 17, 2023; $120",PERSON; ORG; GPE; DATE; MONEY,Mateus Wright,Brightline Technologies,Copenhagen,"June 17, 2023",$120,
258,"The board at Falcon Logistics approved a $99 investment in Amsterdam after Elena Scott's presentation on April 18, 2022.","Elena Scott; Falcon Logistics; Amsterdam; April 18, 2022; $99",PERSON; ORG; GPE; DATE; MONEY,Elena Scott,Falcon Logistics,Amsterdam,"April 18, 2022",$99,
259,"On December 19, 2016, Quantum Innovations opened a new branch in Osaka, India, appointing Jack Taylor as director.","Jack Taylor; Quantum Innovations; India; Osaka; December 19, 2016",PERSON; ORG; GPE; GPE; DATE,Jack Taylor,Quantum Innovations,"India, Osaka","December 19, 2016",,
260,"Julia Smith, a spokesperson for Cedar Grove Hospital, confirmed the release of the CloudDesk chair for $350 on September 11, 2015.","Julia Smith; Cedar Grove Hospital; September 11, 2015; $350; the CloudDesk chair",PERSON; ORG; DATE; MONEY; PRODUCT,Julia Smith,Cedar Grove Hospital,,"September 11, 2015",$350,CloudDesk chair
261,"During the conference in Warsaw, Elena Rossi from Pioneer Research Institute unveiled the QuickBrew coffee maker priced at $199.",Elena Rossi; Pioneer Research Institute; Warsaw; $199; the QuickBrew coffee maker,PERSON; ORG; GPE; MONEY; PRODUCT,Elena Rossi,Pioneer Research Institute,Warsaw,,$199,QuickBrew coffee maker
262,"The board at Zenith Pharmaceuticals approved a $9.99 investment in Toronto after Hana Yamamoto's presentation on October 8, 2020.","Hana Yamamoto; Zenith Pharmaceuticals; Toronto; October 8, 2020; $9.99",PERSON; ORG; GPE; DATE; MONEY,Hana Yamamoto,Zenith Pharmaceuticals,Toronto,"October 8, 2020",$9.99,
263,"On November 11, 2020, Aurora Data Systems opened a new branch in Berlin, Australia, appointing Adaeze Okafor as director.","Adaeze Okafor; Aurora Data Systems; Australia; Berlin; November 11, 2020",PERSON; ORG; GPE; GPE; DATE,Adaeze Okafor,Aurora Data Systems,"Australia, Berlin","November 11, 2020",,
264,"Ravi Walker joined Northfield University in Helsinki on July 28, 2022 to launch a NightOwl reading lamp.","Ravi Walker; Northfield University; Helsinki; July 28, 2022; a NightOwl reading lamp",PERSON; ORG; GPE; DATE; PRODUCT,Ravi Walker,Northfield University,Helsinki,"July 28, 2022",,NightOwl reading lamp
265,"The board at Falcon Logistics approved a $9.99 investment in Nairobi after Layla Ivanov's presentation on April 16, 2024.","Layla Ivanov; Falcon Logistics; Nairobi; April 16, 2024; $9.99",PERSON; ORG; GPE; DATE; MONEY,Layla Ivanov,Falcon Logistics,Nairobi,"April 16, 2024",$9.99,
266,"Aurora Data Systems announced that Liam Smith will lead the new office in Dublin starting June 2, 2018.","Liam Smith; Aurora Data Systems; Dublin; June 2, 2018",PERSON; ORG; GPE; DATE,Liam Smith,Aurora Data Systems,Dublin,"June 2, 2018",,
267,"On June 1, 2015, Falcon Logistics opened a new branch in Vancouver, New Zealand, appointing Nina Nguyen as director.","Nina Nguyen; Falcon Logistics; New Zealand; Vancouver; June 1, 2015",PERSON; ORG; GPE; GPE; DATE,Nina Nguyen,Falcon Logistics,"New Zealand, Vancouver","June 1, 2015",,
268,"The board at Riverside Bank approved a $9.99 investment in Vancouver after Zainab Suzuki's presentation on February 2, 2017.","Zainab Suzuki; Riverside Bank; Vancouver; February 2, 2017; $9.99",PERSON; ORG; GPE; DATE; MONEY,Zainab Suzuki,Riverside Bank,Vancouver,"February 2, 2017",$9.99,
269,"Nina Clark joined Global Trade Partners in Kuala Lumpur on January 27, 2020 to launch the GreenLeaf water bottle.","Nina Clark; Global Trade Partners; Kuala Lumpur; January 27, 2020; the GreenLeaf water bottle",PERSON; ORG; GPE; DATE; PRODUCT,Nina Clark,Global Trade Partners,Kuala Lumpur,"January 27, 2020",,GreenLeaf water bottle
270,"Sara Wilson joined Silverline Motors in Mumbai on January 22, 2025 to launch the SmartHome Hub.","Sara Wilson; Silverline Motors; Mumbai; January 22, 2025; the SmartHome Hub",PERSON; ORG; GPE; DATE; PRODUCT,Sara Wilson,Silverline Motors,Mumbai,"January 22, 2025",,SmartHome Hub
271,"The board at Golden Gate Retailers approved a $49.99 investment in Santiago after Ingrid Moore's presentation on November 17, 2018.","Ingrid Moore; Golden Gate Retailers; Santiago; November 17, 2018; $49.99",PERSON; ORG; GPE; DATE; MONEY,Ingrid Moore,Golden Gate Retailers,Santiago,"November 17, 2018",$49.99,
272,"On January 13, 2024, Ironwood Steel Works opened a new branch in Wellington, Chile, appointing Chloe Rossi as director.","Chloe Rossi; Ironwood Steel Works; Chile; Wellington; January 13, 2024",PERSON; ORG; GPE; GPE; DATE,Chloe Rossi,Ironwood Steel Works,"Chile, Wellington","January 13, 2024",,
273,"Riverside Bank announced that Hassan Hall will lead the new office in Kuala Lumpur starting June 22, 2017.","Hassan Hall; Riverside Bank; Kuala Lumpur; June 22, 2017",PERSON; ORG; GPE; DATE,Hassan Hall,Riverside Bank,Kuala Lumpur,"June 22, 2017",,
274,"Summit Robotics Inc. announced that Peter Clark will lead the new office in Marrakesh starting September 21, 2020.","Peter Clark; Summit Robotics Inc.; Marrakesh; September 21, 2020",PERSON; ORG; GPE; DATE,Peter Clark,Summit Robotics Inc.,Marrakesh,"September 21, 2020",,
275,"During the conference in Melbourne, Daniel Silva from Vertex Analytics unveiled the AeroFit smartwatch priced at $250.",Daniel Silva; Vertex Analytics; Melbourne; $250; the AeroFit smartwatch,PERSON; ORG; GPE; MONEY; PRODUCT,Daniel Silva,Vertex Analytics,Melbourne,,$250,AeroFit smartwatch
276,"Grace Ivanov joined Crescent Media Group in Stockholm on July 12, 2023 to launch the CloudDesk chair.","Grace Ivanov; Crescent Media Group; Stockholm; July 12, 2023; the CloudDesk chair",PERSON; ORG; GPE; DATE; PRODUCT,Grace Ivanov,Crescent Media Group,Stockholm,"July 12, 2023",,CloudDesk chair
277,"Brightline Technologies announced that Mei Suzuki will lead the new office in Zurich starting September 9, 2016.","Mei Suzuki; Brightline Technologies; Zurich; September 9, 2016",PERSON; ORG; GPE; DATE,Mei Suzuki,Brightline Technologies,Zurich,"September 9, 2016",,
278,"The board at Lakeside Medical Center approved a $49.99 investment in Amsterdam after Jack Scott's presentation on July 25, 2023.","Jack Scott; Lakeside Medical Center; Amsterdam; July 25, 2023; $49.99",PERSON; ORG; GPE; DATE; MONEY,Jack Scott,Lakeside Medical Center,Amsterdam,"July 25, 2023",$49.99,
279,"On November 2, 2019, Crescent Media Group opened a new branch in Berlin, Thailand, appointing Victor Hall as director.","Victor Hall; Crescent Media Group; Berlin; Thailand; November 2, 2019",PERSON; ORG; GPE; GPE; DATE,Victor Hall,Crescent Media Group,"Berlin, Thailand","November 2, 2019",,
280,"On June 20, 2024, Zenith Pharmaceuticals opened a new branch in Berlin, Japan, appointing Ingrid Kim as director.","Ingrid Kim; Zenith Pharmaceuticals; Berlin; Japan; June 20, 2024",PERSON; ORG; GPE; GPE; DATE,Ingrid Kim,Zenith Pharmaceuticals,"Berlin, Japan","June 20, 2024",,
281,"Northfield University announced that Anna Johansson will lead the new office in Zurich starting October 13, 2019.","Anna Johansson; Northfield University; Zurich; October 13, 2019",PERSON; ORG; GPE; DATE,Anna Johansson,Northfield University,Zurich,"October 13, 2019",,
282,"During the conference in Warsaw, Chen Moore from Delta Cloud Services unveiled the FreshAir purifier priced at $75.",Chen Moore; Delta Cloud Services; Warsaw; $75; the FreshAir purifier,PERSON; ORG; GPE; MONEY; PRODUCT,Chen Moore,Delta Cloud Services,Warsaw,,$75,FreshAir purifier
283,Noah Novak traveled from Nairobi to Manila to negotiate a deal worth $15 with Maple Street School District.,Noah Novak; Maple Street School District; Manila; Nairobi; $15,PERSON; ORG; GPE; GPE; MONEY,Noah Novak,Maple Street School District,"Manila, Nairobi",,$15,
284,Peter Haddad traveled from Denver to Santiago to negotiate a deal worth $250 with Falcon Logistics.,Peter Haddad; Falcon Logistics; Denver; Santiago; $250,PERSON; ORG; GPE; GPE; MONEY,Peter Haddad,Falcon Logistics,"Denver, Santiago",,$250,
285,"Fatima Garcia joined Harborview College in Seoul on September 10, 2024 to launch a RoadMaster bicycle.","Fatima Garcia; Harborview College; Seoul; September 10, 2024; a RoadMaster bicycle",PERSON; ORG; GPE; DATE; PRODUCT,Fatima Garcia,Harborview College,Seoul,"September 10, 2024",,RoadMaster bicycle
286,"Riverside Bank announced that Olivia Lewis will lead the new office in Vancouver starting February 17, 2023.","Olivia Lewis; Riverside Bank; Vancouver; February 17, 2023",PERSON; ORG; GPE; DATE,Olivia Lewis,Riverside Bank,Vancouver,"February 17, 2023",,
287,"Northfield University announced that Amara Hall will lead the new office in Osaka starting February 21, 2022.","Amara Hall; Northfield University; Osaka; February 21, 2022",PERSON; ORG; GPE; DATE,Amara Hall,Northfield University,Osaka,"February 21, 2022",,
288,"Aurora Data Systems announced that Zainab Patel will lead the new office in Amsterdam starting September 2, 2016.","Zainab Patel; Aurora Data Systems; Amsterdam; September 2, 2016",PERSON; ORG; GPE; DATE,Zainab Patel,Aurora Data Systems,Amsterdam,"September 2, 2016",,
289,"Harborview College announced that Samuel Fernandez will lead the new office in Melbourne starting October 8, 2022.","Samuel Fernandez; Harborview College; Melbourne; October 8, 2022",PERSON; ORG; GPE; DATE,Samuel Fernandez,Harborview College,Melbourne,"October 8, 2022",,
290,"Ravi Fernandez joined Global Trade Partners in Bangkok on November 3, 2020 to launch a SoundWave headset.","Ravi Fernandez; Global Trade Partners; Bangkok; November 3, 2020; a SoundWave headset",PERSON; ORG; GPE; DATE; PRODUCT,Ravi Fernandez,Global Trade Partners,Bangkok,"November 3, 2020",,SoundWave headset
291,"Coastal Insurance Co. announced that Fatima Garcia will lead the new office in Mumbai starting December 5, 2016.","Fatima Garcia; Coastal Insurance Co.; Mumbai; December 5, 2016",PERSON; ORG; GPE; DATE,Fatima Garcia,Coastal Insurance Co.,Mumbai,"December 5, 2016",,
292,"Grace Lewis, a spokesperson for Coastal Insurance Co., confirmed the release of the QuickBrew coffee maker for $499.99 on July 8, 2020.","Grace Lewis; Coastal Insurance Co.; July 8, 2020; $499.99; the QuickBrew coffee maker",PERSON; ORG; DATE; MONEY; PRODUCT,Grace Lewis,Coastal Insurance Co.,,"July 8, 2020",$499.99,QuickBrew coffee maker
293,"Mark Okafor joined Golden Gate Retailers in Zurich on August 5, 2019 to launch the FreshAir purifier.","Mark Okafor; Golden Gate Retailers; Zurich; August 5, 2019; the FreshAir purifier",PERSON; ORG; GPE; DATE; PRODUCT,Mark Okafor,Golden Gate Retailers,Zurich,"August 5, 2019",,FreshAir purifier
294,"The board at Northfield University approved a $45.50 investment in Cape Town after Liam Nguyen's presentation on February 21, 2022.","Liam Nguyen; Northfield University; Cape Town; February 21, 2022; $45.50",PERSON; ORG; GPE; DATE; MONEY,Liam Nguyen,Northfield University,Cape Town,"February 21, 2022",$45.50,
295,"Julia Patel, a spokesperson for Blue Horizon Airlines, confirmed the release of a SnapShot camera for $499.99 on April 13, 2021.","Julia Patel; Blue Horizon Airlines; April 13, 2021; $499.99; a SnapShot camera",PERSON; ORG; DATE; MONEY; PRODUCT,Julia Patel,Blue Horizon Airlines,,"April 13, 2021",$499.99,SnapShot camera
296,"Fatima Young, a spokesperson for Vertex Analytics, confirmed the release of the TravelLite suitcase for $120 on May 5, 2025.","Fatima Young; Vertex Analytics; May 5, 2025; $120; the TravelLite suitcase",PERSON; ORG; DATE; MONEY; PRODUCT,Fatima Young,Vertex Analytics,,"May 5, 2025",$120,TravelLite suitcase
297,"Aisha Green, a spokesperson for Summit Robotics Inc., confirmed the release of a ProGrip tennis racket for $15 on June 5, 2025.","Aisha Green; Summit Robotics Inc.; June 5, 2025; $15; a ProGrip tennis racket",PERSON; ORG; DATE; MONEY; PRODUCT,Aisha Green,Summit Robotics Inc.,,"June 5, 2025",$15,ProGrip tennis racket
298,"Riverside Bank announced that Mei Scott will lead the new office in Edinburgh starting May 7, 2017.","Mei Scott; Riverside Bank; Edinburgh; May 7, 2017",PERSON; ORG; GPE; DATE,Mei Scott,Riverside Bank,Edinburgh,"May 7, 2017",,
299,"Ravi Patel traveled from Buenos Aires to Lisbon to negotiate a deal worth $1,200 with Blue Horizon Airlines.","Ravi Patel; Blue Horizon Airlines; Buenos Aires; Lisbon; $1,200",PERSON; ORG; GPE; GPE; MONEY,Ravi Patel,Blue Horizon Airlines,"Buenos Aires, Lisbon",,"$1,200",
300,"Union Manufacturing Corp. partnered with a university in Zurich to research a SnapShot camera technology, Mei Wright reported.",Mei Wright; Union Manufacturing Corp.; Zurich; a SnapShot camera,PERSON; ORG; GPE; PRODUCT,Mei Wright,Union Manufacturing Corp.,Zurich,,,SnapShot camera
301,"On December 20, 2015, Brightline Technologies opened a new branch in Wellington, Poland, appointing Tom Young as director.","Tom Young; Brightline Technologies; Poland; Wellington; December 20, 2015",PERSON; ORG; GPE; GPE; DATE,Tom Young,Brightline Technologies,"Poland, Wellington","December 20, 2015",,
302,"Coastal Insurance Co. announced that Nina Wilson will lead the new office in Marrakesh starting November 27, 2024.","Nina Wilson; Coastal Insurance Co.; Marrakesh; November 27, 2024",PERSON; ORG; GPE; DATE,Nina Wilson,Coastal Insurance Co.,Marrakesh,"November 27, 2024",,
303,"During the conference in Amsterdam, Yuki Dubois from Delta Cloud Services unveiled the GreenLeaf water bottle priced at $75.",Yuki Dubois; Delta Cloud Services; Amsterdam; $75; the GreenLeaf water bottle,PERSON; ORG; GPE; MONEY; PRODUCT,Yuki Dubois,Delta Cloud Services,Amsterdam,,$75,GreenLeaf water bottle
304,"Nadia Wilson, a spokesperson for Union Manufacturing Corp., confirmed the release of a RoadMaster bicycle for $49.99 on October 26, 2025.","Nadia Wilson; Union Manufacturing Corp.; October 26, 2025; $49.99; a RoadMaster bicycle",PERSON; ORG; DATE; MONEY; PRODUCT,Nadia Wilson,Union Manufacturing Corp.,,"October 26, 2025",$49.99,RoadMaster bicycle
305,"During the conference in Stockholm, Nina Garcia from BrightFuture Foundation unveiled a StreamCast speaker priced at $75.",Nina Garcia; BrightFuture Foundation; Stockholm; $75; a StreamCast speaker,PERSON; ORG; GPE; MONEY; PRODUCT,Nina Garcia,BrightFuture Foundation,Stockholm,,$75,StreamCast speaker
306,"During the conference in Berlin, Mark Wilson from Northfield University unveiled the QuickBrew coffee maker priced at $24.50.",Mark Wilson; Northfield University; Berlin; $24.50; the QuickBrew coffee maker,PERSON; ORG; GPE; MONEY; PRODUCT,Mark Wilson,Northfield University,Berlin,,$24.50,QuickBrew coffee maker
307,"The board at Brightline Technologies approved a $9.99 investment in Marrakesh after Carlos Yamamoto's presentation on December 17, 2024.","Carlos Yamamoto; Brightline Technologies; Marrakesh; December 17, 2024; $9.99",PERSON; ORG; GPE; DATE; MONEY,Carlos Yamamoto,Brightline Technologies,Marrakesh,"December 17, 2024",$9.99,
308,"On December 10, 2020, Harborview College opened a new branch in Jakarta, Japan, appointing Ethan Müller as director.","Ethan Müller; Harborview College; Jakarta; Japan; December 10, 2020",PERSON; ORG; GPE; GPE; DATE,Ethan Müller,Harborview College,"Jakarta, Japan","December 10, 2020",,
309,"Coastal Insurance Co. announced that Aisha Larsen will lead the new office in Warsaw starting November 3, 2025.","Aisha Larsen; Coastal Insurance Co.; Warsaw; November 3, 2025",PERSON; ORG; GPE; DATE,Aisha Larsen,Coastal Insurance Co.,Warsaw,"November 3, 2025",,
310,"During the conference in Warsaw, Chen Kowalski from Union Manufacturing Corp. unveiled the ChefMate blender priced at $350.",Chen Kowalski; Union Manufacturing Corp.; Warsaw; $350; the ChefMate blender,PERSON; ORG; GPE; MONEY; PRODUCT,Chen Kowalski,Union Manufacturing Corp.,Warsaw,,$350,ChefMate blender
311,"On September 9, 2020, Harborview College opened a new branch in Lisbon, Finland, appointing Wei Garcia as director.","Wei Garcia; Harborview College; Finland; Lisbon; September 9, 2020",PERSON; ORG; GPE; GPE; DATE,Wei Garcia,Harborview College,"Finland, Lisbon","September 9, 2020",,
312,"Union Manufacturing Corp. announced that Jack Osei will lead the new office in Wellington starting April 24, 2019.","Jack Osei; Union Manufacturing Corp.; Wellington; April 24, 2019",PERSON; ORG; GPE; DATE,Jack Osei,Union Manufacturing Corp.,Wellington,"April 24, 2019",,
313,Anna Fernandez traveled from Marrakesh to Santiago to negotiate a deal worth $250 with Riverside Bank.,Anna Fernandez; Riverside Bank; Marrakesh; Santiago; $250,PERSON; ORG; GPE; GPE; MONEY,Anna Fernandez,Riverside Bank,"Marrakesh, Santiago",,$250,
314,"Summit Robotics Inc. announced that Noah Yamamoto will lead the new office in Mumbai starting April 22, 2023.","Noah Yamamoto; Summit Robotics Inc.; Mumbai; April 22, 2023",PERSON; ORG; GPE; DATE,Noah Yamamoto,Summit Robotics Inc.,Mumbai,"April 22, 2023",,
315,Ingrid Okafor traveled from Bangkok to Austin to negotiate a deal worth $24.50 with Blue Horizon Airlines.,Ingrid Okafor; Blue Horizon Airlines; Austin; Bangkok; $24.50,PERSON; ORG; GPE; GPE; MONEY,Ingrid Okafor,Blue Horizon Airlines,"Austin, Bangkok",,$24.50,
316,"Riverside Bank announced that Sara Costa will lead the new office in Amsterdam starting December 28, 2015.","Sara Costa; Riverside Bank; Amsterdam; December 28, 2015",PERSON; ORG; GPE; DATE,Sara Costa,Riverside Bank,Amsterdam,"December 28, 2015",,
317,"During the conference in Warsaw, Ingrid Silva from Zenith Pharmaceuticals unveiled the CloudDesk chair priced at $24.50.",Ingrid Silva; Zenith Pharmaceuticals; Warsaw; $24.50; the CloudDesk chair,PERSON; ORG; GPE; MONEY; PRODUCT,Ingrid Silva,Zenith Pharmaceuticals,Warsaw,,$24.50,CloudDesk chair
318,"Riverside Bank partnered with a university in Stockholm to research the TravelLite suitcase technology, Mei Johansson reported.",Mei Johansson; Riverside Bank; Stockholm; the TravelLite suitcase,PERSON; ORG; GPE; PRODUCT,Mei Johansson,Riverside Bank,Stockholm,,,TravelLite suitcase
319,"Evergreen Energy Co. partnered with a university in Marrakesh to research the PixelView monitor technology, Olivia Khan reported.",Olivia Khan; Evergreen Energy Co.; Marrakesh; the PixelView monitor,PERSON; ORG; GPE; PRODUCT,Olivia Khan,Evergreen Energy Co.,Marrakesh,,,PixelView monitor
320,"Peter Müller joined Riverside Bank in Manila on February 21, 2025 to launch the FlexFit yoga mat.","Peter Müller; Riverside Bank; Manila; February 21, 2025; the FlexFit yoga mat",PERSON; ORG; GPE; DATE; PRODUCT,Peter Müller,Riverside Bank,Manila,"February 21, 2025",,FlexFit yogmat
